カラム名,有効データ数,ユニーク値数,最小グループサイズ,信頼性レベル,警告
female_ratio,944,148,1,DESCRIPTIVE,なし（観察的記述）
male_ratio,944,148,1,DESCRIPTIVE,なし（観察的記述）
national_license_rate,7746,238,1,DESCRIPTIVE,なし（観察的記述）
top_employment_status,944,3,5,DESCRIPTIVE,なし（観察的記述）
top_employment_ratio,944,137,1,DESCRIPTIVE,なし（観察的記述）
avg_qualification_count,944,262,1,DESCRIPTIVE,なし（観察的記述）
pattern,6,6,1,DESCRIPTIVE,なし（観察的記述）
group,2,2,1,DESCRIPTIVE,なし（観察的記述）
variable,6,3,1,DESCRIPTIVE,なし（観察的記述）
f_statistic,2,2,1,DESCRIPTIVE,なし（観察的記述）
p_value,6,4,1,DESCRIPTIVE,なし（観察的記述）
effect_size,6,6,1,DESCRIPTIVE,なし（観察的記述）
significant,6,2,2,DESCRIPTIVE,なし（観察的記述）
sample_size,6,2,1,DESCRIPTIVE,なし（観察的記述）
interpretation,6,5,1,DESCRIPTIVE,なし（観察的記述）
group1,4,3,1,DESCRIPTIVE,なし（観察的記述）
group2,4,2,2,DESCRIPTIVE,なし（観察的記述）
chi_square,4,4,1,DESCRIPTIVE,なし（観察的記述）
df,4,3,1,DESCRIPTIVE,なし（観察的記述）
persona_name,5919,70,1,DESCRIPTIVE,なし（観察的記述）
avg_desired_areas,6826,1236,1,DESCRIPTIVE,なし（観察的記述）
top_residence_pref,12,1,12,DESCRIPTIVE,なし（観察的記述）
total_in_municipality,5849,99,15,DESCRIPTIVE,なし（観察的記述）
market_share_pct,5849,795,1,DESCRIPTIVE,なし（観察的記述）
origin,26290,305,2,DESCRIPTIVE,なし（観察的記述）
destination,26290,936,2,DESCRIPTIVE,なし（観察的記述）
origin_pref,26290,44,4,DESCRIPTIVE,なし（観察的記述）
origin_muni,26290,305,2,DESCRIPTIVE,なし（観察的記述）
destination_pref,26290,47,10,DESCRIPTIVE,なし（観察的記述）
destination_muni,24682,889,2,DESCRIPTIVE,なし（観察的記述）
flow_count,7950,75,1,DESCRIPTIVE,なし（観察的記述）
gender_mode,7950,2,3859,DESCRIPTIVE,なし（観察的記述）
inflow,966,95,1,DESCRIPTIVE,なし（観察的記述）
outflow,966,106,1,DESCRIPTIVE,なし（観察的記述）
net_flow,966,130,1,DESCRIPTIVE,なし（観察的記述）
residence_pref,14834,44,2,DESCRIPTIVE,なし（観察的記述）
same_prefecture_count,14834,39,2,DESCRIPTIVE,なし（観察的記述）
different_prefecture_count,14834,53,2,DESCRIPTIVE,なし（観察的記述）
total_desired_areas,14834,68,2,DESCRIPTIVE,なし（観察的記述）
mobility_score,14834,304,1,DESCRIPTIVE,なし（観察的記述）
avg_mobility_score,34,33,1,DESCRIPTIVE,なし（観察的記述）
mobility_rank,7417,4,475,DESCRIPTIVE,なし（観察的記述）
qualification,462,462,1,DESCRIPTIVE,なし（観察的記述）
national_license_count,944,32,1,DESCRIPTIVE,なし（観察的記述）
graduation_year,68,68,1,DESCRIPTIVE,なし（観察的記述）
