applicant_id,age,gender,age_group,residence_prefecture,residence_municipality,desired_area_count,qualification_count,has_national_license,qualifications,desired_workstyle,desired_start,desired_job,career,employment_status,status,member_id
14,51,女性,50代,京都府,京都市右京区,1,1,False,介護職員初任者研修（旧ヘルパー2級）,パート・バイト,,介護職/ヘルパー,,就業中,HOT,1833743
15,58,男性,50代,京都府,京都市右京区,12,4,False,"介護福祉士,介護職員実務者研修（旧ヘルパー1級/基礎研修）,介護職員初任者研修（旧ヘルパー2級）,自動車運転免許","パート・バイト, 正職員",3ヶ月以内（2025/09/25時点）,"介護職/ヘルパー (9年未満),サービス提供責任者 (未経験),生活支援員 (未経験)",普通科無し(高等学校)(1986年3月卒業),離職中,HOT,1947039
16,30,男性,30代,京都府,京都市西京区,19,1,False,自動車運転免許,"正職員, パート・バイト",1ヶ月以内（2025/10/22時点）,"介護職/ヘルパー,生活支援員,管理職（介護） (1年未満),サービス管理責任者",(高等学校)(2013年3月卒業),離職中,HOT,1131971
17,52,男性,50代,京都府,宇治市,4,2,False,"介護福祉士,自動車運転免許",正職員,今すぐに（2025/04/04時点）,介護職/ヘルパー (10年以上),(大学)(1998年3月卒業),離職中,HOT,2010796
18,54,女性,50代,京都府,亀岡市,3,2,False,"介護福祉士,自動車運転免許",パート・バイト,機会があれば転職を検討したい（2025/10/09時点）,介護職/ヘルパー,,離職中,HOT,2916004
19,81,男性,70歳以上,京都府,京都市伏見区,8,1,False,自動車運転免許,"パート・バイト, 正職員",,"ドライバー/配達員 (未経験),介護タクシー/ドライバー,介護職/ヘルパー,総合職/新卒/その他",,就業中,HOT,2848694
20,31,女性,30代,兵庫県,神戸市中央区,30,0,False,,"正職員, パート・バイト",,"介護職/ヘルパー,サービス管理責任者,児童指導員/指導員,生活支援員,保育士,児童発達支援管理責任者",,就業中,HOT,2744360
21,49,女性,40代,京都府,木津川市,5,2,False,"介護職員初任者研修（旧ヘルパー2級）,自動車運転免許","正職員, パート・バイト",今すぐに（2022/10/23時点）,"介護職/ヘルパー (3年未満),生活支援員 (3年未満)",(高等学校),離職中,HOT,603442
22,69,男性,60代,京都府,京都市伏見区,1,0,False,,パート・バイト,今すぐに（2025/10/16時点）,介護職/ヘルパー,,離職中,HOT,2926700
23,35,男性,30代,滋賀県,大津市,2,3,False,"介護福祉士,社会福祉士,自動車運転免許","正職員, パート・バイト",,"介護職/ヘルパー,生活支援員",,就業中,HOT,2737859
24,70,女性,70歳以上,京都府,京都市伏見区,3,4,False,"介護福祉士,自動車運転免許,サービス管理責任者研修,相談支援従事者研修","パート・バイト, 正職員",3ヶ月以上先（2024/01/25時点）,"サービス管理責任者 (1年未満),相談支援専門員 (5年未満),介護職/ヘルパー (10年以上),サービス提供責任者 (10年未満),管理職（介護） (7年未満)",,就業中,HOT,1990658
25,36,男性,30代,京都府,八幡市,12,1,False,介護福祉士,"正職員, パート・バイト",今すぐに（2022/11/16時点）,"介護職/ヘルパー (10年以上),生活支援員",,就業中,HOT,798955
26,60,女性,60代,京都府,京田辺市,1,5,False,"介護福祉士,養護教諭,中学校教諭,高等学校教諭,その他（強度行動障害（基礎、実践））","契約職員, パート・バイト",機会があれば転職を検討したい（2024/05/01時点）,"介護職/ヘルパー,生活相談員,サービス提供責任者,児童指導員/指導員,生活支援員",体育学部 健康学科(大学)(1989年3月卒業),就業中,HOT,2134880
27,39,男性,30代,京都府,京都市伏見区,5,1,False,介護福祉士,"正職員, 業務委託",3ヶ月以内（2025/04/15時点）,"管理職（介護） (6年未満),サービス提供責任者 (4年未満),介護職/ヘルパー (10年以上),インストラクター (未経験),生活相談員 (2年未満)",通信教育部社会福祉科(大学),就業中,HOT,548956
28,67,男性,60代,京都府,京田辺市,1,3,False,"介護職員初任者研修（旧ヘルパー2級）,自動車運転免許,その他（喀痰吸引3号基本）","正職員, 契約職員, パート・バイト",今すぐに（2022/12/05時点）,"介護職/ヘルパー (1年未満),生活支援員 (未経験)",経営学部経営学科金融論(大学)(1982年3月卒業),就業中,HOT,906858
29,36,男性,30代,京都府,京都市山科区,1,2,False,"介護職員初任者研修（旧ヘルパー2級）,自動車運転免許",正職員,,"総合職/新卒/その他 (未経験),介護タクシー/ドライバー (1年未満),介護職/ヘルパー",,就業中,HOT,941342
30,39,男性,30代,京都府,京都市伏見区,5,1,False,介護福祉士,"正職員, 業務委託",3ヶ月以内（2025/04/15時点）,"管理職（介護） (6年未満),サービス提供責任者 (4年未満),介護職/ヘルパー (10年以上),インストラクター (未経験),生活相談員 (2年未満)",通信教育部社会福祉科(大学),就業中,HOT,548956
31,67,男性,60代,京都府,京田辺市,1,3,False,"介護職員初任者研修（旧ヘルパー2級）,自動車運転免許,その他（喀痰吸引3号基本）","正職員, 契約職員, パート・バイト",今すぐに（2022/12/05時点）,"介護職/ヘルパー (1年未満),生活支援員 (未経験)",経営学部経営学科金融論(大学)(1982年3月卒業),就業中,HOT,906858
32,36,男性,30代,京都府,京都市山科区,1,2,False,"介護職員初任者研修（旧ヘルパー2級）,自動車運転免許",正職員,,"総合職/新卒/その他 (未経験),介護タクシー/ドライバー (1年未満),介護職/ヘルパー",,就業中,HOT,941342
33,38,女性,30代,大阪府,枚方市,5,2,False,"介護職員初任者研修（旧ヘルパー2級）,その他（子育て支援員）","パート・バイト, 正職員",,"保育補助 (10年未満),看護助手 (未経験),保育士 (9年未満),調理師/調理スタッフ (10年未満),介護職/ヘルパー (未経験),調剤事務 (未経験),児童指導員/指導員,インストラクター,医療事務/受付 (未経験)",法学部法律学科被害者心理学(大学)(2010年4月卒業),就業中,HOT,864710
34,57,女性,50代,京都府,宇治市,3,1,False,介護福祉士,パート・バイト,機会があれば転職を検討したい（2025/05/27時点）,介護職/ヘルパー (10年以上),,就業中,HOT,2705082
35,52,女性,50代,京都府,京都市山科区,1,2,False,"介護職員初任者研修（旧ヘルパー2級）,自動車運転免許",パート・バイト,3ヶ月以内（2024/06/13時点）,"介護職/ヘルパー (10年未満),生活支援員",(高等学校),就業中,HOT,2192613
36,26,女性,20代,京都府,京都市下京区,9,2,False,"介護福祉士,介護職員実務者研修（旧ヘルパー1級/基礎研修）","正職員, 契約職員",3ヶ月以内（2025/10/03時点）,"介護職/ヘルパー (5年未満),サービス提供責任者 (3年未満),管理職（介護）,インストラクター,生活支援員",日本語通訳専攻学科日本語通訳専攻学科(高等専門学校)(2021年4月卒業),就業中,HOT,2901250
37,65,女性,60代,京都府,長岡京市,1,1,False,介護職員初任者研修（旧ヘルパー2級）,パート・バイト,3ヶ月以上先（2025/10/08時点）,介護職/ヘルパー (2年未満),,就業中,HOT,1270496
38,52,女性,50代,京都府,木津川市,8,1,False,介護福祉士,正職員,3ヶ月以内（2025/09/24時点）,介護職/ヘルパー (10年以上),,就業中,HOT,2889863
39,60,女性,60代,京都府,京都市山科区,1,3,False,"介護福祉士,介護職員実務者研修（旧ヘルパー1級/基礎研修）,介護職員初任者研修（旧ヘルパー2級）","正職員, パート・バイト",機会があれば転職を検討したい（2025/10/14時点）,介護職/ヘルパー,,就業中,HOT,1168648
40,32,女性,30代,東京都,港区,195,2,False,"歯科医師,その他（日本歯科麻酔学会認定医）","契約職員, パート・バイト, 業務委託, 正職員",今すぐに（2025/07/10時点）,"歯科医師,歯科衛生士,介護職/ヘルパー",歯学部歯学科(大学)(2019年3月卒業),就業中,HOT,2778471
41,63,女性,60代,京都府,京都市上京区,3,2,False,"介護職員初任者研修（旧ヘルパー2級）,自動車運転免許",パート・バイト,,"介護職/ヘルパー,児童指導員/指導員 (未経験),調理師/調理スタッフ (未経験),介護タクシー/ドライバー (未経験),相談支援専門員 (1年未満)",,就業中,HOT,2051240
42,50,女性,50代,京都府,京都市西京区,1,2,False,"介護福祉士,社会福祉主事任用資格",正職員,,介護職/ヘルパー (10年以上),,就業中,HOT,2890429
43,44,女性,40代,愛知県,半田市,6,2,False,"介護職員初任者研修（旧ヘルパー2級）,自動車運転免許",正職員,機会があれば転職を検討したい（2025/09/09時点）,介護職/ヘルパー,(高等学校),就業中,HOT,2866681
44,34,女性,30代,兵庫県,丹波市,3,8,False,"介護福祉士,介護職員実務者研修（旧ヘルパー1級/基礎研修）,介護職員初任者研修（旧ヘルパー2級）,社会福祉主事任用資格,保育士,自動車運転免許,その他（メンタルヘルスマネジメント）,その他（サービス管理責任者基礎研修）","正職員, パート・バイト, 契約職員",今すぐに（2025/07/15時点）,"介護職/ヘルパー (10年以上),生活相談員 (未経験),生活支援員 (2年未満),児童指導員/指導員 (未経験),介護タクシー/ドライバー (未経験),介護事務 (未経験),保育士 (未経験),保育補助 (1年未満),サービス提供責任者 (未経験),児童発達支援管理責任者 (未経験),サービス管理責任者 (1年未満),放課後児童支援員/学童指導員 (未経験)",社会福祉学部社会福祉学科児童福祉コース(大学)(2013年3月卒業),離職中,HOT,1809163
45,35,女性,30代,京都府,京都市右京区,5,4,False,"介護福祉士,介護職員初任者研修（旧ヘルパー2級）,自動車運転免許,福祉用具専門相談員 取得予定（1年以内）","正職員, パート・バイト",3ヶ月以内（2025/10/21時点）,"生活相談員 (4年未満),福祉用具専門相談員,介護職/ヘルパー",,離職中,HOT,1361679
46,59,女性,50代,京都府,木津川市,4,2,False,"介護職員初任者研修（旧ヘルパー2級）,自動車運転免許","正職員, 契約職員",3ヶ月以内（2025/10/20時点）,"介護職/ヘルパー (10年以上),生活支援員,生活相談員,管理職（介護） (2年未満)",,就業中,HOT,1067701
47,49,女性,40代,京都府,京都市中京区,9,2,False,"介護福祉士,自動車運転免許","パート・バイト, 正職員",機会があれば転職を検討したい（2024/11/12時点）,"介護職/ヘルパー (7年未満),生活相談員,医療事務/受付 (未経験),介護事務 (未経験)",,就業中,HOT,1310219
48,43,男性,40代,大阪府,茨木市,14,6,False,"介護福祉士,介護職員初任者研修（旧ヘルパー2級）,社会福祉主事任用資格,自動車運転免許,その他（福祉住環境コーディネーター２級）,その他（認定特定行為業務従事者(喀痰吸引研修2号修了)）",正職員,3ヶ月以内（2025/10/01時点）,"介護職/ヘルパー (10年未満),福祉用具専門相談員,生活支援員",経営情報学部経営情報学科(大学)(2004年3月卒業),離職中,HOT,199506
49,58,女性,50代,京都府,京都市山科区,2,0,False,,パート・バイト,機会があれば転職を検討したい（2025/10/02時点）,"調剤事務,介護職/ヘルパー (未経験),一般事務/管理部門,清掃/環境整備,医療ソーシャルワーカー (未経験),介護事務 (未経験),エステティシャン/セラピスト",,離職中,HOT,2357631
50,40,女性,40代,京都府,京都市山科区,1,2,False,"介護職員初任者研修（旧ヘルパー2級）,自動車運転免許",正職員,,介護職/ヘルパー (未経験),,就業中,HOT,2667557
51,45,女性,40代,京都府,京都市伏見区,2,1,False,自動車運転免許,正職員,3ヶ月以内（2025/01/22時点）,"生活支援員 (未経験),介護職/ヘルパー (未経験),医療事務/受付,介護事務 (未経験)",CG制作学科マスコミCGクリエーター専攻(専門学校)(1999年3月卒業),就業中,HOT,2489171
52,57,男性,50代,大阪府,三島郡島本町,12,2,False,"介護福祉士,社会福祉主事任用資格",正職員,1ヶ月以内（2025/10/03時点）,"介護職/ヘルパー,生活支援員",コミュニティケア科臨床福祉課程(専門学校),離職中,HOT,2906184
53,63,女性,60代,奈良県,奈良市,9,2,False,"介護職員初任者研修（旧ヘルパー2級）,自動車運転免許",パート・バイト,1ヶ月以内（2025/09/16時点）,"看護助手 (未経験),介護職/ヘルパー (3年未満)",,離職中,HOT,2878511
54,69,女性,60代,奈良県,生駒郡斑鳩町,5,3,False,"介護支援専門員（ケアマネジャー）,主任介護支援専門員,自動車運転免許","パート・バイト, 正職員",3ヶ月以内（2025/03/20時点）,"ケアマネジャー,介護職/ヘルパー",,就業中,HOT,1208008
55,51,男性,50代,京都府,京都市西京区,4,1,False,介護職員初任者研修（旧ヘルパー2級）,パート・バイト,,"生活支援員,介護職/ヘルパー (2年未満)",,就業中,HOT,1982183
56,55,女性,50代,京都府,京都市山科区,9,0,False,,"パート・バイト, 正職員, 契約職員",1ヶ月以内（2024/09/18時点）,"介護職/ヘルパー (1年未満),看護助手",普通科普通コース(高等学校)(1988年3月卒業),就業中,HOT,626032
57,38,男性,30代,京都府,八幡市,3,3,False,"介護福祉士,介護職員実務者研修（旧ヘルパー1級/基礎研修）,介護職員初任者研修（旧ヘルパー2級）",正職員,3ヶ月以内（2024/05/14時点）,"介護職/ヘルパー,管理職（介護） (未経験),サービス提供責任者",普通科(高等学校)(2013年3月卒業),就業中,HOT,1740418
58,56,女性,50代,京都府,八幡市,2,2,False,"介護福祉士,自動車運転免許",正職員,,"介護職/ヘルパー (10年以上),介護事務,生活支援員",普通科(高等学校)(1987年3月卒業),就業中,HOT,2909577
59,40,男性,40代,京都府,京都市西京区,11,2,False,"介護職員初任者研修（旧ヘルパー2級）,自動車運転免許",パート・バイト,今すぐに（2025/09/26時点）,介護職/ヘルパー (4年未満),,離職中,HOT,2768063
60,25,男性,20代,大阪府,大阪市中央区,11,3,False,"介護職員実務者研修（旧ヘルパー1級/基礎研修）,介護職員初任者研修（旧ヘルパー2級）,自動車運転免許","正職員, 契約職員",機会があれば転職を検討したい（2024/11/26時点）,"介護職/ヘルパー (未経験),生活支援員,サービス提供責任者 (未経験)",,就業中,HOT,2169016
61,43,男性,40代,京都府,京都市西京区,2,2,False,"介護福祉士,自動車運転免許",正職員,,"生活支援員 (7年未満),介護タクシー/ドライバー,介護職/ヘルパー (7年未満),管理職（介護） (2年未満)",普通科(高等学校)(2006年3月卒業),就業中,HOT,2868561
62,45,男性,40代,京都府,京都市伏見区,6,5,False,"介護職員初任者研修（旧ヘルパー2級）,自動車運転免許,その他（普通自動車第一種免許取得）,その他（クレーン運転業務特別教育修了）,その他（フォークリフト運転技能講習修了）",正職員,今すぐに（2025/08/15時点）,"介護職/ヘルパー (未経験),生活相談員,生活支援員,福祉用具専門相談員,児童指導員/指導員,介護タクシー/ドライバー,相談支援専門員,ドライバー/配達員,放課後児童支援員/学童指導員,サービス提供責任者",普通科普通(高等学校)(1999年3月卒業),離職中,HOT,2827677
63,57,女性,50代,京都府,京都市山科区,1,1,False,介護職員初任者研修（旧ヘルパー2級）,パート・バイト,,"看護助手,介護職/ヘルパー (1年未満)",,就業中,HOT,2200666
64,53,男性,50代,京都府,亀岡市,13,1,False,自動車運転免許,"パート・バイト, 正職員, 契約職員",3ヶ月以内（2023/10/26時点）,"生活支援員,介護タクシー/ドライバー,総合職/新卒/その他,介護職/ヘルパー",情報処理総合システム科(専門学校)(1990年3月卒業),就業中,HOT,724122
65,27,女性,20代,京都府,八幡市,4,1,False,自動車運転免許,正職員,3ヶ月以内（2025/10/19時点）,介護職/ヘルパー,,就業中,HOT,2931482
66,31,女性,30代,神奈川県,横浜市青葉区,41,1,False,歯科技工士,"正職員, パート・バイト",,"歯科技工士,介護職/ヘルパー,ケアマネジャー,生活支援員,サービス管理責任者,看護師/准看護師,助産師,生活相談員,保育士,児童発達支援管理責任者,理学療法士,児童指導員/指導員",,就業中,HOT,2719941
67,31,男性,30代,兵庫県,神戸市北区,5,2,False,"介護職員実務者研修（旧ヘルパー1級/基礎研修）,自動車運転免許",正職員,,"生活支援員 (未経験),介護職/ヘルパー",,就業中,HOT,851517
68,48,女性,40代,京都府,八幡市,3,2,False,"介護福祉士,自動車運転免許",正職員,,"介護職/ヘルパー (8年未満),サービス提供責任者",産業社会学部産業社会学科産業社会コース(大学)(1999年3月卒業),離職中,HOT,2895037
69,33,女性,30代,京都府,宇治市,1,3,False,"介護福祉士,介護職員実務者研修（旧ヘルパー1級/基礎研修）,自動車運転免許","正職員, 契約職員, パート・バイト",機会があれば転職を検討したい（2024/05/29時点）,"介護職/ヘルパー (5年未満),生活支援員",,就業中,HOT,1512687
70,43,女性,40代,京都府,宇治市,4,3,False,"介護支援専門員（ケアマネジャー）,介護福祉士,自動車運転免許",正職員,機会があれば転職を検討したい（2024/09/09時点）,"介護職/ヘルパー (10年以上),ケアマネジャー (5年未満)",(高等学校),就業中,HOT,2304739
71,67,女性,60代,京都府,宇治市,8,2,False,"介護職員初任者研修（旧ヘルパー2級）,自動車運転免許","パート・バイト, 正職員, 契約職員",今すぐに（2023/03/21時点）,"介護職/ヘルパー,看護助手,生活支援員",(高等学校)(1976年3月卒業),離職中,HOT,1244395
72,56,女性,50代,京都府,京都市伏見区,4,3,False,"介護福祉士,介護職員実務者研修（旧ヘルパー1級/基礎研修）,介護職員初任者研修（旧ヘルパー2級）",パート・バイト,3ヶ月以内（2023/02/09時点）,介護職/ヘルパー,,離職中,HOT,1537361
73,57,女性,50代,京都府,木津川市,2,1,False,介護職員初任者研修（旧ヘルパー2級）,"正職員, パート・バイト",3ヶ月以内（2025/10/27時点）,介護職/ヘルパー,,就業中,HOT,2469995
74,72,男性,70歳以上,京都府,京都市伏見区,2,1,False,自動車運転免許,"パート・バイト, 正職員",今すぐに（2025/10/02時点）,"介護タクシー/ドライバー,介護職/ヘルパー (未経験),生活相談員,医療事務/受付 (未経験),介護事務 (未経験),営業 (10年以上),ドライバー/配達員 (未経験),保育士,幼稚園教諭 (未経験),保育補助 (未経験),児童指導員/指導員 (未経験),児童発達支援管理責任者 (1年未満),看護師/准看護師 (未経験),管理栄養士/栄養士 (未経験),調理師/調理スタッフ (未経験),放課後児童支援員/学童指導員 (未経験),一般事務/管理部門 (未経験),清掃/環境整備 (未経験),総合職/新卒/その他 (未経験)",社会科学部社会学(大学)(1977年3月卒業),離職中,HOT,2905050
75,66,女性,60代,鹿児島県,鹿児島市,56,6,True,"看護師,准看護師,介護支援専門員（ケアマネジャー）,介護職員実務者研修（旧ヘルパー1級/基礎研修）,介護職員初任者研修（旧ヘルパー2級）,児童指導員任用資格","パート・バイト, 正職員, 契約職員",今すぐに（2023/04/26時点）,"看護師/准看護師,サービス管理責任者,生活支援員,歯科助手,サービス提供責任者,介護職/ヘルパー,ケアマネジャー,保育士",看護学校卒業看護学校卒業(1980年3月卒業),離職中,HOT,1466198
76,56,女性,50代,大阪府,枚方市,5,1,False,介護職員初任者研修（旧ヘルパー2級）,"正職員, パート・バイト, 契約職員",1ヶ月以内（2024/08/30時点）,"生活支援員 (1年未満),介護職/ヘルパー (5年未満),看護助手 (10年以上)",国際観光旅行学科(専門学校)(1989年3月卒業),就業中,HOT,200017
77,36,男性,30代,京都府,京都市伏見区,3,2,False,"介護福祉士,自動車運転免許",正職員,機会があれば転職を検討したい（2025/10/07時点）,"介護職/ヘルパー (10年以上),生活相談員 (未経験),福祉用具専門相談員 (未経験),サービス提供責任者",,就業中,HOT,2912409
78,57,女性,50代,奈良県,奈良市,7,3,False,"介護職員実務者研修（旧ヘルパー1級/基礎研修）,介護職員初任者研修（旧ヘルパー2級）,自動車運転免許","正職員, パート・バイト",3ヶ月以内（2023/11/23時点）,"看護助手 (10年未満),介護職/ヘルパー (8年未満),生活支援員",(高等学校),就業中,HOT,394254
79,72,女性,70歳以上,京都府,京都市右京区,2,2,False,"介護職員初任者研修（旧ヘルパー2級）,自動車運転免許","正職員, パート・バイト",1ヶ月以内（2025/09/28時点）,介護職/ヘルパー (未経験),(専門学校)(1972年3月卒業),離職中,HOT,2890296
80,46,女性,40代,京都府,城陽市,4,1,False,自動車運転免許,正職員,,"介護事務 (未経験),介護職/ヘルパー,医療事務/受付 (未経験)",,就業中,HOT,2717546
81,53,女性,50代,滋賀県,大津市,4,4,False,"介護職員実務者研修（旧ヘルパー1級/基礎研修）,社会福祉主事任用資格,自動車運転免許,児童指導員任用資格","契約職員, パート・バイト, 業務委託, 正職員",機会があれば転職を検討したい（2023/02/07時点）,"生活支援員 (6年未満),医療事務/受付 (1年未満),介護職/ヘルパー (5年未満),総合職/新卒/その他,看護助手,児童指導員/指導員,医療ソーシャルワーカー,生活相談員,放課後児童支援員/学童指導員",社会学部社会学科産業社会学(大学)(1995年3月卒業),就業中,HOT,331841
82,55,女性,50代,京都府,京都市左京区,1,2,False,"介護職員初任者研修（旧ヘルパー2級）,自動車運転免許","パート・バイト, 正職員, 契約職員",,"医療事務/受付 (10年以上),介護職/ヘルパー",,就業中,HOT,1040933
83,66,男性,60代,滋賀県,大津市,2,0,False,,"パート・バイト, 正職員",,"介護職/ヘルパー,介護タクシー/ドライバー,生活相談員",,離職中,HOT,1146614
84,67,女性,60代,京都府,京都市山科区,3,3,False,"介護福祉士,介護職員実務者研修（旧ヘルパー1級/基礎研修）,介護職員初任者研修（旧ヘルパー2級）","パート・バイト, 正職員",3ヶ月以内（2024/12/19時点）,介護職/ヘルパー (10年未満),家政学部生活造形学科染色コース(大学)(1981年3月卒業),就業中,HOT,1046383
85,42,女性,40代,京都府,京都市南区,5,1,False,栄養士,"正職員, パート・バイト",機会があれば転職を検討したい（2024/10/07時点）,"管理栄養士/栄養士 (10年以上),介護職/ヘルパー (5年未満)",,就業中,HOT,2343902
86,55,男性,50代,京都府,宇治市,3,1,False,介護職員実務者研修（旧ヘルパー1級/基礎研修）,"契約職員, パート・バイト",機会があれば転職を検討したい（2024/11/13時点）,"介護職/ヘルパー (1年未満),生活相談員 (未経験),生活支援員",,離職中,HOT,2396176
87,58,女性,50代,京都府,京都市伏見区,1,1,False,介護福祉士,パート・バイト,1ヶ月以内（2023/01/05時点）,介護職/ヘルパー (5年未満),,就業中,HOT,1505921
88,47,女性,40代,兵庫県,神戸市東灘区,5,1,False,介護福祉士,正職員,3ヶ月以上先（2025/09/05時点）,介護職/ヘルパー,普通科(高等学校)(1996年3月卒業),就業中,HOT,1193849
89,46,男性,40代,滋賀県,大津市,8,3,False,"介護福祉士,介護職員初任者研修（旧ヘルパー2級）,自動車運転免許","パート・バイト, 正職員",今すぐに（2025/04/14時点）,"生活支援員 (3年未満),介護職/ヘルパー (2年未満),生活相談員",インテリアデザイン学部建築CAD専攻(専門学校)(2001年3月卒業),離職中,HOT,1065605
90,33,男性,30代,京都府,南丹市,1,2,False,"介護職員実務者研修（旧ヘルパー1級/基礎研修） 取得予定（1年以内）,介護職員初任者研修（旧ヘルパー2級） 取得予定（1年以内）",パート・バイト,,介護職/ヘルパー (3年未満),,就業中,HOT,2911025
91,20,女性,20代,京都府,京田辺市,1,0,False,,"正職員, パート・バイト",,"医療事務/受付 (未経験),介護事務,介護職/ヘルパー (未経験)",,離職中,HOT,2107907
92,37,男性,30代,京都府,京都市山科区,7,1,False,介護支援専門員（ケアマネジャー）,正職員,1ヶ月以内（2025/02/05時点）,"ケアマネジャー (未経験),介護職/ヘルパー (6年未満)",,就業中,HOT,2265854
93,53,男性,50代,京都府,京都市右京区,1,2,False,"介護福祉士,自動車運転免許",正職員,1ヶ月以内（2025/08/19時点）,"生活支援員 (3年未満),サービス管理責任者,相談支援専門員 (10年以上),児童指導員/指導員 (3年未満),サービス提供責任者 (2年未満),管理職（介護）,生活相談員 (10年以上),介護職/ヘルパー (10年以上)",,就業中,HOT,2832825
94,60,女性,60代,京都府,京都市北区,1,2,False,"介護職員初任者研修（旧ヘルパー2級）,自動車運転免許",パート・バイト,機会があれば転職を検討したい（2025/09/03時点）,介護職/ヘルパー,,就業中,HOT,802675
95,45,女性,40代,京都府,船井郡京丹波町,2,3,False,"介護福祉士,介護職員初任者研修（旧ヘルパー2級）,自動車運転免許","パート・バイト, 正職員",3ヶ月以内（2025/10/15時点）,介護職/ヘルパー (10年以上),,離職中,HOT,190010
96,38,男性,30代,京都府,京都市伏見区,23,2,False,"介護福祉士,自動車運転免許 取得予定（1年以内）","正職員, パート・バイト",,"介護職/ヘルパー,介護タクシー/ドライバー (未経験),生活支援員,サービス提供責任者,生活相談員,看護助手,相談支援専門員",,離職中,HOT,1179830
