qualification_name,is_national_license,applicant_count,avg_age
保健師,True,2,34.0
その他（喀痰吸引3号）,False,2,44.5
その他（同行援護従業者）,False,2,43.0
その他（登録販売者） 取得予定（1年以内）,False,2,44.0
その他（認知症介護実践リーダー研修）,False,2,44.0
薬剤師,False,2,67.0
その他（実用英語技能検定2級）,False,2,46.0
その他（喀痰吸引3号基本）,False,2,67.0
その他（日本パラスポーツ協会 中級指導員）,False,1,61.0
その他（知的障害者移動支援）,False,1,61.0
その他（視覚障害者移動支援）,False,1,61.0
その他（強度行動障害支援者養成研修実践研修）,False,1,48.0
言語聴覚士 取得予定（1年以内）,False,1,66.0
管理栄養士 取得予定（1年以内）,False,1,66.0
その他（フォークリフト運転技能講習修了証）,False,1,42.0
その他（行動援護従業者養成研修修了）,False,1,42.0
その他（同行援護従業者養成研修修了）,False,1,42.0
その他（音楽療法士）,False,1,37.0
その他（認知症介護実践研修）,False,1,57.0
その他（相談支援従事者初任者研修（2日講義））,False,1,57.0
その他（メンタルヘルスケアマネジメント検定（ラインケア、セルフケア））,False,1,57.0
その他（普通自動車第一種免許）,False,1,51.0
ネイリスト資格（民間） 取得予定（1年以内）,False,1,20.0
その他（難病ピアカウンセラー養成講座）,False,1,54.0
その他（介護福祉士基本研修）,False,1,54.0
その他（認知症実践者研修 ）,False,1,46.0
その他（介護福祉士実習指導者）,False,1,46.0
その他（肝炎医療コーディネーター）,False,1,48.0
その他（医師事務作業補助認定）,False,1,48.0
その他（サービス管理責任者初任者研修修了）,False,1,44.0
その他（認知症介護実践者研修修了）,False,1,53.0
その他（キャリアコンサルタント）,False,1,53.0
その他（行動援護従業者養成研修 修了）,False,1,53.0
その他（喀痰吸引研修等終了）,False,1,60.0
その他（MOS(Excel 365&2019)）,False,1,27.0
その他（介護職員基礎研修）,False,1,51.0
その他（看取りケアパートナー）,False,1,52.0
その他（強度行動障害支援者養成基礎研修・実践研修）,False,1,28.0
その他（原動機付自転車）,False,1,38.0
その他（救急救命士）,False,1,55.0
その他（ワープロ実務検定3級）,False,1,32.0
その他（情報処理検定試験2級）,False,1,32.0
その他（学芸員資格）,False,1,35.0
その他（TOEIC840）,False,1,35.0
その他（剣道２段）,False,1,35.0
その他（喀痰吸引3級）,False,1,44.0
その他（社会教育主事）,False,1,56.0
その他（国内旅行業務取扱主任者）,False,1,43.0
その他（強度行動障害支援者養成研修（基礎課程）修了）,False,1,43.0
その他（危険物取扱者乙四類）,False,1,44.0
その他（社会福祉士受験資格）,False,1,48.0
その他（相談支援専門員）,False,1,58.0
その他（国内旅行取扱管理者）,False,1,54.0
その他（第一種自動車免許）,False,1,26.0
その他（診療情報管理士）,False,1,29.0
その他（メンタルヘルスマネジメント検定II種）,False,1,40.0
その他（実務者研修教員講習会修了）,False,1,40.0
その他（調理師免許）,False,1,55.0
その他（普通自動二輪免許）,False,1,55.0
その他（陸上特殊無線技術士免許）,False,1,55.0
その他（潜水士免許）,False,1,55.0
その他（全日本剣道連盟・五段）,False,1,55.0
その他（同行援護従業者養成研修一服課程）,False,1,58.0
その他（同行援護従業者養成研修応用課程）,False,1,58.0
その他（AJESTHE認定フェイシャルエステティシャン）,False,1,58.0
その他（AJESTHE認定ボディエステティシャン）,False,1,58.0
その他（アロマセラピー検定1級）,False,1,58.0
その他（上級心理カウンセラー(民間)）,False,1,58.0
その他（第一種衛生管理）,False,1,67.0
その他（2級ファイナンシャル・プランニング技能士(国家資格)）,False,1,40.0
放課後児童支援員/学童指導員,False,1,56.0
児童指導員,False,1,56.0
その他（防火防災管理責任者）,False,1,56.0
その他（児童発達支援管理責任者 更新時研修）,False,1,56.0
その他（二級建築士）,False,1,48.0
その他（看護助手実務認定資格）,False,1,56.0
その他（メンタルヘルスマネジメントⅡ種）,False,1,52.0
その他（販売士2級）,False,1,52.0
その他（色彩検定2級）,False,1,52.0
その他（漢字検定準2級）,False,1,52.0
その他（ガイドヘルパー 全身性障害課程）,False,1,52.0
その他（難病患者等ホームヘルパー養成講座(基礎課程Ⅱ)）,False,1,52.0
その他（同行援護従業者養成研修(応用課程)）,False,1,52.0
その他（健康検定 ベーシック）,False,1,52.0
その他（2級労務管理士）,False,1,52.0
その他（求人広告取扱資格）,False,1,52.0
その他（重度訪問介護従事者養成研修基礎、追加課程終了）,False,1,46.0
その他（日商簿記３級）,False,1,59.0
その他（普通自動車第二種免許資格取得）,False,1,62.0
その他（強度行動障害支援者養成研修基礎研修修了）,False,1,26.0
その他（強度行動障害支援者養成研修実践研修修了）,False,1,26.0
その他（防火管理者講習修了（甲種））,False,1,26.0
その他（防災管理者講習修了）,False,1,26.0
医師,False,1,65.0
その他（救命士）,False,1,65.0
その他（喀痰吸引等研修3号研修修了）,False,1,46.0
その他（MicrosoftOfficeSpecialistWord）,False,1,46.0
その他（MicrosoftOfficeSpecialistExcel）,False,1,46.0
その他（日本リラクゼーション協会マタニティケアセラピスト）,False,1,38.0
その他（アロマテラピーインストラクター）,False,1,55.0
その他（植物芳香蒸留士）,False,1,55.0
その他（認知症対応型サービス管理者）,False,1,49.0
その他（防火防災管理）,False,1,49.0
その他（強度行動障害支援者育成研修(実践研修)）,False,1,32.0
その他（認定特定行為業務従事者認定証）,False,1,49.0
その他（初級システムアドミニストレーター）,False,1,53.0
その他（介護予防運動指導員） 取得予定（1年以内）,False,1,53.0
その他（児童発達支援管理責任者）,False,1,50.0
その他（児童発達支援管理責任者更新）,False,1,50.0
その他（相談支援従事者初任者研修（3日コース））,False,1,50.0
その他（強度行動障害支援者養成（基礎研修））,False,1,50.0
その他（強度行動障害支援者養成（実践研修））,False,1,50.0
その他（喀痰吸引等研修3号研修）,False,1,46.0
その他（MicrosoftOfficeSpecialistExcel2016）,False,1,46.0
その他（MicrosoftOfficeSpecialistWord2016）,False,1,46.0
その他（介護職員実務者研修）,False,1,55.0
その他（日本化粧品検定３級）,False,1,55.0
その他（情報処理士）,False,1,47.0
その他（強度行動障がい支援者資格、基礎・実践）,False,1,40.0
その他（サービス管理者資格）,False,1,40.0
その他（損害保険募集人一般試験基礎単位）,False,1,54.0
その他（損害保険募集人一般試験自動車保険単位）,False,1,54.0
その他（損害保険募集人一般試験火災保険単位）,False,1,54.0
その他（損害保険募集人一般試験障害疾病保険単位）,False,1,54.0
その他（世界共通中国語HSK3級）,False,1,51.0
その他（レクレーションインストラクター）,False,1,51.0
理容師 取得予定（1年以内）,False,1,46.0
臨床心理士,False,1,25.0
その他（ITパスポート）,False,1,30.0
主任相談支援専門員,False,1,42.0
その他（医療的ケア児等コーディネーター）,False,1,42.0
その他（高次脳機能障害支援者養成研修修了）,False,1,42.0
その他（精神障がい者支援の障がい特性支援技法を学研修修了）,False,1,42.0
その他（障害者ピアサポート研修〔専門〕修了）,False,1,42.0
その他（強度行動障害支援者基礎研修）,False,1,52.0
その他（強度行動障害支援者実践研修）,False,1,52.0
その他（普通自動車四輪教習指導員資格）,False,1,50.0
理学療法士 取得予定（1年以内）,False,1,21.0
その他（重度訪問介護）,False,1,55.0
その他（幼稚園教諭第二種免許）,False,1,51.0
その他（大型自動車二種免許）,False,1,52.0
その他（認知症実務者研修（計画作成用））,False,1,52.0
その他（消防設備士）,False,1,52.0
その他（同行援護(ガイドヘルパー)）,False,1,50.0
その他（ガイドヘルパー 有償福祉車両運転技能）,False,1,65.0
その他（耳つぼセラピストインストラクター）,False,1,53.0
その他（かっさインストラクター）,False,1,53.0
その他（マスターカラーセラピスト）,False,1,53.0
その他（福祉住環境コーディネーター3級）,False,1,44.0
その他（ビジネス実務法務検定2級）,False,1,44.0
その他（メンタルヘルスマネジメント検定Ⅱ種）,False,1,44.0
その他（危険物取扱者丙種）,False,1,52.0
その他（危険物取扱者乙種４類）,False,1,52.0
その他（こども発達支援アドバイザー）,False,1,52.0
その他（介護事務(民間)）,False,1,37.0
その他（TENA マイスター認定）,False,1,32.0
その他（在宅介護指導士）,False,1,32.0
その他（大学学位授与認定機構 看護学位取得）,False,1,39.0
その他（MOS2003）,False,1,46.0
その他（MOS010）,False,1,46.0
その他（介護特定技能１号合格者）,False,1,44.0
その他（ビジネス文書3級）,False,1,25.0
その他（珠算・電卓実務2級）,False,1,25.0
その他（普通自動車免許（AT限定））,False,1,25.0
その他（重度訪問介護従業者養成研修基礎課程・追加課程）,False,1,47.0
その他（介護職員のための喀痰吸引等研修（第三号研修））,False,1,47.0
その他（全身性障がい者移動支援従業者養成研修課程修了）,False,1,47.0
その他（学校図書館司書教諭資格）,False,1,68.0
その他（特別支援学校教諭）,False,1,68.0
その他（救命救急講習、認知症ケアサポート、ユマニチュード講習）,False,1,48.0
その他（同行援護 応用過程）,False,1,27.0
その他（行動援護）,False,1,27.0
その他（同行援護従事者）,False,1,70.0
その他（第二種衛生管理者）,False,1,58.0
その他（フォークリフト運転）,False,1,58.0
その他（強度行動障害支援者養成講習）,False,1,58.0
その他（測量士）,False,1,52.0
その他（京都府同行援護従事者養成研修）,False,1,52.0
その他（ファイナンシャルプランナー）,False,1,52.0
その他（難病患者等ホームヘルパー基礎課程１）,False,1,55.0
その他（喀痰吸引 第２号）,False,1,68.0
児童発達支援管理責任者,False,1,61.0
その他（全身性障害者移動介護従業者養成研修）,False,1,61.0
その他（視覚性障害者移動介護従業者養成研修）,False,1,61.0
その他（喀痰吸引研修）,False,1,44.0
その他（同行援護研修）,False,1,44.0
その他（行動援護研修）,False,1,44.0
その他（大型2種自動車免許）,False,1,60.0
その他（一級建築士一級塗装） 取得予定（1年以内）,False,1,59.0
その他（サービス管理責任者更新研修）,False,1,61.0
その他（居宅介護職員初任者研修）,False,1,31.0
その他（中型自動車免許一種）,False,1,51.0
その他（介護福祉士実務者研修） 取得予定（1年以内）,False,1,58.0
その他（移動支援従業者養成研修全身性障がい課程）,False,1,55.0
作業療法士 取得予定（1年以内）,False,1,59.0
その他（第三号研修）,False,1,41.0
その他（第3号研修）,False,1,51.0
その他（強度行動障がい支援者養成研修）,False,1,51.0
その他（認知症介助士）,False,1,50.0
その他（大型自動車第一種免許）,False,1,50.0
その他（けん引自動車第一種免許）,False,1,50.0
その他（フォークリフト運転技能講習）,False,1,50.0
その他（おむつフィッター2級）,False,1,43.0
その他（おむつフィッター1級） 取得予定（1年以内）,False,1,43.0
その他（おむつフィッター３級）,False,1,43.0
その他（認知症型基礎講習修了）,False,1,49.0
その他（認知症実践者リーダー）,False,1,63.0
その他（ガイドヘルパー（3種））,False,1,63.0
その他（日本語文書処理技能（ワープロ技能）検定4級）,False,1,48.0
その他（Microsoft Office Specialist EXCEL 2000）,False,1,48.0
その他（丙種危険物取扱者）,False,1,48.0
その他（情報処理活用能力検定3級）,False,1,48.0
その他（京都市食品衛生責任者）,False,1,48.0
その他（第一種衛星管理者）,False,1,63.0
その他（同行援護従業者一般課程）,False,1,38.0
その他（整理収納アドバイザー2級）,False,1,38.0
その他（原動機付自転車免許）,False,1,42.0
その他（認知症介護実務者研修 管理者研修）,False,1,61.0
その他（パソコンインストラクター２級）,False,1,56.0
薬剤師 取得予定（1年以内）,False,1,59.0
その他（実用英語技能検定）,False,1,51.0
その他（強度行動障害支援者）,False,1,36.0
その他（福祉有償運送運転者講習）,False,1,39.0
その他（リンパケアヘッドフェイシャルセラピスト）,False,1,48.0
その他（自動二輪免許）,False,1,48.0
その他（英検 準1級）,False,1,71.0
その他（第1種情報処理技術者）,False,1,71.0
その他（気象予報士）,False,1,71.0
その他（介護食士3級）,False,1,44.0
その他（介護食士2級）,False,1,44.0
その他（将棋三段）,False,1,48.0
その他（簿記3級。珠算3級全国商業高等学校英文タイプ2級。）,False,1,58.0
その他（音楽健康指導士）,False,1,46.0
その他（小原流華道 三級家元教授）,False,1,50.0
その他（秘書技能検定２級）,False,1,50.0
柔道整復師 取得予定（1年以内）,False,1,59.0
その他（クリーニング師）,False,1,60.0
その他（介護特定技能）,False,1,36.0
整体師 取得予定（1年以内）,False,1,59.0
その他（jesc認定カウンセラー）,False,1,29.0
その他（日本語ワープロ検定 3級）,False,1,29.0
その他（心理学検定2級）,False,1,29.0
その他（文部科学省後援 色彩検定3級）,False,1,29.0
その他（行動援護従業者要請研修）,False,1,29.0
カイロプラクター 取得予定（1年以内）,False,1,59.0
その他（行動援護従事者研修修了）,False,1,47.0
その他（自動車運転二種免許）,False,1,47.0
調理師 取得予定（1年以内）,False,1,54.0
その他（珠算・簿記）,False,1,52.0
その他（医師事務作業補助者）,False,1,35.0
その他（国家資格キャリアコンサルタント）,False,1,60.0
その他（医療ケア 基本研修終了）,False,1,30.0
その他（動物関係）,False,1,30.0
その他（経鼻経管栄養、喀痰吸引）,False,1,34.0
その他（NSCA-CPT）,False,1,25.0
その他（行動援護従業者研修）,False,1,49.0
その他（原動機付き自転車免許）,False,1,49.0
その他（重度訪問介護従業者 統合課程） 取得予定（1年以内）,False,1,45.0
その他（同行援護従業者 一般課程）,False,1,49.0
その他（第二種衛生管理）,False,1,76.0
その他（危険物乙四類）,False,1,55.0
その他（同行援護従業者 応用課程）,False,1,49.0
その他（京都府強度行動障害支援者養成研修(実践研修)）,False,1,34.0
その他（中型自動車免許）,False,1,34.0
その他（同行援護従事者育成研修終了）,False,1,55.0
その他（京都府強度行動障害支援者育成研修終了）,False,1,55.0
その他（認定心理士）,False,1,48.0
その他（養護学校教諭）,False,1,70.0
その他（産業カウンセラー）,False,1,61.0
その他（健康経営アドバイザー）,False,1,61.0
その他（税理士）,False,1,61.0
その他（自動車二種免許）,False,1,49.0
その他（福祉有償運送運転者講習修了）,False,1,37.0
その他（城陽市生活支援員養成講座）,False,1,48.0
その他（１級管工事施工管理技士）,False,1,58.0
その他（MOS(ワード/エクセル)スペシャリスト/エキスパート）,False,1,56.0
臨床心理士 取得予定（1年以内）,False,1,26.0
公認心理師 取得予定（1年以内）,False,1,26.0
その他（障害者職業生活相談員資格認定講習修了）,False,1,39.0
その他（運行管理者（貨物）資格証 取得）,False,1,39.0
その他（大型自動車第一種免許 取得）,False,1,39.0
その他（けん引免許 取得）,False,1,39.0
その他（フォークリフト運転技能講習 修了）,False,1,39.0
その他（安全管理者選任時研修 受講修了）,False,1,39.0
その他（食品衛生責任者養成講習会 受講修了）,False,1,39.0
その他（同行援護従業者養成研修一般課程）,False,1,63.0
その他（重度訪問介護従事者 喀痰吸引 ３号）,False,1,45.0
その他（日本空手協会 初段）,False,1,38.0
その他（介護予防運動トレーナー） 取得予定（1年以内）,False,1,38.0
その他（第2号研修）,False,1,66.0
その他（同行援護従業者養成研修応用課程修了）,False,1,58.0
その他（全身性障害者移動介護従業者養成研修修了）,False,1,58.0
その他（介護予防運動指導員講習修了）,False,1,57.0
その他（リフト）,False,1,60.0
その他（NASMPES）,False,1,27.0
その他（重度訪問介護従業者養成研修総合課程終了）,False,1,61.0
その他（喀痰吸引等第3号研修）,False,1,31.0
その他（大型自動二輪）,False,1,39.0
その他（日本語ワープロ検定準二級）,False,1,22.0
その他（日本情報処理技能検定準二級）,False,1,22.0
調剤事務資格（民間） 取得予定（1年以内）,False,1,29.0
その他（2級建築施工管理技士）,False,1,61.0
看護師 取得予定（1年以内）,False,1,27.0
その他（ワード3級）,False,1,31.0
その他（喀痰吸引第二号）,False,1,37.0
その他（労務事務(給与計算PCエクセル、ワード)）,False,1,62.0
その他（普通自動車二種免許資格取得）,False,1,62.0
その他（秘書検定2級、漢字検定2級）,False,1,58.0
その他（ファイナンシャルアドバイザー）,False,1,58.0
その他（福祉用具専門相談員）,False,1,27.0
その他（文部科学省後援日本マナープロトコール協会マナープロトコール検定3級）,False,1,23.0
その他（日本ビジネス技能検定協会主催漢字能力検定試験2級）,False,1,23.0
その他（ホテルビジネス実務検定2級）,False,1,23.0
その他（アロマテラピー一級）,False,1,41.0
その他（MOS 2013 ワード、エクセル、パワーポイント）,False,1,43.0
その他（消防救命救急一級、二級）,False,1,43.0
その他（強度行動障がい従事者研修基礎）,False,1,57.0
その他（強度行動障がい従事者研修実践）,False,1,57.0
その他（３Ｂ体操指導者、3A研修修了）,False,1,57.0
MR認定資格,False,1,63.0
その他（カラーアナリスト、イメージコンサルタント）,False,1,77.0
その他（医療的ケア教員講習会）,False,1,60.0
その他（同行援護従業者養成研修）,False,1,55.0
その他（チャイルドマインダージャパン講座）,False,1,26.0
その他（普通自動車二種）,False,1,66.0
栄養士 取得予定（1年以内）,False,1,25.0
その他（MOS word/excel2013スペシャリスト）,False,1,27.0
小学校教諭 取得予定（1年以内）,False,1,63.0
その他（介護レクインストラクター）,False,1,39.0
その他（日商簿記3級）,False,1,62.0
その他（クリーニング師免許）,False,1,51.0
その他（同行援護一般課程.応用過程）,False,1,70.0
その他（重度訪問介護従業者）,False,1,70.0
その他（知的ガイドヘルパー）,False,1,56.0
その他（強度行動障害（基礎、実践））,False,1,60.0
その他（喀痰吸引等3級）,False,1,56.0
その他（重度訪問介護従業者養成研修）,False,1,49.0
歯科医師,False,1,32.0
その他（日本歯科麻酔学会認定医）,False,1,32.0
その他（ホテルビジネス実務検定1級）,False,1,25.0
その他（手話検定） 取得予定（1年以内）,False,1,25.0
その他（メンタルヘルスマネジメント）,False,1,34.0
その他（着付け）,False,1,47.0
その他（第3級ワープロ実務検定）,False,1,46.0
その他（福祉住環境コーディネーター２級）,False,1,43.0
その他（認定特定行為業務従事者(喀痰吸引研修2号修了)）,False,1,43.0
その他（第4級簿記検定）,False,1,46.0
その他（第3級コンピュータ利用技術検定）,False,1,46.0
その他（普通自動車第一種免許取得）,False,1,45.0
その他（クレーン運転業務特別教育修了）,False,1,45.0
その他（フォークリフト運転技能講習修了）,False,1,45.0
その他（重度介護訪問事業者）,False,1,26.0
その他（介護口腔ケア推進士）,False,1,54.0
その他（第二種電気工事士）,False,1,59.0
その他（甲種４類(自火報設備)消防設備士）,False,1,59.0
その他（乙種６類(消火器)消防設備士）,False,1,59.0
その他（日本スポーツ協会 コーチ）,False,1,61.0
その他（喀痰吸引等 ３号研修（基本））,False,1,50.0
その他（重度訪問介護従業者養成研修（基礎・追加））,False,1,50.0
その他（メンタルケアカウンセラー）,False,1,32.0
その他（自動普通二輪免許）,False,1,27.0
