applicant_id,age,gender,residence_pref,same_prefecture_count,different_prefecture_count,total_desired_areas,mobility_score,mobility_rank
4694,22,女性,徳島県,0,1,1,1.0,D: 高い（県外多数）
4679,39,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
4673,33,女性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
3517,39,男性,大阪府,0,2,2,1.0,D: 高い（県外多数）
6135,29,男性,福井県,0,1,1,1.0,D: 高い（県外多数）
4663,22,男性,京都府,0,3,3,1.0,D: 高い（県外多数）
4652,32,男性,大阪府,0,4,4,1.0,D: 高い（県外多数）
210,22,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
6151,25,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
6196,41,女性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
6200,67,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
6201,49,男性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
1697,33,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
6207,26,女性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
4617,24,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
6220,25,男性,大阪府,0,3,3,1.0,D: 高い（県外多数）
1051,43,男性,京都府,0,2,2,1.0,D: 高い（県外多数）
6263,32,女性,埼玉県,0,1,1,1.0,D: 高い（県外多数）
6302,27,男性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
2833,22,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
6309,23,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
3022,64,女性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
6354,68,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
2808,51,女性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
227,44,男性,京都府,0,26,26,1.0,D: 高い（県外多数）
4602,27,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
6371,29,男性,京都府,0,2,2,1.0,D: 高い（県外多数）
4591,71,男性,奈良県,0,1,1,1.0,D: 高い（県外多数）
6427,47,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
6435,25,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
6447,42,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
3181,37,男性,和歌山県,0,4,4,1.0,D: 高い（県外多数）
6465,57,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
1834,61,女性,京都府,0,3,3,1.0,D: 高い（県外多数）
6472,36,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
6505,26,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
6515,26,男性,京都府,0,2,2,1.0,D: 高い（県外多数）
4545,55,女性,奈良県,0,4,4,1.0,D: 高い（県外多数）
6522,26,女性,新潟県,0,1,1,1.0,D: 高い（県外多数）
242,30,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
4542,30,男性,静岡県,0,1,1,1.0,D: 高い（県外多数）
7482,48,男性,石川県,0,5,5,1.0,D: 高い（県外多数）
6536,55,女性,奈良県,0,1,1,1.0,D: 高い（県外多数）
6585,64,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
4528,59,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
2563,72,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
808,20,女性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
4525,25,女性,大阪府,0,2,2,1.0,D: 高い（県外多数）
6608,49,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
6625,28,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
6634,76,女性,兵庫県,0,1,1,1.0,D: 高い（県外多数）
2029,57,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
6666,38,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
6690,28,女性,兵庫県,0,1,1,1.0,D: 高い（県外多数）
1879,28,女性,山形県,0,6,6,1.0,D: 高い（県外多数）
6699,30,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
6725,57,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
6771,60,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
6778,48,女性,愛媛県,0,1,1,1.0,D: 高い（県外多数）
6782,55,女性,兵庫県,0,1,1,1.0,D: 高い（県外多数）
4483,30,女性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
6794,65,男性,奈良県,0,2,2,1.0,D: 高い（県外多数）
6797,53,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
6821,28,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
6845,47,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
4441,27,男性,岡山県,0,1,1,1.0,D: 高い（県外多数）
4431,59,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
2743,66,男性,大阪府,0,1,1,1.0,D: 高い（県外多数）
6850,32,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
6871,37,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
4392,25,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
6880,66,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
2597,23,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
6882,62,女性,京都府,0,3,3,1.0,D: 高い（県外多数）
2849,58,男性,兵庫県,0,3,3,1.0,D: 高い（県外多数）
6906,31,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
6912,37,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
6915,42,女性,大阪府,0,1,1,1.0,D: 高い（県外多数）
6916,42,女性,大阪府,0,1,1,1.0,D: 高い（県外多数）
6927,38,女性,神奈川県,0,1,1,1.0,D: 高い（県外多数）
2095,48,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
6939,47,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
4231,27,女性,兵庫県,0,1,1,1.0,D: 高い（県外多数）
6943,73,女性,大阪府,0,2,2,1.0,D: 高い（県外多数）
6949,53,男性,大阪府,0,1,1,1.0,D: 高い（県外多数）
6953,61,女性,大阪府,0,2,2,1.0,D: 高い（県外多数）
6965,53,男性,兵庫県,0,1,1,1.0,D: 高い（県外多数）
6998,29,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
2862,43,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
7008,65,女性,埼玉県,0,1,1,1.0,D: 高い（県外多数）
2318,50,女性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
7015,69,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
7028,75,男性,大阪府,0,1,1,1.0,D: 高い（県外多数）
296,24,女性,石川県,0,5,5,1.0,D: 高い（県外多数）
3521,25,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
7029,60,女性,大阪府,0,1,1,1.0,D: 高い（県外多数）
4228,67,男性,大阪府,0,1,1,1.0,D: 高い（県外多数）
7031,52,男性,京都府,0,3,3,1.0,D: 高い（県外多数）
7057,63,女性,奈良県,0,1,1,1.0,D: 高い（県外多数）
7067,50,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
7071,61,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
7101,36,女性,福岡県,0,1,1,1.0,D: 高い（県外多数）
7105,57,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
3183,43,女性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
7113,57,女性,大阪府,0,1,1,1.0,D: 高い（県外多数）
308,48,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
7130,53,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
1034,46,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
4194,51,女性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
2919,47,男性,広島県,0,2,2,1.0,D: 高い（県外多数）
4189,42,女性,大阪府,0,3,3,1.0,D: 高い（県外多数）
7143,32,男性,福井県,0,2,2,1.0,D: 高い（県外多数）
1651,76,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
7152,34,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
1691,24,男性,福島県,0,6,6,1.0,D: 高い（県外多数）
7180,33,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
4169,54,女性,石川県,0,3,3,1.0,D: 高い（県外多数）
4162,24,男性,北海道,0,1,1,1.0,D: 高い（県外多数）
7186,49,男性,愛知県,0,1,1,1.0,D: 高い（県外多数）
7190,28,女性,山形県,0,3,3,1.0,D: 高い（県外多数）
7196,48,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
4151,48,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
7198,69,男性,京都府,0,6,6,1.0,D: 高い（県外多数）
7204,65,女性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
7231,29,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
328,44,男性,秋田県,0,9,9,1.0,D: 高い（県外多数）
7234,40,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
4136,36,女性,東京都,0,1,1,1.0,D: 高い（県外多数）
7269,33,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
7270,37,男性,埼玉県,0,1,1,1.0,D: 高い（県外多数）
7278,59,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
4102,24,女性,京都府,0,3,3,1.0,D: 高い（県外多数）
7285,60,女性,福井県,0,1,1,1.0,D: 高い（県外多数）
7290,34,女性,佐賀県,0,1,1,1.0,D: 高い（県外多数）
2460,47,女性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
7312,47,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
7318,45,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
4092,29,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
7321,35,女性,滋賀県,0,4,4,1.0,D: 高い（県外多数）
7327,56,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
7351,42,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
7354,67,男性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
659,47,女性,奈良県,0,17,17,1.0,D: 高い（県外多数）
3286,33,男性,東京都,0,3,3,1.0,D: 高い（県外多数）
7365,56,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
7373,49,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
4047,21,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
4034,62,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
7375,65,女性,奈良県,0,1,1,1.0,D: 高い（県外多数）
7383,44,女性,京都府,0,4,4,1.0,D: 高い（県外多数）
4032,26,女性,和歌山県,0,1,1,1.0,D: 高い（県外多数）
7385,60,男性,大阪府,0,1,1,1.0,D: 高い（県外多数）
7393,50,女性,鹿児島県,0,1,1,1.0,D: 高い（県外多数）
2753,35,女性,静岡県,0,1,1,1.0,D: 高い（県外多数）
7397,52,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
7401,51,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
7404,60,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
7409,35,女性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
4018,57,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
7410,52,男性,滋賀県,0,1,1,1.0,D: 高い（県外多数）
3999,54,女性,兵庫県,0,1,1,1.0,D: 高い（県外多数）
7413,47,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
7418,29,女性,大阪府,0,1,1,1.0,D: 高い（県外多数）
7425,44,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
7430,41,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
2757,51,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
3575,68,男性,神奈川県,0,1,1,1.0,D: 高い（県外多数）
1438,56,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
371,29,男性,三重県,0,4,4,1.0,D: 高い（県外多数）
7437,42,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
7441,58,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
7459,46,男性,大阪府,0,6,6,1.0,D: 高い（県外多数）
2064,76,女性,京都府,0,5,5,1.0,D: 高い（県外多数）
6649,44,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
377,39,女性,京都府,0,15,15,1.0,D: 高い（県外多数）
3963,29,女性,京都府,0,1,1,1.0,D: 高い（県外多数）
1447,35,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
3948,46,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
3891,49,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
3879,35,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
3874,27,男性,大阪府,0,2,2,1.0,D: 高い（県外多数）
3866,52,男性,京都府,0,1,1,1.0,D: 高い（県外多数）
3843,62,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
3651,57,女性,京都府,0,2,2,1.0,D: 高い（県外多数）
2390,42,女性,愛媛県,2,89,91,0.978,D: 高い（県外多数）
823,42,男性,高知県,1,42,43,0.9767,D: 高い（県外多数）
2046,25,男性,京都府,1,40,41,0.9756,D: 高い（県外多数）
576,65,男性,山梨県,3,118,121,0.9752,D: 高い（県外多数）
4015,35,男性,和歌山県,1,34,35,0.9714,D: 高い（県外多数）
75,66,女性,鹿児島県,2,54,56,0.9643,D: 高い（県外多数）
376,47,女性,奈良県,1,22,23,0.9565,D: 高い（県外多数）
3782,53,男性,宮崎県,1,21,22,0.9545,D: 高い（県外多数）
2121,45,男性,北海道,3,61,64,0.9531,D: 高い（県外多数）
2223,27,男性,高知県,1,18,19,0.9474,D: 高い（県外多数）
1128,26,女性,三重県,1,17,18,0.9444,D: 高い（県外多数）
6969,51,女性,京都府,1,15,16,0.9375,D: 高い（県外多数）
3436,47,男性,三重県,1,14,15,0.9333,D: 高い（県外多数）
3005,39,女性,山口県,1,14,15,0.9333,D: 高い（県外多数）
5501,35,男性,兵庫県,2,28,30,0.9333,D: 高い（県外多数）
