target_municipality,age_group,gender,has_national_license,residence_prefecture,count,avg_age,employment_rate,top_qualifications
三重県四日市市,50代,男性,False,三重県,1,55.0,0.0,介護職員初任者研修（旧ヘルパー2級）;自動車運転免許 取得予定（1年以内）;福祉用具専門相談員
三重県四日市市,60代,女性,True,愛知県,1,66.0,0.0,看護師;自動車運転免許
三重県多気郡多気町,30代,女性,False,三重県,1,30.0,1.0,介護職員初任者研修（旧ヘルパー2級）
三重県多気郡明和町,30代,女性,False,三重県,1,30.0,1.0,介護職員初任者研修（旧ヘルパー2級）
三重県度会郡大紀町,30代,女性,False,三重県,1,30.0,1.0,介護職員初任者研修（旧ヘルパー2級）
三重県度会郡度会町,30代,女性,False,三重県,1,30.0,1.0,介護職員初任者研修（旧ヘルパー2級）
三重県度会郡玉城町,30代,女性,False,三重県,1,30.0,1.0,介護職員初任者研修（旧ヘルパー2級）
三重県志摩市,40代,女性,False,奈良県,2,47.0,1.0,介護福祉士;自動車運転免許
三重県志摩市,30代,女性,False,三重県,1,30.0,1.0,介護職員初任者研修（旧ヘルパー2級）
三重県志摩市,50代,女性,True,大阪府,1,53.0,1.0,看護師;准看護師;管理栄養士
三重県松阪市,20代,女性,False,三重県,1,26.0,1.0,
三重県松阪市,20代,女性,False,大阪府,1,29.0,1.0,介護職員初任者研修（旧ヘルパー2級）;あん摩マッサージ指圧師;幼稚園教諭
三重県松阪市,30代,女性,False,三重県,1,30.0,1.0,介護職員初任者研修（旧ヘルパー2級）
三重県松阪市,40代,男性,False,三重県,1,47.0,1.0,介護職員初任者研修（旧ヘルパー2級）
三重県松阪市,50代,女性,False,三重県,1,57.0,1.0,
三重県松阪市,50代,女性,True,大阪府,1,53.0,1.0,看護師;准看護師;管理栄養士
三重県松阪市,50代,男性,False,三重県,1,55.0,0.0,介護職員初任者研修（旧ヘルパー2級）;自動車運転免許 取得予定（1年以内）;福祉用具専門相談員
三重県松阪市,60代,女性,False,三重県,1,65.0,1.0,自動車運転免許
三重県松阪市,60代,女性,False,大阪府,1,61.0,0.0,保育士;幼稚園教諭;自動車運転免許
三重県桑名市,20代,女性,False,大阪府,1,29.0,1.0,介護職員初任者研修（旧ヘルパー2級）;あん摩マッサージ指圧師;幼稚園教諭
三重県桑名市,30代,女性,False,三重県,1,30.0,1.0,介護職員初任者研修（旧ヘルパー2級）
三重県桑名市,30代,女性,False,東京都,1,32.0,1.0,歯科医師;その他（日本歯科麻酔学会認定医）
三重県桑名市,40代,男性,False,高知県,1,42.0,1.0,介護支援専門員（ケアマネジャー） 取得予定（1年以内）;介護福祉士;社会福祉士 取得予定（1年以内）
三重県桑名市,60代,女性,True,愛知県,1,66.0,0.0,看護師;自動車運転免許
三重県津市,20代,女性,False,大阪府,1,29.0,1.0,介護職員初任者研修（旧ヘルパー2級）;あん摩マッサージ指圧師;幼稚園教諭
三重県津市,30代,女性,False,三重県,1,30.0,1.0,介護職員初任者研修（旧ヘルパー2級）
三重県津市,30代,女性,False,東京都,1,32.0,1.0,歯科医師;その他（日本歯科麻酔学会認定医）
三重県津市,30代,男性,False,東京都,1,30.0,1.0,自動車運転免許
三重県津市,40代,女性,False,奈良県,1,47.0,1.0,介護福祉士;自動車運転免許
三重県津市,40代,男性,False,群馬県,1,48.0,1.0,介護福祉士;社会福祉主事任用資格;自動車運転免許
三重県津市,50代,男性,False,三重県,1,55.0,0.0,介護職員初任者研修（旧ヘルパー2級）;自動車運転免許 取得予定（1年以内）;福祉用具専門相談員
三重県津市,60代,女性,False,大阪府,1,61.0,0.0,保育士;幼稚園教諭;自動車運転免許
三重県津市,60代,女性,True,愛知県,1,66.0,0.0,看護師;自動車運転免許
三重県鈴鹿市,20代,女性,False,大阪府,1,29.0,1.0,介護職員初任者研修（旧ヘルパー2級）;あん摩マッサージ指圧師;幼稚園教諭
三重県鈴鹿市,30代,女性,False,三重県,1,30.0,1.0,介護職員初任者研修（旧ヘルパー2級）
三重県鈴鹿市,30代,男性,False,東京都,1,30.0,1.0,自動車運転免許
三重県鈴鹿市,40代,男性,False,三重県,1,42.0,1.0,介護福祉士;自動車運転免許
三重県鈴鹿市,60代,女性,False,三重県,1,60.0,1.0,介護職員初任者研修（旧ヘルパー2級）
三重県鈴鹿市,60代,女性,True,愛知県,1,66.0,0.0,看護師;自動車運転免許
三重県鳥羽市,30代,女性,False,三重県,1,30.0,1.0,介護職員初任者研修（旧ヘルパー2級）
京都府,50代,女性,False,京都府,53,54.264150943396224,0.8490566037735849,介護福祉士;自動車運転免許;介護職員初任者研修（旧ヘルパー2級）
京都府,40代,男性,False,京都府,40,44.55,0.8,介護福祉士;自動車運転免許;介護職員初任者研修（旧ヘルパー2級）
京都府,40代,女性,False,京都府,39,44.8974358974359,0.6410256410256411,介護福祉士;自動車運転免許;介護職員初任者研修（旧ヘルパー2級）
京都府,50代,男性,False,京都府,33,52.78787878787879,0.8181818181818182,介護福祉士;自動車運転免許;介護職員初任者研修（旧ヘルパー2級）
京都府,20代,女性,False,京都府,29,25.06896551724138,0.5517241379310345,自動車運転免許;介護職員初任者研修（旧ヘルパー2級）;介護福祉士
京都府,30代,女性,False,京都府,28,35.107142857142854,0.9642857142857143,介護福祉士;自動車運転免許;介護職員初任者研修（旧ヘルパー2級）
京都府,30代,男性,False,京都府,25,34.88,0.84,介護福祉士;自動車運転免許;介護職員初任者研修（旧ヘルパー2級）
京都府,60代,男性,False,京都府,22,63.86363636363637,0.5,自動車運転免許;介護職員初任者研修（旧ヘルパー2級）;介護職員実務者研修（旧ヘルパー1級/基礎研修）
京都府,60代,女性,False,京都府,21,62.666666666666664,0.5714285714285714,介護職員実務者研修（旧ヘルパー1級/基礎研修）;介護職員初任者研修（旧ヘルパー2級）;介護福祉士
京都府,20代,男性,False,京都府,18,26.333333333333332,0.6666666666666666,介護福祉士;自動車運転免許;介護職員実務者研修（旧ヘルパー1級/基礎研修）
京都府,40代,男性,False,大阪府,13,44.53846153846154,0.8461538461538461,介護福祉士;介護職員初任者研修（旧ヘルパー2級）;自動車運転免許
京都府,50代,女性,False,大阪府,11,53.54545454545455,0.6363636363636364,介護福祉士;自動車運転免許;介護職員初任者研修（旧ヘルパー2級）
京都府,20代,女性,False,大阪府,7,25.857142857142858,0.42857142857142855,介護職員初任者研修（旧ヘルパー2級）;自動車運転免許;介護福祉士
京都府,50代,女性,False,滋賀県,7,52.857142857142854,0.8571428571428571,自動車運転免許;介護福祉士;調理師
京都府,50代,男性,False,大阪府,7,57.142857142857146,0.5714285714285714,自動車運転免許;介護福祉士;社会福祉主事任用資格
京都府,20代,男性,False,大阪府,5,27.6,0.6,介護職員初任者研修（旧ヘルパー2級）;自動車運転免許;介護福祉士
京都府,30代,男性,False,大阪府,5,34.6,0.8,介護職員初任者研修（旧ヘルパー2級）;介護福祉士;自動車運転免許
京都府,30代,男性,False,滋賀県,5,36.4,0.4,自動車運転免許;介護福祉士;精神保健福祉士
京都府,60代,男性,False,大阪府,5,64.8,1.0,自動車運転免許;介護福祉士;介護職員実務者研修（旧ヘルパー1級/基礎研修）
京都府,70歳以上,女性,False,京都府,5,73.4,0.6,介護福祉士;介護職員初任者研修（旧ヘルパー2級）;介護福祉士 取得予定（1年以内）
京都府,70歳以上,男性,False,京都府,5,71.6,0.4,介護職員初任者研修（旧ヘルパー2級）;自動車運転免許
京都府,30代,女性,False,大阪府,4,37.0,0.75,介護福祉士;介護職員初任者研修（旧ヘルパー2級）;自動車運転免許
京都府,50代,女性,True,京都府,4,54.0,0.75,准看護師;介護福祉士;看護師
京都府,60代,女性,False,大阪府,4,63.5,0.5,介護職員初任者研修（旧ヘルパー2級）;自動車運転免許;登録販売者
京都府,60代,女性,False,滋賀県,4,63.75,0.75,自動車運転免許;社会福祉主事任用資格;介護事務資格（民間）
京都府,30代,女性,False,滋賀県,3,32.666666666666664,0.6666666666666666,介護福祉士;自動車運転免許;社会福祉主事任用資格
京都府,30代,男性,False,兵庫県,3,36.333333333333336,1.0,自動車運転免許;介護職員初任者研修（旧ヘルパー2級）;介護福祉士
京都府,40代,女性,False,大阪府,3,47.0,1.0,介護支援専門員（ケアマネジャー）;介護福祉士;柔道整復師
京都府,40代,女性,False,滋賀県,3,45.666666666666664,0.3333333333333333,介護支援専門員（ケアマネジャー）;介護福祉士;介護職員初任者研修（旧ヘルパー2級）
京都府,40代,男性,False,滋賀県,3,42.0,0.6666666666666666,介護職員初任者研修（旧ヘルパー2級）;介護福祉士;自動車運転免許
京都府,50代,女性,False,奈良県,3,54.0,0.3333333333333333,自動車運転免許;介護福祉士;医療事務資格（民間）
京都府,50代,男性,False,滋賀県,3,54.333333333333336,0.6666666666666666,介護福祉士;介護職員初任者研修（旧ヘルパー2級）;社会福祉主事任用資格
京都府,20代,女性,False,滋賀県,2,23.5,0.5,介護職員初任者研修（旧ヘルパー2級）;介護職員実務者研修（旧ヘルパー1級/基礎研修）;自動車運転免許
京都府,30代,女性,False,兵庫県,2,32.0,1.0,介護福祉士
京都府,30代,男性,False,和歌山県,2,38.0,0.5,自動車運転免許;介護職員初任者研修（旧ヘルパー2級）;その他（普通自動車第二種免許）
京都府,30代,男性,False,東京都,2,34.0,0.5,介護支援専門員（ケアマネジャー）;介護福祉士;自動車運転免許
京都府,40代,女性,False,兵庫県,2,44.0,1.0,介護福祉士;自動車運転免許
京都府,40代,男性,False,群馬県,2,47.0,0.5,介護福祉士;自動車運転免許;社会福祉主事任用資格
京都府,40代,男性,True,京都府,2,46.0,1.0,自動車運転免許;理学療法士;介護職員初任者研修（旧ヘルパー2級）
京都府,50代,女性,False,東京都,2,58.0,0.5,介護職員初任者研修（旧ヘルパー2級）;介護福祉士;介護職員実務者研修（旧ヘルパー1級/基礎研修）
京都府,50代,女性,False,熊本県,2,50.0,0.5,介護福祉士;自動車運転免許
京都府,50代,女性,False,石川県,2,53.0,1.0,介護職員初任者研修（旧ヘルパー2級）;介護福祉士;社会福祉主事任用資格
京都府,50代,男性,False,兵庫県,2,54.0,0.5,自動車運転免許;介護福祉士;介護職員初任者研修（旧ヘルパー2級）
京都府,50代,男性,True,京都府,2,55.5,1.0,准看護師;介護福祉士;自動車運転免許
京都府,60代,女性,False,埼玉県,2,63.0,0.5,介護職員実務者研修（旧ヘルパー1級/基礎研修）;社会福祉主事任用資格;自動車運転免許
京都府,60代,女性,True,京都府,2,68.0,0.5,看護師;准看護師;自動車運転免許
京都府,60代,女性,True,大阪府,2,64.5,1.0,理学療法士;看護師;准看護師
京都府,60代,男性,False,奈良県,2,62.5,0.0,介護職員初任者研修（旧ヘルパー2級）;公認心理師;自動車運転免許
京都府,60代,男性,False,滋賀県,2,65.0,1.0,自動車運転免許;介護職員実務者研修（旧ヘルパー1級/基礎研修）
京都府,20代,女性,False,兵庫県,1,28.0,0.0,介護福祉士;介護職員実務者研修（旧ヘルパー1級/基礎研修）;介護職員初任者研修（旧ヘルパー2級）
京都府,20代,女性,False,山形県,1,28.0,1.0,介護職員初任者研修（旧ヘルパー2級）;自動車運転免許
京都府,20代,女性,False,愛媛県,1,25.0,1.0,
京都府,20代,女性,True,京都府,1,29.0,0.0,看護師;准看護師;介護職員初任者研修（旧ヘルパー2級）
京都府,20代,女性,True,大阪府,1,28.0,1.0,准看護師;自動車運転免許
京都府,20代,男性,False,三重県,1,29.0,1.0,医療事務資格（民間）;自動車運転免許;その他（診療情報管理士）
京都府,20代,男性,False,佐賀県,1,27.0,1.0,介護福祉士;自動車運転免許
京都府,20代,男性,False,兵庫県,1,27.0,0.0,介護職員実務者研修（旧ヘルパー1級/基礎研修）;社会福祉士;自動車運転免許
京都府,20代,男性,False,埼玉県,1,22.0,1.0,介護職員実務者研修（旧ヘルパー1級/基礎研修）;自動車運転免許
京都府,20代,男性,False,広島県,1,28.0,1.0,自動車運転免許
京都府,20代,男性,False,愛知県,1,27.0,1.0,自動車運転免許 取得予定（1年以内）
京都府,20代,男性,False,新潟県,1,23.0,0.0,介護職員実務者研修（旧ヘルパー1級/基礎研修） 取得予定（1年以内）;介護職員初任者研修（旧ヘルパー2級） 取得予定（1年以内）;自動車運転免許
京都府,20代,男性,False,滋賀県,1,24.0,1.0,自動車運転免許
京都府,20代,男性,False,福井県,1,26.0,0.0,その他（第一種自動車免許）
京都府,20代,男性,False,香川県,1,29.0,1.0,介護職員実務者研修（旧ヘルパー1級/基礎研修） 取得予定（1年以内）;介護職員初任者研修（旧ヘルパー2級） 取得予定（1年以内）;調剤事務資格（民間） 取得予定（1年以内）
京都府,20代,男性,True,京都府,1,28.0,1.0,看護師;自動車運転免許
京都府,30代,女性,False,和歌山県,1,34.0,1.0,介護職員初任者研修（旧ヘルパー2級）;社会福祉士 取得予定（1年以内）;社会福祉主事任用資格
京都府,30代,女性,False,山口県,1,38.0,1.0,介護福祉士
京都府,30代,女性,False,愛知県,1,32.0,0.0,
京都府,30代,女性,False,沖縄県,1,38.0,1.0,自動車運転免許;その他（日本空手協会 初段）;その他（介護予防運動トレーナー） 取得予定（1年以内）
京都府,30代,女性,True,京都府,1,39.0,1.0,看護師
京都府,30代,女性,True,滋賀県,1,37.0,0.0,看護師
京都府,40代,女性,False,山形県,1,42.0,0.0,介護福祉士
京都府,40代,女性,False,東京都,1,43.0,0.0,介護職員実務者研修（旧ヘルパー1級/基礎研修）;介護職員初任者研修（旧ヘルパー2級）
京都府,40代,女性,False,神奈川県,1,47.0,0.0,介護職員初任者研修（旧ヘルパー2級）;自動車運転免許;その他（重度訪問介護従業者養成研修基礎課程・追加課程）
京都府,40代,男性,False,三重県,1,47.0,1.0,介護職員初任者研修（旧ヘルパー2級）
京都府,40代,男性,False,広島県,1,47.0,1.0,介護福祉士;社会福祉主事任用資格;自動車運転免許
京都府,40代,男性,False,愛知県,1,49.0,0.0,介護職員実務者研修（旧ヘルパー1級/基礎研修）;介護職員初任者研修（旧ヘルパー2級）;柔道整復師
京都府,40代,男性,False,神奈川県,1,43.0,1.0,介護職員実務者研修（旧ヘルパー1級/基礎研修）;介護職員初任者研修（旧ヘルパー2級）;自動車運転免許
京都府,40代,男性,False,秋田県,1,44.0,0.0,介護職員初任者研修（旧ヘルパー2級）;調理師;自動車運転免許
京都府,40代,男性,False,静岡県,1,44.0,1.0,介護福祉士;その他（サービス管理責任者初任者研修修了）
京都府,50代,女性,False,和歌山県,1,52.0,1.0,介護福祉士;介護職員実務者研修（旧ヘルパー1級/基礎研修）;介護職員初任者研修（旧ヘルパー2級）
京都府,50代,女性,False,福岡県,1,53.0,1.0,介護福祉士;自動車運転免許
京都府,50代,女性,False,茨城県,1,50.0,0.0,歯科衛生士;介護福祉士 取得予定（1年以内）;介護職員実務者研修（旧ヘルパー1級/基礎研修） 取得予定（1年以内）
京都府,50代,女性,False,鹿児島県,1,50.0,0.0,介護職員初任者研修（旧ヘルパー2級）
京都府,50代,女性,True,大阪府,1,59.0,1.0,作業療法士;介護職員実務者研修（旧ヘルパー1級/基礎研修）;介護職員初任者研修（旧ヘルパー2級）
京都府,50代,男性,False,奈良県,1,53.0,1.0,
京都府,50代,男性,False,東京都,1,52.0,0.0,
京都府,50代,男性,False,石川県,1,56.0,0.0,
京都府,50代,男性,True,大阪府,1,52.0,1.0,准看護師;自動車運転免許;その他（危険物取扱者丙種）
京都府,60代,女性,False,兵庫県,1,69.0,0.0,
京都府,60代,女性,True,奈良県,1,69.0,1.0,准看護師;自動車運転免許
京都府,60代,男性,False,山梨県,1,65.0,1.0,医師;介護支援専門員（ケアマネジャー）;介護職員初任者研修（旧ヘルパー2級）
京都府,60代,男性,True,大阪府,1,65.0,0.0,准看護師
京都府,70歳以上,男性,False,大阪府,1,70.0,0.0,
京都府,70歳以上,男性,True,京都府,1,70.0,1.0,准看護師;自動車運転免許
京都府与謝郡与謝野町,50代,女性,False,京都府,9,53.666666666666664,0.6666666666666666,介護福祉士;自動車運転免許;介護職員初任者研修（旧ヘルパー2級）
京都府与謝郡与謝野町,40代,女性,False,京都府,5,46.8,0.8,自動車運転免許;介護職員実務者研修（旧ヘルパー1級/基礎研修）;介護福祉士
京都府与謝郡与謝野町,20代,女性,False,京都府,4,26.5,0.25,自動車運転免許;介護職員実務者研修（旧ヘルパー1級/基礎研修）;社会福祉主事任用資格
京都府与謝郡与謝野町,50代,男性,False,京都府,4,52.25,0.75,介護福祉士;介護職員初任者研修（旧ヘルパー2級）;介護支援専門員（ケアマネジャー）
京都府与謝郡与謝野町,60代,女性,False,京都府,4,62.75,0.25,介護職員初任者研修（旧ヘルパー2級）;介護支援専門員（ケアマネジャー）;介護福祉士
京都府与謝郡与謝野町,30代,女性,False,京都府,3,32.0,0.3333333333333333,介護福祉士;介護職員初任者研修（旧ヘルパー2級）;自動車運転免許
京都府与謝郡与謝野町,20代,男性,False,京都府,2,23.0,0.0,
京都府与謝郡与謝野町,30代,男性,False,京都府,2,35.0,1.0,介護福祉士;自動車運転免許;社会福祉主事任用資格
京都府与謝郡与謝野町,40代,男性,False,京都府,2,40.5,0.5,介護福祉士;自動車運転免許
京都府与謝郡与謝野町,60代,男性,False,京都府,2,64.0,0.0,介護職員初任者研修（旧ヘルパー2級）;自動車運転免許;介護福祉士
京都府与謝郡与謝野町,70歳以上,男性,False,京都府,1,72.0,1.0,
京都府与謝郡伊根町,20代,女性,False,京都府,1,29.0,1.0,
京都府与謝郡伊根町,30代,女性,False,京都府,1,30.0,0.0,介護職員初任者研修（旧ヘルパー2級）;自動車運転免許
京都府与謝郡伊根町,60代,男性,False,京都府,1,66.0,1.0,介護職員初任者研修（旧ヘルパー2級）;自動車運転免許
京都府久世郡久御山町,50代,女性,False,京都府,26,54.73076923076923,0.9230769230769231,自動車運転免許;介護福祉士;介護職員初任者研修（旧ヘルパー2級）
京都府久世郡久御山町,40代,女性,False,京都府,19,45.10526315789474,0.6842105263157895,自動車運転免許;介護職員初任者研修（旧ヘルパー2級）;介護福祉士
京都府久世郡久御山町,20代,女性,False,京都府,7,26.714285714285715,0.7142857142857143,自動車運転免許;介護福祉士;介護職員実務者研修（旧ヘルパー1級/基礎研修）
京都府久世郡久御山町,40代,男性,False,京都府,7,44.57142857142857,0.8571428571428571,介護福祉士;自動車運転免許;介護職員実務者研修（旧ヘルパー1級/基礎研修）
京都府久世郡久御山町,60代,女性,False,京都府,7,64.57142857142857,0.42857142857142855,介護福祉士;介護職員初任者研修（旧ヘルパー2級）;自動車運転免許
京都府久世郡久御山町,50代,男性,False,京都府,6,55.166666666666664,0.6666666666666666,自動車運転免許;介護職員実務者研修（旧ヘルパー1級/基礎研修）;介護職員初任者研修（旧ヘルパー2級）
京都府久世郡久御山町,20代,男性,False,京都府,5,24.6,0.8,自動車運転免許;介護福祉士;社会福祉主事任用資格
京都府久世郡久御山町,30代,男性,False,京都府,5,35.4,0.4,介護福祉士;自動車運転免許;自動車運転免許 取得予定（1年以内）
京都府久世郡久御山町,60代,男性,False,京都府,5,62.2,1.0,介護福祉士;介護職員初任者研修（旧ヘルパー2級）;自動車運転免許
京都府久世郡久御山町,70歳以上,男性,False,京都府,4,74.0,0.75,自動車運転免許;介護職員初任者研修（旧ヘルパー2級）;小学校教諭
京都府久世郡久御山町,30代,女性,False,京都府,3,35.0,0.6666666666666666,介護福祉士;自動車運転免許;保育士
京都府久世郡久御山町,20代,女性,False,兵庫県,1,27.0,1.0,介護福祉士;自動車運転免許
京都府久世郡久御山町,20代,女性,False,滋賀県,1,27.0,1.0,介護福祉士 取得予定（1年以内）;介護職員実務者研修（旧ヘルパー1級/基礎研修）;自動車運転免許
京都府久世郡久御山町,30代,女性,False,東京都,1,32.0,1.0,歯科医師;その他（日本歯科麻酔学会認定医）
京都府久世郡久御山町,30代,男性,False,大阪府,1,38.0,1.0,介護福祉士;社会福祉主事任用資格;自動車運転免許
京都府久世郡久御山町,40代,男性,True,京都府,1,48.0,1.0,看護師;准看護師;自動車運転免許
京都府久世郡久御山町,50代,女性,False,大阪府,1,58.0,1.0,介護福祉士;自動車運転免許
京都府久世郡久御山町,50代,女性,True,京都府,1,59.0,1.0,准看護師
京都府乙訓郡大山崎町,50代,女性,False,京都府,16,54.6875,0.625,介護職員初任者研修（旧ヘルパー2級）;自動車運転免許;介護職員実務者研修（旧ヘルパー1級/基礎研修）
京都府乙訓郡大山崎町,60代,女性,False,京都府,13,64.0,0.6153846153846154,介護福祉士;介護職員初任者研修（旧ヘルパー2級）;自動車運転免許
京都府乙訓郡大山崎町,40代,女性,False,京都府,10,45.9,0.7,介護職員初任者研修（旧ヘルパー2級）;自動車運転免許;介護職員実務者研修（旧ヘルパー1級/基礎研修）
京都府乙訓郡大山崎町,30代,女性,False,京都府,9,35.333333333333336,0.6666666666666666,自動車運転免許;介護福祉士;介護職員初任者研修（旧ヘルパー2級）
京都府乙訓郡大山崎町,20代,男性,False,京都府,5,24.0,0.2,自動車運転免許;介護福祉士;社会福祉士
京都府乙訓郡大山崎町,50代,男性,False,京都府,4,53.5,0.75,介護職員実務者研修（旧ヘルパー1級/基礎研修）;自動車運転免許;介護職員初任者研修（旧ヘルパー2級）
京都府乙訓郡大山崎町,20代,女性,False,京都府,3,21.0,0.3333333333333333,自動車運転免許
京都府乙訓郡大山崎町,40代,男性,False,京都府,3,45.333333333333336,0.6666666666666666,自動車運転免許;介護職員初任者研修（旧ヘルパー2級）;介護職員実務者研修（旧ヘルパー1級/基礎研修） 取得予定（1年以内）
京都府乙訓郡大山崎町,50代,女性,False,大阪府,3,54.666666666666664,0.6666666666666666,介護福祉士;介護職員実務者研修（旧ヘルパー1級/基礎研修）;介護職員初任者研修（旧ヘルパー2級）
京都府乙訓郡大山崎町,70歳以上,女性,False,京都府,3,71.0,0.3333333333333333,介護職員初任者研修（旧ヘルパー2級）;自動車運転免許;薬剤師
京都府乙訓郡大山崎町,30代,女性,False,大阪府,2,35.0,1.0,介護福祉士;自動車運転免許;保育士
京都府乙訓郡大山崎町,40代,男性,False,大阪府,2,45.0,0.5,介護職員初任者研修（旧ヘルパー2級）;自動車運転免許;介護職員実務者研修（旧ヘルパー1級/基礎研修） 取得予定（1年以内）
京都府乙訓郡大山崎町,60代,男性,False,京都府,2,60.5,1.0,介護支援専門員（ケアマネジャー）;介護福祉士;社会福祉士
京都府乙訓郡大山崎町,20代,女性,False,三重県,1,26.0,1.0,
京都府乙訓郡大山崎町,30代,男性,False,大阪府,1,30.0,1.0,介護福祉士;自動車運転免許
京都府乙訓郡大山崎町,40代,男性,False,滋賀県,1,46.0,0.0,介護職員初任者研修（旧ヘルパー2級）
京都府乙訓郡大山崎町,50代,女性,True,京都府,1,54.0,1.0,看護師;介護職員初任者研修（旧ヘルパー2級）;自動車運転免許
京都府乙訓郡大山崎町,50代,男性,False,兵庫県,1,58.0,0.0,自動車運転免許
京都府乙訓郡大山崎町,50代,男性,False,大阪府,1,57.0,1.0,介護福祉士;自動車運転免許
京都府乙訓郡大山崎町,60代,女性,True,京都府,1,66.0,1.0,准看護師;自動車運転免許
京都府乙訓郡大山崎町,60代,男性,False,大阪府,1,60.0,0.0,介護職員実務者研修（旧ヘルパー1級/基礎研修）;介護職員初任者研修（旧ヘルパー2級）;自動車運転免許
京都府乙訓郡大山崎町,70歳以上,女性,False,大阪府,1,73.0,0.0,
京都府乙訓郡大山崎町,70歳以上,男性,False,京都府,1,71.0,1.0,
京都府亀岡市,50代,女性,False,京都府,51,53.490196078431374,0.7647058823529411,介護福祉士;自動車運転免許;介護職員初任者研修（旧ヘルパー2級）
京都府亀岡市,40代,女性,False,京都府,45,45.17777777777778,0.7555555555555555,自動車運転免許;介護職員初任者研修（旧ヘルパー2級）;介護福祉士
京都府亀岡市,60代,女性,False,京都府,31,63.32258064516129,0.6774193548387096,介護福祉士;自動車運転免許;介護職員初任者研修（旧ヘルパー2級）
京都府亀岡市,30代,女性,False,京都府,28,33.857142857142854,0.7142857142857143,介護職員初任者研修（旧ヘルパー2級）;自動車運転免許;介護福祉士
京都府亀岡市,30代,男性,False,京都府,21,34.38095238095238,0.5714285714285714,自動車運転免許;介護職員初任者研修（旧ヘルパー2級）;介護福祉士
京都府亀岡市,20代,女性,False,京都府,20,24.5,0.55,自動車運転免許;介護職員初任者研修（旧ヘルパー2級）;介護職員実務者研修（旧ヘルパー1級/基礎研修）
京都府亀岡市,60代,男性,False,京都府,20,64.2,0.65,介護福祉士;自動車運転免許;介護職員初任者研修（旧ヘルパー2級）
京都府亀岡市,40代,男性,False,京都府,18,44.666666666666664,0.6666666666666666,自動車運転免許;介護福祉士;介護職員初任者研修（旧ヘルパー2級）
京都府亀岡市,20代,男性,False,京都府,17,23.647058823529413,0.4117647058823529,自動車運転免許;介護職員初任者研修（旧ヘルパー2級）;言語聴覚士
京都府亀岡市,50代,男性,False,京都府,12,53.75,0.5833333333333334,介護福祉士;自動車運転免許;介護職員初任者研修（旧ヘルパー2級）
京都府亀岡市,70歳以上,男性,False,京都府,10,73.5,0.3,自動車運転免許;介護福祉士;サービス管理責任者研修
