target_municipality,qualification_name,applicant_count,avg_age,employment_rate
三重県四日市市,高等学校教諭,1,29.0,1.0
三重県四日市市,福祉用具専門相談員,1,55.0,0.0
三重県多気郡多気町,介護職員初任者研修（旧ヘルパー2級）,1,30.0,1.0
三重県多気郡明和町,介護職員初任者研修（旧ヘルパー2級）,1,30.0,1.0
三重県度会郡大紀町,介護職員初任者研修（旧ヘルパー2級）,1,30.0,1.0
三重県度会郡度会町,介護職員初任者研修（旧ヘルパー2級）,1,30.0,1.0
三重県度会郡玉城町,介護職員初任者研修（旧ヘルパー2級）,1,30.0,1.0
三重県志摩市,介護福祉士,2,47.0,1.0
三重県志摩市,自動車運転免許,2,47.0,1.0
三重県志摩市,介護職員初任者研修（旧ヘルパー2級）,1,30.0,1.0
三重県志摩市,看護師,1,53.0,1.0
三重県志摩市,准看護師,1,53.0,1.0
三重県志摩市,管理栄養士,1,53.0,1.0
三重県松阪市,介護職員初任者研修（旧ヘルパー2級）,4,40.25,0.75
三重県松阪市,幼稚園教諭,2,45.0,0.5
三重県松阪市,自動車運転免許 取得予定（1年以内）,2,42.0,0.5
三重県松阪市,自動車運転免許,2,63.0,0.5
三重県松阪市,あん摩マッサージ指圧師,1,29.0,1.0
三重県松阪市,小学校教諭,1,29.0,1.0
三重県松阪市,高等学校教諭,1,29.0,1.0
三重県松阪市,福祉用具専門相談員,1,55.0,0.0
三重県松阪市,保育士,1,61.0,0.0
三重県松阪市,看護師,1,53.0,1.0
三重県松阪市,准看護師,1,53.0,1.0
三重県松阪市,管理栄養士,1,53.0,1.0
三重県桑名市,自動車運転免許,2,54.0,0.5
三重県桑名市,介護職員初任者研修（旧ヘルパー2級）,2,29.5,1.0
三重県桑名市,歯科医師,1,32.0,1.0
三重県桑名市,その他（日本歯科麻酔学会認定医）,1,32.0,1.0
三重県桑名市,看護師,1,66.0,0.0
三重県桑名市,介護支援専門員（ケアマネジャー） 取得予定（1年以内）,1,42.0,1.0
三重県桑名市,介護福祉士,1,42.0,1.0
三重県桑名市,社会福祉士 取得予定（1年以内）,1,42.0,1.0
三重県桑名市,社会福祉主事任用資格,1,42.0,1.0
三重県桑名市,調理師,1,42.0,1.0
三重県桑名市,児童発達支援管理責任者研修,1,42.0,1.0
三重県桑名市,福祉用具専門相談員,1,42.0,1.0
三重県桑名市,サービス管理責任者研修,1,42.0,1.0
三重県桑名市,児童指導員任用資格,1,42.0,1.0
三重県桑名市,相談支援従事者研修,1,42.0,1.0
三重県桑名市,主任相談支援専門員,1,42.0,1.0
三重県桑名市,その他（医療的ケア児等コーディネーター）,1,42.0,1.0
三重県桑名市,その他（行動援護従事者養成研修）,1,42.0,1.0
三重県桑名市,その他（障害者職業生活相談員）,1,42.0,1.0
三重県桑名市,その他（高次脳機能障害支援者養成研修修了）,1,42.0,1.0
三重県桑名市,その他（精神障がい者支援の障がい特性支援技法を学研修修了）,1,42.0,1.0
三重県桑名市,その他（障害者ピアサポート研修〔専門〕修了）,1,42.0,1.0
三重県桑名市,あん摩マッサージ指圧師,1,29.0,1.0
三重県桑名市,幼稚園教諭,1,29.0,1.0
三重県桑名市,自動車運転免許 取得予定（1年以内）,1,29.0,1.0
三重県桑名市,小学校教諭,1,29.0,1.0
三重県桑名市,高等学校教諭,1,29.0,1.0
三重県津市,自動車運転免許,5,50.4,0.6
三重県津市,介護職員初任者研修（旧ヘルパー2級）,3,38.0,0.6666666666666666
三重県津市,介護福祉士,2,47.5,1.0
三重県津市,幼稚園教諭,2,45.0,0.5
三重県津市,自動車運転免許 取得予定（1年以内）,2,42.0,0.5
三重県津市,歯科医師,1,32.0,1.0
三重県津市,その他（日本歯科麻酔学会認定医）,1,32.0,1.0
三重県津市,看護師,1,66.0,0.0
三重県津市,社会福祉主事任用資格,1,48.0,1.0
三重県津市,あん摩マッサージ指圧師,1,29.0,1.0
三重県津市,小学校教諭,1,29.0,1.0
三重県津市,高等学校教諭,1,29.0,1.0
三重県津市,福祉用具専門相談員,1,55.0,0.0
三重県津市,保育士,1,61.0,0.0
三重県鈴鹿市,自動車運転免許,3,46.0,0.6666666666666666
三重県鈴鹿市,介護職員初任者研修（旧ヘルパー2級）,3,39.666666666666664,1.0
三重県鈴鹿市,看護師,1,66.0,0.0
三重県鈴鹿市,あん摩マッサージ指圧師,1,29.0,1.0
三重県鈴鹿市,幼稚園教諭,1,29.0,1.0
三重県鈴鹿市,自動車運転免許 取得予定（1年以内）,1,29.0,1.0
三重県鈴鹿市,小学校教諭,1,29.0,1.0
三重県鈴鹿市,高等学校教諭,1,29.0,1.0
三重県鈴鹿市,介護福祉士,1,42.0,1.0
三重県鳥羽市,介護職員初任者研修（旧ヘルパー2級）,1,30.0,1.0
京都府,自動車運転免許,245,45.857142857142854,0.7224489795918367
京都府,介護福祉士,221,46.18552036199095,0.8190045248868778
京都府,介護職員初任者研修（旧ヘルパー2級）,171,46.98245614035088,0.6491228070175439
京都府,介護職員実務者研修（旧ヘルパー1級/基礎研修）,87,47.01149425287356,0.7586206896551724
京都府,社会福祉主事任用資格,45,49.0,0.7555555555555555
京都府,介護支援専門員（ケアマネジャー）,36,49.69444444444444,0.8333333333333334
京都府,准看護師,14,54.714285714285715,0.7857142857142857
京都府,社会福祉士,14,44.357142857142854,0.7142857142857143
京都府,医療事務資格（民間）,13,49.30769230769231,0.5384615384615384
京都府,介護職員実務者研修（旧ヘルパー1級/基礎研修） 取得予定（1年以内）,13,38.15384615384615,0.6923076923076923
京都府,看護師,9,45.888888888888886,0.6666666666666666
京都府,サービス管理責任者研修,8,53.875,0.875
京都府,自動車運転免許 取得予定（1年以内）,7,30.714285714285715,0.8571428571428571
京都府,保育士,7,46.42857142857143,0.8571428571428571
京都府,相談支援従事者研修,6,53.0,0.6666666666666666
京都府,児童発達支援管理責任者研修,6,53.333333333333336,0.8333333333333334
京都府,介護職員初任者研修（旧ヘルパー2級） 取得予定（1年以内）,6,39.666666666666664,0.6666666666666666
京都府,介護福祉士 取得予定（1年以内）,5,48.8,0.8
京都府,児童指導員任用資格,4,50.75,1.0
京都府,調理師,4,53.0,0.5
京都府,福祉用具専門相談員,4,49.75,0.75
京都府,高等学校教諭,4,44.25,1.0
京都府,介護事務資格（民間）,4,55.5,0.5
京都府,柔道整復師,4,41.5,0.75
京都府,調剤事務資格（民間）,3,38.666666666666664,1.0
京都府,鍼灸師,3,47.666666666666664,0.6666666666666666
京都府,整体師,3,47.333333333333336,0.3333333333333333
京都府,精神保健福祉士,3,37.333333333333336,0.6666666666666666
京都府,介護支援専門員（ケアマネジャー） 取得予定（1年以内）,3,36.333333333333336,1.0
京都府,中学校教諭,3,47.0,1.0
京都府,登録販売者,2,59.5,0.0
京都府,その他（行政書士）,2,61.5,0.5
京都府,言語聴覚士,2,30.0,1.0
京都府,歯科衛生士,2,53.0,0.5
京都府,その他（認知症介護基礎研修）,2,50.0,0.0
京都府,ネイリスト資格（民間）,2,32.5,0.5
京都府,その他（認知症介護実践者研修）,2,31.5,1.0
京都府,その他（認知症対応型サービス事業管理者研修）,2,31.5,1.0
京都府,理学療法士,2,56.5,1.0
京都府,あん摩マッサージ指圧師,2,54.0,0.5
京都府,主任介護支援専門員,2,53.0,1.0
京都府,公認心理師,2,56.5,0.5
京都府,美容師,2,53.0,0.5
京都府,社会福祉士 取得予定（1年以内）,2,38.5,0.5
京都府,栄養士,2,40.0,1.0
京都府,アロマセラピスト,2,49.0,0.5
京都府,その他（行動援護従業者養成研修）,2,47.0,1.0
京都府,その他（レクリエーション介護士2級）,2,45.0,0.0
京都府,その他（普通自動車第一種免許取得）,1,45.0,0.0
京都府,その他（クレーン運転業務特別教育修了）,1,45.0,0.0
京都府,その他（フォークリフト運転技能講習修了）,1,45.0,0.0
京都府,その他（喀痰吸引等 ３号研修（基本））,1,50.0,1.0
京都府,その他（重度訪問介護従業者養成研修（基礎・追加））,1,50.0,1.0
京都府,その他（第二種電気工事士）,1,59.0,0.0
京都府,その他（甲種４類(自火報設備)消防設備士）,1,59.0,0.0
京都府,その他（乙種６類(消火器)消防設備士）,1,59.0,0.0
京都府,その他（障害者職業生活相談員）,1,64.0,1.0
京都府,その他（サービス管理責任者初任者研修修了）,1,44.0,1.0
京都府,その他（強度行動障害支援者養成基礎研修・実践研修）,1,28.0,1.0
京都府,その他（救急救命士）,1,55.0,1.0
京都府,児童指導員任用資格 取得予定（1年以内）,1,56.0,0.0
京都府,その他（社会教育主事）,1,56.0,0.0
京都府,その他（国内旅行業務取扱主任者）,1,43.0,1.0
京都府,その他（強度行動障害支援者養成研修（基礎課程）修了）,1,43.0,1.0
京都府,その他（危険物取扱者乙四類）,1,44.0,0.0
京都府,その他（社会福祉士受験資格）,1,48.0,0.0
京都府,その他（第一種自動車免許）,1,26.0,0.0
京都府,その他（診療情報管理士）,1,29.0,1.0
京都府,その他（メンタルヘルスマネジメント検定II種）,1,40.0,1.0
京都府,その他（実務者研修教員講習会修了）,1,40.0,1.0
京都府,福祉用具専門相談員 取得予定（1年以内）,1,25.0,0.0
京都府,放課後児童支援員/学童指導員,1,56.0,1.0
京都府,サービス管理責任者,1,56.0,1.0
京都府,児童指導員,1,56.0,1.0
京都府,その他（防火防災管理責任者）,1,56.0,1.0
京都府,その他（児童発達支援管理責任者 更新時研修）,1,56.0,1.0
京都府,その他（二級建築士）,1,48.0,1.0
京都府,作業療法士,1,59.0,1.0
京都府,小学校教諭,1,61.0,1.0
京都府,その他（普通自動車第二種免許資格取得）,1,62.0,0.0
京都府,その他（食品衛生責任者）,1,26.0,1.0
京都府,その他（強度行動障害支援者養成研修基礎研修修了）,1,26.0,1.0
京都府,その他（強度行動障害支援者養成研修実践研修修了）,1,26.0,1.0
京都府,その他（防火管理者講習修了（甲種））,1,26.0,1.0
京都府,その他（防災管理者講習修了）,1,26.0,1.0
京都府,医師,1,65.0,1.0
京都府,その他（救命士）,1,65.0,1.0
京都府,その他（甲種防火管理者）,1,64.0,0.0
京都府,その他（認知症介護実践リーダー研修）,1,49.0,1.0
京都府,その他（認知症対応型サービス管理者）,1,49.0,1.0
京都府,その他（防火防災管理）,1,49.0,1.0
京都府,その他（児童発達支援管理責任者）,1,50.0,1.0
京都府,その他（児童発達支援管理責任者更新）,1,50.0,1.0
京都府,その他（相談支援従事者初任者研修（3日コース））,1,50.0,1.0
京都府,その他（強度行動障害支援者養成（基礎研修））,1,50.0,1.0
京都府,その他（強度行動障害支援者養成（実践研修））,1,50.0,1.0
京都府,その他（強度行動障害支援者養成研修）,1,46.0,1.0
京都府,その他（喀痰吸引等研修3号研修）,1,46.0,1.0
京都府,その他（MicrosoftOfficeSpecialistExcel2016）,1,46.0,1.0
京都府,その他（MicrosoftOfficeSpecialistWord2016）,1,46.0,1.0
京都府,その他（実用英語技能検定2級）,1,46.0,1.0
京都府,理容師 取得予定（1年以内）,1,46.0,0.0
京都府,その他（子育て支援員）,1,47.0,0.0
京都府,その他（危険物取扱者丙種）,1,52.0,1.0
京都府,その他（危険物取扱者乙種４類）,1,52.0,1.0
京都府,その他（こども発達支援アドバイザー）,1,52.0,1.0
京都府,その他（介護事務(民間)）,1,37.0,1.0
京都府,その他（重度訪問介護従業者養成研修基礎課程・追加課程）,1,47.0,0.0
京都府,その他（介護職員のための喀痰吸引等研修（第三号研修））,1,47.0,0.0
京都府,その他（全身性障がい者移動支援従業者養成研修課程修了）,1,47.0,0.0
京都府,その他（医療事務）,1,53.0,1.0
京都府,リフレクソロジスト,1,39.0,1.0
京都府,その他（同行援護従業者）,1,57.0,1.0
京都府,その他（登録販売者） 取得予定（1年以内）,1,57.0,1.0
京都府,その他（福祉有償運送運転者講習）,1,39.0,1.0
京都府,その他（簿記3級）,1,60.0,1.0
京都府,薬剤師,1,61.0,0.0
京都府,その他（行動援護従事者研修修了）,1,47.0,1.0
京都府,その他（自動車運転二種免許）,1,47.0,1.0
京都府,その他（医師事務作業補助者）,1,35.0,1.0
京都府,その他（医療ケア 基本研修終了）,1,30.0,0.0
京都府,その他（動物関係）,1,30.0,0.0
京都府,その他（重度訪問介護従業者 統合課程） 取得予定（1年以内）,1,45.0,1.0
京都府,その他（京都府強度行動障害支援者養成研修(実践研修)）,1,34.0,1.0
京都府,その他（中型自動車免許）,1,34.0,1.0
京都府,その他（MOS(ワード/エクセル)スペシャリスト/エキスパート）,1,56.0,1.0
京都府,その他（日本空手協会 初段）,1,38.0,1.0
京都府,その他（介護予防運動トレーナー） 取得予定（1年以内）,1,38.0,1.0
京都府,その他（喀痰吸引3号）,1,29.0,1.0
京都府,その他（強度行動障害支援者養成研修修了）,1,29.0,1.0
京都府,歯科助手資格（民間）,1,58.0,1.0
京都府,その他（同行援護従業者養成研修応用課程修了）,1,58.0,0.0
京都府,その他（全身性障害者移動介護従業者養成研修修了）,1,58.0,0.0
京都府,その他（認知症実践者研修）,1,62.0,0.0
京都府,その他（重度訪問介護従業者養成研修総合課程終了）,1,61.0,1.0
京都府,その他（移動支援従業者養成研修全身性障がい課程）,1,55.0,1.0
京都府,その他（普通自動車第二種免許）,1,39.0,0.0
京都府,その他（ホテルビジネス実務検定1級）,1,25.0,0.0
京都府,その他（手話検定） 取得予定（1年以内）,1,25.0,0.0
京都府,その他（福祉住環境コーディネーター）,1,52.0,1.0
京都府,調剤事務資格（民間） 取得予定（1年以内）,1,29.0,1.0
京都府,看護師 取得予定（1年以内）,1,27.0,1.0
京都府,その他（ワード3級）,1,31.0,1.0
京都府,その他（居宅介護職員初任者研修）,1,31.0,1.0
京都府,その他（カラーアナリスト、イメージコンサルタント）,1,77.0,1.0
京都府,その他（医療的ケア教員講習会）,1,60.0,1.0
京都府,社会福祉主事任用資格 取得予定（1年以内）,1,25.0,0.0
京都府,その他（重度介護訪問事業者）,1,26.0,0.0
京都府与謝郡与謝野町,自動車運転免許,16,44.0625,0.5625
京都府与謝郡与謝野町,介護福祉士,15,47.333333333333336,0.8
京都府与謝郡与謝野町,介護職員初任者研修（旧ヘルパー2級）,9,52.111111111111114,0.4444444444444444
京都府与謝郡与謝野町,介護職員実務者研修（旧ヘルパー1級/基礎研修）,4,46.25,1.0
京都府与謝郡与謝野町,介護支援専門員（ケアマネジャー）,2,57.0,1.0
京都府与謝郡与謝野町,社会福祉主事任用資格,2,31.0,0.5
京都府与謝郡伊根町,介護職員初任者研修（旧ヘルパー2級）,2,48.0,0.5
京都府与謝郡伊根町,自動車運転免許,2,48.0,0.5
京都府久世郡久御山町,自動車運転免許,59,47.42372881355932,0.8305084745762712
京都府久世郡久御山町,介護福祉士,49,47.673469387755105,0.7551020408163265
京都府久世郡久御山町,介護職員初任者研修（旧ヘルパー2級）,31,53.54838709677419,0.7096774193548387
京都府久世郡久御山町,介護職員実務者研修（旧ヘルパー1級/基礎研修）,22,49.72727272727273,0.7727272727272727
京都府久世郡久御山町,社会福祉主事任用資格,5,40.0,1.0
京都府久世郡久御山町,調理師,5,54.4,0.8
京都府久世郡久御山町,保育士,4,48.5,0.75
京都府久世郡久御山町,介護支援専門員（ケアマネジャー）,3,54.666666666666664,1.0
京都府久世郡久御山町,介護職員実務者研修（旧ヘルパー1級/基礎研修） 取得予定（1年以内）,3,42.0,1.0
京都府久世郡久御山町,福祉用具専門相談員,2,39.5,1.0
京都府久世郡久御山町,自動車運転免許 取得予定（1年以内）,2,45.0,0.5
京都府久世郡久御山町,介護事務資格（民間）,2,48.5,1.0
京都府久世郡久御山町,准看護師,2,53.5,1.0
京都府久世郡久御山町,その他（重度訪問介護）,1,55.0,1.0
京都府久世郡久御山町,歯科医師,1,32.0,1.0
京都府久世郡久御山町,その他（日本歯科麻酔学会認定医）,1,32.0,1.0
京都府久世郡久御山町,サービス管理責任者研修,1,58.0,1.0
京都府久世郡久御山町,その他（全身性ガイドヘルパー）,1,58.0,1.0
京都府久世郡久御山町,医療事務資格（民間）,1,45.0,1.0
京都府久世郡久御山町,調剤事務資格（民間）,1,45.0,1.0
京都府久世郡久御山町,看護師,1,48.0,1.0
京都府久世郡久御山町,管理栄養士,1,45.0,1.0
京都府久世郡久御山町,栄養士,1,45.0,1.0
京都府久世郡久御山町,その他（第一種衛星管理者）,1,63.0,1.0
京都府久世郡久御山町,介護福祉士 取得予定（1年以内）,1,27.0,1.0
京都府久世郡久御山町,その他（重度訪問介護従事者 喀痰吸引 ３号）,1,45.0,1.0
京都府久世郡久御山町,社会福祉士,1,58.0,1.0
京都府久世郡久御山町,小学校教諭,1,72.0,1.0
京都府久世郡久御山町,中学校教諭,1,72.0,1.0
京都府久世郡久御山町,高等学校教諭,1,72.0,1.0
京都府乙訓郡大山崎町,自動車運転免許,43,49.13953488372093,0.6744186046511628
京都府乙訓郡大山崎町,介護職員初任者研修（旧ヘルパー2級）,34,53.23529411764706,0.5882352941176471
京都府乙訓郡大山崎町,介護福祉士,28,48.75,0.8571428571428571
京都府乙訓郡大山崎町,介護職員実務者研修（旧ヘルパー1級/基礎研修）,18,51.77777777777778,0.7777777777777778
京都府乙訓郡大山崎町,保育士,4,44.25,1.0
京都府乙訓郡大山崎町,社会福祉主事任用資格,3,43.0,1.0
京都府乙訓郡大山崎町,介護職員実務者研修（旧ヘルパー1級/基礎研修） 取得予定（1年以内）,2,45.5,0.5
京都府乙訓郡大山崎町,福祉用具専門相談員,2,38.5,1.0
京都府乙訓郡大山崎町,社会福祉士,2,44.5,0.5
京都府乙訓郡大山崎町,介護支援専門員（ケアマネジャー）,2,59.0,0.5
京都府乙訓郡大山崎町,その他（認知症ケア専門士）,1,53.0,1.0
京都府乙訓郡大山崎町,その他（認知症介護実践者研修修了）,1,53.0,1.0
京都府乙訓郡大山崎町,その他（キャリアコンサルタント）,1,53.0,1.0
京都府乙訓郡大山崎町,その他（行動援護従業者養成研修 修了）,1,53.0,1.0
京都府乙訓郡大山崎町,サービス管理責任者研修,1,58.0,1.0
京都府乙訓郡大山崎町,その他（全身性ガイドヘルパー）,1,58.0,1.0
京都府乙訓郡大山崎町,アロマセラピスト,1,46.0,1.0
京都府乙訓郡大山崎町,ネイリスト資格（民間）,1,46.0,1.0
京都府乙訓郡大山崎町,その他（重度訪問介護従事者養成研修基礎、追加課程終了）,1,46.0,1.0
京都府乙訓郡大山崎町,薬剤師,1,73.0,0.0
京都府乙訓郡大山崎町,登録販売者,1,55.0,1.0
京都府乙訓郡大山崎町,その他（介護職員実務者研修）,1,55.0,1.0
京都府乙訓郡大山崎町,その他（日本化粧品検定３級）,1,55.0,1.0
京都府乙訓郡大山崎町,調理師,1,57.0,0.0
京都府乙訓郡大山崎町,准看護師,1,66.0,1.0
京都府乙訓郡大山崎町,介護事務資格（民間）,1,63.0,1.0
京都府乙訓郡大山崎町,その他（認知症実践者リーダー）,1,63.0,1.0
京都府乙訓郡大山崎町,その他（ガイドヘルパー（3種））,1,63.0,1.0
京都府乙訓郡大山崎町,その他（国家資格キャリアコンサルタント）,1,60.0,0.0
京都府乙訓郡大山崎町,その他（簿記2級）,1,56.0,0.0
京都府乙訓郡大山崎町,看護師,1,54.0,1.0
京都府亀岡市,自動車運転免許,126,48.198412698412696,0.626984126984127
京都府亀岡市,介護福祉士,83,49.144578313253014,0.7831325301204819
京都府亀岡市,介護職員初任者研修（旧ヘルパー2級）,82,45.51219512195122,0.6829268292682927
京都府亀岡市,介護職員実務者研修（旧ヘルパー1級/基礎研修）,43,45.58139534883721,0.7441860465116279
京都府亀岡市,社会福祉主事任用資格,14,45.0,0.7142857142857143
京都府亀岡市,児童指導員任用資格,6,45.5,1.0
京都府亀岡市,准看護師,6,53.0,0.6666666666666666
京都府亀岡市,看護師,5,47.6,0.8
京都府亀岡市,保育士,5,51.2,0.2
京都府亀岡市,医療事務資格（民間）,4,41.5,1.0
京都府亀岡市,自動車運転免許 取得予定（1年以内）,4,31.75,0.75
京都府亀岡市,幼稚園教諭,4,44.75,0.5
京都府亀岡市,社会福祉士,4,34.0,0.5
京都府亀岡市,調剤事務資格（民間）,3,38.0,1.0
京都府亀岡市,サービス管理責任者研修,3,51.666666666666664,0.6666666666666666
京都府亀岡市,言語聴覚士,2,26.5,1.0
京都府亀岡市,小学校教諭,2,53.5,1.0
京都府亀岡市,福祉用具専門相談員,2,52.5,0.5
京都府亀岡市,児童発達支援管理責任者研修,2,40.0,1.0
京都府亀岡市,あん摩マッサージ指圧師,2,35.5,1.0
京都府亀岡市,介護支援専門員（ケアマネジャー）,2,54.0,1.0
京都府亀岡市,介護事務資格（民間）,2,44.5,1.0
京都府亀岡市,その他（介護職員基礎研修）,1,51.0,1.0
京都府亀岡市,整体師,1,47.0,0.0
京都府亀岡市,その他（強度行動障害支援者基礎研修）,1,52.0,1.0
京都府亀岡市,その他（強度行動障害支援者実践研修）,1,52.0,1.0
京都府亀岡市,その他（普通自動車四輪教習指導員資格）,1,50.0,1.0
京都府亀岡市,その他（普通自動車第二種免許）,1,39.0,0.0
京都府亀岡市,相談支援専門員,1,38.0,1.0
京都府亀岡市,放課後児童支援員認定資格,1,45.0,0.0
京都府亀岡市,高等学校教諭,1,29.0,1.0
京都府亀岡市,歯科助手資格（民間）,1,31.0,1.0
京都府亀岡市,主任介護支援専門員,1,62.0,1.0
京都府亀岡市,その他（簿記3級。珠算3級全国商業高等学校英文タイプ2級。）,1,58.0,1.0
京都府亀岡市,その他（強度行動障害）,1,31.0,1.0
京都府亀岡市,その他（登録販売者） 取得予定（1年以内）,1,31.0,1.0
京都府亀岡市,福祉用具専門相談員 取得予定（1年以内）,1,52.0,1.0
京都府亀岡市,その他（防火管理者）,1,52.0,1.0
京都府亀岡市,その他（簿記3級）,1,52.0,1.0
京都府亀岡市,その他（同行援護従事者育成研修終了）,1,55.0,1.0
京都府亀岡市,その他（京都府強度行動障害支援者育成研修終了）,1,55.0,1.0
京都府亀岡市,その他（行動援護従業者研修）,1,49.0,1.0
京都府亀岡市,その他（同行援護従業者 一般課程）,1,49.0,1.0
京都府亀岡市,その他（同行援護従業者 応用課程）,1,49.0,1.0
京都府亀岡市,その他（自動車二種免許）,1,49.0,1.0
京都府亀岡市,中学校教諭,1,42.0,0.0
京都府亀岡市,その他（福祉有償運送運転者講習修了）,1,37.0,1.0
京都府亀岡市,介護職員実務者研修（旧ヘルパー1級/基礎研修） 取得予定（1年以内）,1,58.0,1.0
京都府亀岡市,介護福祉士 取得予定（1年以内）,1,27.0,1.0
京都府亀岡市,美容師,1,56.0,0.0
京都府亀岡市,鍼灸師,1,26.0,1.0
京都府京丹後市,自動車運転免許,17,47.529411764705884,0.5294117647058824
京都府京丹後市,介護福祉士,15,55.6,0.8
京都府京丹後市,介護職員初任者研修（旧ヘルパー2級）,14,58.5,0.5
京都府京丹後市,介護職員実務者研修（旧ヘルパー1級/基礎研修）,2,46.0,0.5
京都府京丹後市,幼稚園教諭,1,68.0,1.0
京都府京丹後市,介護支援専門員（ケアマネジャー）,1,64.0,1.0
京都府京丹後市,看護師,1,59.0,1.0
京都府京丹後市,自動車運転免許 取得予定（1年以内）,1,29.0,1.0
京都府京田辺市,自動車運転免許,171,48.461988304093566,0.7134502923976608
京都府京田辺市,介護職員初任者研修（旧ヘルパー2級）,102,50.38235294117647,0.6568627450980392
京都府京田辺市,介護福祉士,101,50.495049504950494,0.7920792079207921
京都府京田辺市,介護職員実務者研修（旧ヘルパー1級/基礎研修）,52,51.48076923076923,0.6730769230769231
京都府京田辺市,社会福祉主事任用資格,13,49.38461538461539,0.8461538461538461
京都府京田辺市,准看護師,11,61.90909090909091,0.8181818181818182
京都府京田辺市,介護支援専門員（ケアマネジャー）,10,49.7,0.8
京都府京田辺市,保育士,9,49.888888888888886,0.8888888888888888
京都府京田辺市,看護師,8,47.0,0.75
京都府京田辺市,サービス管理責任者研修,7,58.42857142857143,0.5714285714285714
京都府京田辺市,社会福祉士,7,48.857142857142854,0.7142857142857143
京都府京田辺市,介護職員実務者研修（旧ヘルパー1級/基礎研修） 取得予定（1年以内）,6,39.833333333333336,0.8333333333333334
京都府京田辺市,調理師,5,56.4,0.6
京都府京田辺市,中学校教諭,4,64.75,0.75
京都府京田辺市,高等学校教諭,4,64.75,0.75
京都府京田辺市,相談支援従事者研修,4,58.0,0.5
京都府京田辺市,歯科衛生士,3,63.333333333333336,0.6666666666666666
京都府京田辺市,幼稚園教諭,3,46.666666666666664,1.0
京都府京田辺市,介護福祉士 取得予定（1年以内）,3,52.333333333333336,1.0
京都府京田辺市,介護職員初任者研修（旧ヘルパー2級） 取得予定（1年以内）,3,59.333333333333336,1.0
京都府京田辺市,福祉用具専門相談員,2,56.5,0.5
京都府京田辺市,その他（喀痰吸引3号基本）,2,67.0,1.0
京都府京田辺市,自動車運転免許 取得予定（1年以内）,2,66.0,1.0
京都府京田辺市,精神保健福祉士,2,71.0,0.5
京都府京田辺市,児童発達支援管理責任者研修,2,59.0,0.5
京都府京田辺市,児童指導員任用資格,2,69.0,0.5
京都府京田辺市,小学校教諭,2,64.0,0.5
京都府京田辺市,医療事務資格（民間）,2,48.0,0.5
京都府京田辺市,その他（食品衛生責任者）,2,42.0,1.0
京都府京田辺市,アロマセラピスト,2,60.5,1.0
京都府京田辺市,介護事務資格（民間）,2,39.5,1.0
京都府京田辺市,放課後児童支援員認定資格,2,60.0,1.0
京都府京田辺市,その他（重度訪問介護）,1,55.0,1.0
京都府京田辺市,養護教諭,1,60.0,1.0
京都府京田辺市,その他（強度行動障害（基礎、実践））,1,60.0,1.0
京都府京田辺市,その他（介護口腔ケア推進士）,1,54.0,1.0
京都府京田辺市,福祉用具専門相談員 取得予定（1年以内）,1,30.0,0.0
京都府京田辺市,その他（救急救命士）,1,55.0,1.0
京都府京田辺市,言語聴覚士,1,31.0,1.0
