id,age,gender,age_group,generation,residence_raw,residence_pref,residence_muni,residence_region,qualification_count
163,79,M,70+,Elderly,13,,,,0
164,79,F,70+,Elderly,14,,,,0
165,52,F,50-54,Senior,15,,,,0
166,53,F,50-54,Senior,16,,,,0
167,42,M,40-44,Middle,17,,,,0
168,55,M,50-54,Senior,18,,,,0
169,48,F,45-49,Middle,19,,,,0
170,37,F,35-39,Middle,20,,,,0
171,52,M,50-54,Senior,21,,,,0
172,54,M,50-54,Senior,22,,,,0
173,19,F,Under 20,Young,23,,,,0
174,64,M,60-64,Senior,24,,,,0
175,72,F,70+,Elderly,25,,,,0
176,58,M,55-59,Senior,26,,,,0
177,27,F,25-29,Young,27,,,,0
178,56,M,55-59,Senior,28,,,,0
179,64,M,60-64,Senior,29,,,,0
180,41,F,40-44,Middle,30,,,,0
181,57,F,55-59,Senior,1,,,,0
182,38,F,35-39,Middle,2,,,,0
183,53,M,50-54,Senior,3,,,,0
184,60,F,55-59,Senior,4,,,,0
185,51,M,50-54,Senior,5,,,,0
186,52,F,50-54,Senior,6,,,,0
187,51,F,50-54,Senior,7,,,,0
188,55,M,50-54,Senior,8,,,,0
189,23,M,20-24,Young,9,,,,0
190,27,F,25-29,Young,10,,,,0
191,43,F,40-44,Middle,11,,,,0
192,59,F,55-59,Senior,12,,,,0
193,51,M,50-54,Senior,13,,,,0
194,48,M,45-49,Middle,14,,,,0
195,49,M,45-49,Middle,15,,,,0
196,20,F,Under 20,Young,16,,,,0
197,74,M,70+,Elderly,17,,,,0
198,54,F,50-54,Senior,18,,,,0
199,57,F,55-59,Senior,19,,,,0
200,58,M,55-59,Senior,20,,,,0
201,51,F,50-54,Senior,21,,,,0
202,47,M,45-49,Middle,22,,,,0
203,58,F,55-59,Senior,23,,,,0
204,28,F,25-29,Young,24,,,,0
205,54,F,50-54,Senior,25,,,,0
206,45,M,40-44,Middle,26,,,,0
207,46,M,45-49,Middle,27,,,,0
208,47,F,45-49,Middle,28,,,,0
209,32,F,30-34,Young,29,,,,0
210,41,F,40-44,Middle,30,,,,0
211,22,M,20-24,Young,1,,,,0
212,62,M,60-64,Senior,2,,,,0
213,32,F,30-34,Young,3,,,,0
214,56,M,55-59,Senior,4,,,,0
215,48,F,45-49,Middle,5,,,,0
216,44,M,40-44,Middle,6,,,,0
217,64,F,60-64,Senior,7,,,,0
218,70,F,65-69,Elderly,8,,,,0
219,53,F,50-54,Senior,9,,,,0
220,53,F,50-54,Senior,10,,,,0
221,39,F,35-39,Middle,11,,,,0
222,58,F,55-59,Senior,12,,,,0
223,28,F,25-29,Young,13,,,,0
224,47,F,45-49,Middle,14,,,,0
225,55,F,50-54,Senior,15,,,,0
226,48,F,45-49,Middle,16,,,,0
227,58,F,55-59,Senior,17,,,,0
228,44,M,40-44,Middle,18,,,,0
229,72,F,70+,Elderly,19,,,,0
230,24,F,20-24,Young,20,,,,0
231,50,M,45-49,Middle,21,,,,0
232,49,F,45-49,Middle,22,,,,0
233,60,F,55-59,Senior,23,,,,0
234,34,F,30-34,Young,24,,,,0
235,76,F,70+,Elderly,25,,,,0
236,53,F,50-54,Senior,26,,,,0
237,48,F,45-49,Middle,27,,,,0
238,58,F,55-59,Senior,28,,,,0
239,33,F,30-34,Young,29,,,,0
240,30,M,25-29,Young,30,,,,0
241,27,F,25-29,Young,1,,,,0
242,41,F,40-44,Middle,2,,,,0
243,30,F,25-29,Young,3,,,,0
244,51,F,50-54,Senior,4,,,,0
245,59,F,55-59,Senior,5,,,,0
246,43,M,40-44,Middle,6,,,,0
247,41,M,40-44,Middle,7,,,,0
248,49,F,45-49,Middle,8,,,,0
249,42,F,40-44,Middle,9,,,,0
250,65,M,60-64,Senior,10,,,,0
251,51,M,50-54,Senior,11,,,,0
252,67,M,65-69,Elderly,12,,,,0
253,40,M,35-39,Middle,13,,,,0
254,46,F,45-49,Middle,14,,,,0
255,55,F,50-54,Senior,15,,,,0
256,50,F,45-49,Middle,16,,,,0
257,52,M,50-54,Senior,17,,,,0
258,42,F,40-44,Middle,18,,,,0
259,53,F,50-54,Senior,19,,,,0
260,77,F,70+,Elderly,20,,,,0
261,27,M,25-29,Young,21,,,,0
262,51,F,50-54,Senior,22,,,,0
263,58,F,55-59,Senior,23,,,,0
264,28,M,25-29,Young,24,,,,0
265,38,F,35-39,Middle,25,,,,0
266,62,M,60-64,Senior,26,,,,0
267,34,F,30-34,Young,27,,,,0
268,57,F,55-59,Senior,28,,,,0
269,43,M,40-44,Middle,29,,,,0
270,55,M,50-54,Senior,30,,,,0
271,45,F,40-44,Middle,1,,,,0
272,61,F,60-64,Senior,2,,,,0
273,30,F,25-29,Young,3,,,,0
274,63,M,60-64,Senior,4,,,,0
275,68,F,65-69,Elderly,5,,,,0
276,32,F,30-34,Young,6,,,,0
277,56,F,55-59,Senior,7,,,,0
278,44,F,40-44,Middle,8,,,,0
279,31,M,30-34,Young,9,,,,0
280,57,F,55-59,Senior,10,,,,0
281,35,M,30-34,Young,11,,,,0
282,60,F,55-59,Senior,12,,,,0
283,56,F,55-59,Senior,13,,,,0
284,51,M,50-54,Senior,14,,,,0
285,59,F,55-59,Senior,15,,,,0
286,39,F,35-39,Middle,16,,,,0
287,65,F,60-64,Senior,17,,,,0
288,52,F,50-54,Senior,18,,,,0
289,44,M,40-44,Middle,19,,,,0
290,54,F,50-54,Senior,20,,,,0
291,43,M,40-44,Middle,21,,,,0
292,30,M,25-29,Young,22,,,,0
293,52,F,50-54,Senior,23,,,,0
294,56,F,55-59,Senior,24,,,,0
295,37,F,35-39,Middle,25,,,,0
296,31,M,30-34,Young,26,,,,0
297,24,F,20-24,Young,27,,,,0
298,31,F,30-34,Young,28,,,,0
299,70,M,65-69,Elderly,29,,,,0
300,45,F,40-44,Middle,30,,,,0
301,40,M,35-39,Middle,1,,,,0
302,50,F,45-49,Middle,2,,,,0
303,44,F,40-44,Middle,3,,,,0
304,46,F,45-49,Middle,4,,,,0
305,58,M,55-59,Senior,5,,,,0
306,37,F,35-39,Middle,6,,,,0
307,44,F,40-44,Middle,7,,,,0
308,49,M,45-49,Middle,8,,,,0
309,48,F,45-49,Middle,9,,,,0
310,54,F,50-54,Senior,10,,,,0
311,47,F,45-49,Middle,11,,,,0
312,49,F,45-49,Middle,12,,,,0
313,56,M,55-59,Senior,13,,,,0
314,49,M,45-49,Middle,14,,,,0
315,43,M,40-44,Middle,15,,,,0
316,48,F,45-49,Middle,16,,,,0
317,42,F,40-44,Middle,17,,,,0
318,49,M,45-49,Middle,18,,,,0
319,58,F,55-59,Senior,19,,,,0
320,47,F,45-49,Middle,20,,,,0
321,41,M,40-44,Middle,21,,,,0
322,46,F,45-49,Middle,22,,,,0
323,43,M,40-44,Middle,23,,,,0
324,66,F,65-69,Elderly,24,,,,0
325,36,F,35-39,Middle,25,,,,0
326,78,M,70+,Elderly,26,,,,0
327,36,F,35-39,Middle,27,,,,0
328,48,F,45-49,Middle,28,,,,0
329,44,M,40-44,Middle,29,,,,0
330,39,M,35-39,Middle,30,,,,0
331,53,F,50-54,Senior,1,,,,0
332,66,M,65-69,Elderly,2,,,,0
333,68,M,65-69,Elderly,3,,,,0
334,48,F,45-49,Middle,4,,,,0
335,53,M,50-54,Senior,5,,,,0
336,58,M,55-59,Senior,6,,,,0
337,68,M,65-69,Elderly,7,,,,0
338,47,F,45-49,Middle,8,,,,0
339,62,F,60-64,Senior,9,,,,0
340,31,F,30-34,Young,10,,,,0
341,63,F,60-64,Senior,11,,,,0
342,43,F,40-44,Middle,12,,,,0
343,39,F,35-39,Middle,13,,,,0
344,43,F,40-44,Middle,14,,,,0
345,57,F,55-59,Senior,15,,,,0
346,49,F,45-49,Middle,16,,,,0
347,40,F,35-39,Middle,17,,,,0
348,34,F,30-34,Young,18,,,,0
349,48,F,45-49,Middle,19,,,,0
350,64,F,60-64,Senior,20,,,,0
351,55,F,50-54,Senior,21,,,,0
352,68,F,65-69,Elderly,22,,,,0
353,54,M,50-54,Senior,23,,,,0
354,60,F,55-59,Senior,24,,,,0
355,45,M,40-44,Middle,25,,,,0
356,48,F,45-49,Middle,26,,,,0
357,57,F,55-59,Senior,27,,,,0
358,57,F,55-59,Senior,28,,,,0
359,50,F,45-49,Middle,29,,,,0
360,65,F,60-64,Senior,30,,,,0
361,53,F,50-54,Senior,1,,,,0
362,32,M,30-34,Young,2,,,,0
363,32,M,30-34,Young,3,,,,0
364,67,M,65-69,Elderly,4,,,,0
365,74,M,70+,Elderly,5,,,,0
366,48,M,45-49,Middle,6,,,,0
367,26,M,25-29,Young,7,,,,0
368,52,F,50-54,Senior,8,,,,0
369,52,F,50-54,Senior,9,,,,0
370,29,F,25-29,Young,10,,,,0
371,42,M,40-44,Middle,11,,,,0
372,29,M,25-29,Young,12,,,,0
373,58,F,55-59,Senior,13,,,,0
374,57,F,55-59,Senior,14,,,,0
375,21,M,20-24,Young,15,,,,0
376,47,M,45-49,Middle,16,,,,0
377,47,F,45-49,Middle,17,,,,0
378,39,F,35-39,Middle,18,,,,0
379,23,F,20-24,Young,19,,,,0
380,44,M,40-44,Middle,20,,,,0
381,63,M,60-64,Senior,21,,,,0
382,57,M,55-59,Senior,22,,,,0
383,18,F,Under 20,Young,23,,,,0
384,49,F,45-49,Middle,24,,,,0
385,40,F,35-39,Middle,25,,,,0
386,46,F,45-49,Middle,26,,,,0
387,47,F,45-49,Middle,27,,,,0
388,45,F,40-44,Middle,28,,,,0
389,49,F,45-49,Middle,29,,,,0
390,44,F,40-44,Middle,30,,,,0
391,43,M,40-44,Middle,1,,,,0
392,41,M,40-44,Middle,2,,,,0
393,45,M,40-44,Middle,3,,,,0
394,59,F,55-59,Senior,4,,,,0
395,72,F,70+,Elderly,5,,,,0
396,57,F,55-59,Senior,6,,,,0
397,53,M,50-54,Senior,7,,,,0
398,49,F,45-49,Middle,8,,,,0
399,43,F,40-44,Middle,9,,,,0
400,56,F,55-59,Senior,10,,,,0
401,47,F,45-49,Middle,11,,,,0
402,46,F,45-49,Middle,12,,,,0
403,26,M,25-29,Young,13,,,,0
404,27,M,25-29,Young,14,,,,0
405,47,F,45-49,Middle,15,,,,0
406,46,M,45-49,Middle,16,,,,0
407,48,F,45-49,Middle,17,,,,0
408,54,M,50-54,Senior,18,,,,0
409,69,M,65-69,Elderly,19,,,,0
410,52,F,50-54,Senior,20,,,,0
411,64,M,60-64,Senior,21,,,,0
412,62,F,60-64,Senior,22,,,,0
413,49,F,45-49,Middle,23,,,,0
414,55,M,50-54,Senior,24,,,,0
415,50,F,45-49,Middle,25,,,,0
416,54,F,50-54,Senior,26,,,,0
417,67,F,65-69,Elderly,27,,,,0
418,23,M,20-24,Young,28,,,,0
419,38,M,35-39,Middle,29,,,,0
420,37,F,35-39,Middle,30,,,,0
421,68,F,65-69,Elderly,1,,,,0
422,66,F,65-69,Elderly,2,,,,0
423,58,F,55-59,Senior,3,,,,0
424,45,M,40-44,Middle,4,,,,0
425,64,F,60-64,Senior,5,,,,0
426,54,F,50-54,Senior,6,,,,0
427,54,F,50-54,Senior,7,,,,0
428,54,F,50-54,Senior,8,,,,0
429,53,F,50-54,Senior,9,,,,0
430,30,F,25-29,Young,10,,,,0
431,51,M,50-54,Senior,11,,,,0
432,79,M,70+,Elderly,12,,,,0
433,26,F,25-29,Young,13,,,,0
434,56,M,55-59,Senior,14,,,,0
435,56,F,55-59,Senior,15,,,,0
436,51,F,50-54,Senior,16,,,,0
437,58,F,55-59,Senior,17,,,,0
438,67,F,65-69,Elderly,18,,,,0
439,57,F,55-59,Senior,19,,,,0
440,54,F,50-54,Senior,20,,,,0
441,56,F,55-59,Senior,21,,,,0
442,31,F,30-34,Young,22,,,,0
443,39,M,35-39,Middle,23,,,,0
444,62,F,60-64,Senior,24,,,,0
445,73,M,70+,Elderly,25,,,,0
446,66,F,65-69,Elderly,26,,,,0
447,57,F,55-59,Senior,27,,,,0
448,42,M,40-44,Middle,28,,,,0
449,25,M,20-24,Young,29,,,,0
450,51,F,50-54,Senior,30,,,,0
451,66,F,65-69,Elderly,1,,,,0
452,57,M,55-59,Senior,2,,,,0
453,40,F,35-39,Middle,3,,,,0
454,45,F,40-44,Middle,4,,,,0
455,50,M,45-49,Middle,5,,,,0
456,43,F,40-44,Middle,6,,,,0
457,47,M,45-49,Middle,7,,,,0
458,49,F,45-49,Middle,8,,,,0
459,48,F,45-49,Middle,9,,,,0
460,41,F,40-44,Middle,10,,,,0
461,55,F,50-54,Senior,11,,,,0
462,49,M,45-49,Middle,12,,,,0
463,36,M,35-39,Middle,13,,,,0
464,70,M,65-69,Elderly,14,,,,0
465,60,F,55-59,Senior,15,,,,0
466,53,M,50-54,Senior,16,,,,0
467,57,F,55-59,Senior,17,,,,0
468,37,F,35-39,Middle,18,,,,0
469,46,F,45-49,Middle,19,,,,0
470,61,F,60-64,Senior,20,,,,0
471,52,F,50-54,Senior,21,,,,0
472,51,F,50-54,Senior,22,,,,0
473,50,M,45-49,Middle,23,,,,0
474,45,F,40-44,Middle,24,,,,0
475,79,F,70+,Elderly,25,,,,0
476,51,F,50-54,Senior,26,,,,0
477,54,M,50-54,Senior,27,,,,0
478,39,M,35-39,Middle,28,,,,0
479,56,M,55-59,Senior,29,,,,0
480,67,F,65-69,Elderly,30,,,,0
481,62,F,60-64,Senior,1,,,,0
482,29,F,25-29,Young,2,,,,0
483,44,M,40-44,Middle,3,,,,0
484,76,M,70+,Elderly,4,,,,0
485,58,F,55-59,Senior,5,,,,0
486,29,F,25-29,Young,6,,,,0
487,56,F,55-59,Senior,7,,,,0
488,60,F,55-59,Senior,8,,,,0
489,33,M,30-34,Young,9,,,,0
490,54,F,50-54,Senior,10,,,,0
491,54,F,50-54,Senior,11,,,,0
492,69,F,65-69,Elderly,12,,,,0
493,52,F,50-54,Senior,13,,,,0
494,31,M,30-34,Young,14,,,,0
495,34,F,30-34,Young,15,,,,0
496,29,F,25-29,Young,16,,,,0
497,58,F,55-59,Senior,17,,,,0
498,48,F,45-49,Middle,18,,,,0
499,30,M,25-29,Young,19,,,,0
500,44,F,40-44,Middle,20,,,,0
501,23,F,20-24,Young,21,,,,0
502,29,M,25-29,Young,22,,,,0
503,25,F,20-24,Young,23,,,,0
504,53,F,50-54,Senior,24,,,,0
505,46,M,45-49,Middle,25,,,,0
506,41,F,40-44,Middle,26,,,,0
507,66,M,65-69,Elderly,27,,,,0
508,58,F,55-59,Senior,28,,,,0
509,34,F,30-34,Young,29,,,,0
510,40,F,35-39,Middle,30,,,,0
511,52,F,50-54,Senior,1,,,,0
512,58,F,55-59,Senior,2,,,,0
513,56,F,55-59,Senior,3,,,,0
514,67,M,65-69,Elderly,4,,,,0
515,25,F,20-24,Young,5,,,,0
516,44,F,40-44,Middle,6,,,,0
517,66,F,65-69,Elderly,7,,,,0
518,33,M,30-34,Young,8,,,,0
519,76,M,70+,Elderly,9,,,,0
520,25,F,20-24,Young,10,,,,0
521,60,F,55-59,Senior,11,,,,0
522,57,F,55-59,Senior,12,,,,0
523,42,M,40-44,Middle,13,,,,0
524,44,M,40-44,Middle,14,,,,0
525,56,F,55-59,Senior,15,,,,0
526,58,F,55-59,Senior,16,,,,0
527,36,F,35-39,Middle,17,,,,0
528,54,F,50-54,Senior,18,,,,0
529,36,F,35-39,Middle,19,,,,0
530,72,F,70+,Elderly,20,,,,0
531,37,M,35-39,Middle,21,,,,0
532,31,F,30-34,Young,22,,,,0
533,46,F,45-49,Middle,23,,,,0
534,57,F,55-59,Senior,24,,,,0
535,59,F,55-59,Senior,25,,,,0
536,65,F,60-64,Senior,26,,,,0
537,30,M,25-29,Young,27,,,,0
538,56,F,55-59,Senior,28,,,,0
539,50,M,45-49,Middle,29,,,,0
540,52,M,50-54,Senior,30,,,,0
541,61,F,60-64,Senior,1,,,,0
542,45,M,40-44,Middle,2,,,,0
543,65,M,60-64,Senior,3,,,,0
544,41,F,40-44,Middle,4,,,,0
545,37,F,35-39,Middle,5,,,,0
546,44,F,40-44,Middle,6,,,,0
547,51,M,50-54,Senior,7,,,,0
548,43,F,40-44,Middle,8,,,,0
549,62,F,60-64,Senior,9,,,,0
550,59,M,55-59,Senior,10,,,,0
551,29,F,25-29,Young,11,,,,0
552,46,F,45-49,Middle,12,,,,0
553,51,M,50-54,Senior,13,,,,0
554,50,F,45-49,Middle,14,,,,0
555,52,F,50-54,Senior,15,,,,0
556,31,F,30-34,Young,16,,,,0
557,53,F,50-54,Senior,17,,,,0
558,57,F,55-59,Senior,18,,,,0
559,46,F,45-49,Middle,19,,,,0
560,59,F,55-59,Senior,20,,,,0
561,44,F,40-44,Middle,21,,,,0
562,40,F,35-39,Middle,22,,,,0
563,21,F,20-24,Young,23,,,,0
564,62,M,60-64,Senior,24,,,,0
565,60,F,55-59,Senior,25,,,,0
566,47,M,45-49,Middle,26,,,,0
567,48,M,45-49,Middle,27,,,,0
568,49,F,45-49,Middle,28,,,,0
569,50,M,45-49,Middle,29,,,,0
570,44,F,40-44,Middle,30,,,,0
571,47,F,45-49,Middle,1,,,,0
572,44,F,40-44,Middle,2,,,,0
573,55,F,50-54,Senior,3,,,,0
574,54,M,50-54,Senior,4,,,,0
575,26,M,25-29,Young,5,,,,0
576,36,F,35-39,Middle,6,,,,0
577,65,M,60-64,Senior,7,,,,0
578,41,F,40-44,Middle,8,,,,0
579,46,M,45-49,Middle,9,,,,0
580,54,F,50-54,Senior,10,,,,0
581,40,F,35-39,Middle,11,,,,0
582,28,F,25-29,Young,12,,,,0
583,68,F,65-69,Elderly,13,,,,0
584,62,F,60-64,Senior,14,,,,0
585,39,F,35-39,Middle,15,,,,0
586,38,F,35-39,Middle,16,,,,0
587,42,F,40-44,Middle,17,,,,0
588,61,F,60-64,Senior,18,,,,0
589,40,F,35-39,Middle,19,,,,0
590,59,F,55-59,Senior,20,,,,0
591,44,F,40-44,Middle,21,,,,0
592,52,F,50-54,Senior,22,,,,0
593,61,F,60-64,Senior,23,,,,0
594,39,F,35-39,Middle,24,,,,0
595,64,M,60-64,Senior,25,,,,0
596,29,F,25-29,Young,26,,,,0
597,43,F,40-44,Middle,27,,,,0
598,46,M,45-49,Middle,28,,,,0
599,26,F,25-29,Young,29,,,,0
600,24,F,20-24,Young,30,,,,0
601,54,F,50-54,Senior,1,,,,0
602,48,M,45-49,Middle,2,,,,0
603,42,M,40-44,Middle,3,,,,0
604,43,F,40-44,Middle,4,,,,0
605,85,F,70+,Elderly,5,,,,0
606,56,M,55-59,Senior,6,,,,0
607,51,F,50-54,Senior,7,,,,0
608,26,M,25-29,Young,8,,,,0
609,55,F,50-54,Senior,9,,,,0
610,76,F,70+,Elderly,10,,,,0
611,48,F,45-49,Middle,11,,,,0
612,46,M,45-49,Middle,12,,,,0
613,53,F,50-54,Senior,13,,,,0
614,28,M,25-29,Young,14,,,,0
615,47,M,45-49,Middle,15,,,,0
616,68,M,65-69,Elderly,16,,,,0
617,63,M,60-64,Senior,17,,,,0
618,50,M,45-49,Middle,18,,,,0
619,32,F,30-34,Young,19,,,,0
620,47,M,45-49,Middle,20,,,,0
621,73,F,70+,Elderly,21,,,,0
622,60,F,55-59,Senior,22,,,,0
623,52,F,50-54,Senior,23,,,,0
624,53,F,50-54,Senior,24,,,,0
625,42,F,40-44,Middle,25,,,,0
626,46,F,45-49,Middle,26,,,,0
627,62,F,60-64,Senior,27,,,,0
628,28,M,25-29,Young,28,,,,0
629,26,M,25-29,Young,29,,,,0
630,30,M,25-29,Young,1,,,,0
631,49,M,45-49,Middle,2,,,,0
632,39,F,35-39,Middle,3,,,,0
633,51,M,50-54,Senior,4,,,,0
634,40,F,35-39,Middle,5,,,,0
635,29,F,25-29,Young,6,,,,0
636,48,F,45-49,Middle,7,,,,0
637,58,M,55-59,Senior,8,,,,0
638,32,F,30-34,Young,9,,,,0
639,21,F,20-24,Young,10,,,,0
640,30,F,25-29,Young,11,,,,0
641,70,F,65-69,Elderly,12,,,,0
642,71,F,70+,Elderly,13,,,,0
643,52,F,50-54,Senior,14,,,,0
644,66,F,65-69,Elderly,15,,,,0
645,63,M,60-64,Senior,16,,,,0
646,57,F,55-59,Senior,17,,,,0
647,58,F,55-59,Senior,18,,,,0
648,44,F,40-44,Middle,19,,,,0
649,45,F,40-44,Middle,20,,,,0
650,32,M,30-34,Young,21,,,,0
651,25,F,20-24,Young,22,,,,0
652,57,F,55-59,Senior,23,,,,0
653,47,F,45-49,Middle,24,,,,0
654,54,F,50-54,Senior,25,,,,0
655,54,F,50-54,Senior,26,,,,0
656,64,F,60-64,Senior,27,,,,0
657,52,F,50-54,Senior,28,,,,0
658,34,M,30-34,Young,29,,,,0
659,63,F,60-64,Senior,30,,,,0
660,47,F,45-49,Middle,1,,,,0
661,36,M,35-39,Middle,2,,,,0
662,36,M,35-39,Middle,3,,,,0
663,52,F,50-54,Senior,4,,,,0
664,50,F,45-49,Middle,5,,,,0
665,63,M,60-64,Senior,6,,,,0
