ID,性別,年齢,年齢バケット,居住地_都道府県,居住地_市区町村
ID_196,女性,53,50代,栃木県,小山市
ID_197,女性,55,50代,栃木県,足利市
ID_198,男性,63,60代,宮崎県,北諸県郡三股町
ID_199,女性,52,50代,栃木県,那須塩原市
ID_200,女性,62,60代,栃木県,鹿沼市
ID_201,女性,40,40代,栃木県,宇都宮市
ID_202,女性,48,40代,栃木県,佐野市
ID_203,女性,47,40代,茨城県,結城市
ID_204,女性,67,60代,栃木県,宇都宮市
ID_205,男性,41,40代,茨城県,古河市
ID_206,男性,30,30代,栃木県,宇都宮市
ID_207,男性,41,40代,愛知県,豊明市
ID_208,女性,29,20代,栃木県,矢板市
ID_209,女性,33,30代,栃木県,佐野市
ID_210,女性,24,20代,栃木県,下都賀郡野木町
ID_211,女性,48,40代,栃木県,栃木市
ID_212,女性,47,40代,栃木県,小山市
ID_213,女性,57,50代,栃木県,小山市
ID_214,女性,31,30代,栃木県,鹿沼市
ID_215,女性,57,50代,群馬県,邑楽郡邑楽町
ID_216,女性,33,30代,栃木県,宇都宮市
ID_217,女性,31,30代,栃木県,宇都宮市
ID_218,男性,54,50代,栃木県,那須塩原市
ID_219,男性,45,40代,福島県,会津若松市
ID_220,女性,63,60代,栃木県,那須塩原市
ID_221,女性,44,40代,栃木県,下都賀郡壬生町
ID_222,男性,34,30代,栃木県,塩谷郡高根沢町
ID_223,女性,39,30代,栃木県,宇都宮市
ID_224,女性,25,20代,栃木県,栃木市
ID_225,女性,26,20代,栃木県,足利市
ID_226,女性,62,60代,栃木県,宇都宮市
ID_227,女性,33,30代,栃木県,宇都宮市
ID_228,女性,35,30代,栃木県,佐野市
ID_229,女性,27,20代,栃木県,宇都宮市
ID_230,女性,34,30代,栃木県,矢板市
ID_231,女性,32,30代,栃木県,宇都宮市
ID_232,女性,52,50代,栃木県,宇都宮市
ID_233,男性,40,40代,栃木県,小山市
ID_234,女性,33,30代,栃木県,宇都宮市
ID_235,女性,53,50代,栃木県,芳賀郡茂木町
ID_236,男性,19,20代,栃木県,鹿沼市
ID_237,女性,38,30代,茨城県,結城市
ID_238,男性,35,30代,栃木県,小山市
ID_239,女性,43,40代,群馬県,桐生市
ID_240,女性,47,40代,福島県,西白河郡西郷村
ID_241,男性,44,40代,群馬県,太田市
ID_242,女性,31,30代,栃木県,大田原市
ID_243,女性,61,60代,栃木県,足利市
ID_244,女性,60,60代,栃木県,宇都宮市
ID_245,女性,24,20代,栃木県,真岡市
ID_246,女性,17,20代,栃木県,さくら市
ID_247,男性,52,50代,栃木県,日光市
ID_248,男性,37,30代,兵庫県,神戸市長田区
ID_249,女性,42,40代,栃木県,宇都宮市
ID_250,女性,37,30代,栃木県,小山市
ID_251,女性,53,50代,栃木県,宇都宮市
ID_252,女性,56,50代,栃木県,下都賀郡壬生町
ID_253,男性,43,40代,栃木県,さくら市
ID_254,女性,47,40代,栃木県,宇都宮市
ID_255,女性,43,40代,栃木県,栃木市
ID_256,男性,30,30代,栃木県,鹿沼市
ID_257,男性,37,30代,群馬県,太田市
ID_258,女性,39,30代,栃木県,宇都宮市
ID_259,女性,32,30代,栃木県,さくら市
ID_260,男性,51,50代,栃木県,宇都宮市
ID_261,女性,52,50代,茨城県,古河市
ID_262,女性,31,30代,栃木県,さくら市
ID_263,女性,29,20代,栃木県,足利市
ID_264,女性,43,40代,栃木県,栃木市
ID_265,女性,52,50代,栃木県,宇都宮市
ID_266,女性,39,30代,栃木県,大田原市
ID_267,男性,25,20代,埼玉県,ふじみ野市
ID_268,男性,38,30代,栃木県,足利市
ID_269,男性,40,40代,栃木県,宇都宮市
ID_270,女性,33,30代,栃木県,鹿沼市
ID_271,女性,23,20代,栃木県,佐野市
ID_272,男性,64,60代,栃木県,小山市
ID_273,女性,54,50代,栃木県,足利市
ID_274,女性,30,30代,栃木県,鹿沼市
ID_275,女性,37,30代,栃木県,宇都宮市
ID_276,女性,51,50代,栃木県,宇都宮市
ID_277,女性,37,30代,栃木県,栃木市
ID_278,男性,47,40代,群馬県,みどり市
ID_279,女性,57,50代,群馬県,邑楽郡明和町
ID_280,男性,55,50代,群馬県,桐生市
ID_281,男性,32,30代,栃木県,宇都宮市
ID_282,男性,54,50代,群馬県,邑楽郡邑楽町
ID_283,女性,57,50代,栃木県,宇都宮市
ID_284,女性,27,20代,栃木県,さくら市
ID_285,女性,55,50代,栃木県,さくら市
ID_286,女性,50,50代,埼玉県,行田市
ID_287,男性,40,40代,栃木県,栃木市
ID_288,女性,56,50代,栃木県,下野市
ID_289,女性,27,20代,栃木県,矢板市
ID_290,女性,32,30代,栃木県,那須塩原市
ID_291,女性,25,20代,栃木県,宇都宮市
ID_292,女性,59,50代,栃木県,矢板市
ID_293,女性,28,20代,栃木県,那須塩原市
ID_294,男性,40,40代,大分県,大分市
ID_295,男性,24,20代,東京都,北区
ID_296,女性,50,50代,栃木県,宇都宮市
ID_297,男性,31,30代,群馬県,吾妻郡東吾妻町
ID_298,男性,25,20代,栃木県,宇都宮市
ID_299,男性,52,50代,栃木県,真岡市
ID_300,女性,43,40代,栃木県,宇都宮市
ID_301,女性,46,40代,茨城県,古河市
ID_302,女性,43,40代,群馬県,邑楽郡邑楽町
ID_303,女性,48,40代,栃木県,宇都宮市
ID_304,女性,34,30代,栃木県,塩谷郡高根沢町
ID_305,女性,36,30代,栃木県,芳賀郡市貝町
ID_306,男性,62,60代,栃木県,宇都宮市
ID_307,女性,21,20代,栃木県,宇都宮市
ID_308,女性,54,50代,栃木県,那須塩原市
ID_309,男性,60,60代,茨城県,古河市
ID_310,女性,31,30代,栃木県,宇都宮市
ID_311,男性,28,20代,栃木県,宇都宮市
ID_312,男性,41,40代,栃木県,足利市
ID_313,女性,66,60代,栃木県,宇都宮市
ID_314,男性,36,30代,栃木県,さくら市
ID_315,女性,31,30代,栃木県,宇都宮市
ID_316,男性,43,40代,栃木県,佐野市
ID_317,男性,33,30代,栃木県,芳賀郡茂木町
ID_318,女性,59,50代,栃木県,足利市
ID_319,男性,33,30代,栃木県,那須塩原市
ID_320,女性,28,20代,栃木県,宇都宮市
ID_321,女性,29,20代,栃木県,那須塩原市
ID_322,男性,54,50代,栃木県,下都賀郡壬生町
ID_323,女性,35,30代,栃木県,宇都宮市
ID_324,女性,42,40代,栃木県,那須塩原市
ID_325,男性,37,30代,栃木県,大田原市
ID_326,女性,51,50代,栃木県,足利市
ID_327,男性,51,50代,埼玉県,深谷市
ID_328,男性,53,50代,埼玉県,大里郡寄居町
ID_329,女性,58,50代,栃木県,宇都宮市
ID_330,女性,48,40代,栃木県,下野市
ID_331,女性,43,40代,栃木県,日光市
ID_332,男性,42,40代,栃木県,宇都宮市
ID_333,女性,42,40代,愛媛県,松山市
ID_334,男性,40,40代,栃木県,宇都宮市
ID_335,女性,48,40代,栃木県,佐野市
ID_336,女性,46,40代,栃木県,下野市
ID_337,女性,49,40代,栃木県,下野市
ID_338,女性,20,20代,栃木県,矢板市
ID_339,男性,45,40代,東京都,武蔵野市
ID_340,男性,39,30代,栃木県,佐野市
ID_341,女性,29,20代,栃木県,足利市
ID_342,男性,45,40代,栃木県,宇都宮市
ID_343,女性,39,30代,群馬県,太田市
ID_344,女性,23,20代,栃木県,塩谷郡高根沢町
ID_345,女性,42,40代,栃木県,宇都宮市
ID_346,男性,44,40代,栃木県,小山市
ID_347,男性,46,40代,栃木県,日光市
ID_348,女性,55,50代,栃木県,宇都宮市
ID_349,男性,49,40代,群馬県,桐生市
ID_350,男性,26,20代,栃木県,佐野市
ID_351,女性,62,60代,栃木県,佐野市
ID_352,女性,49,40代,栃木県,さくら市
ID_353,女性,51,50代,栃木県,鹿沼市
ID_354,女性,53,50代,栃木県,小山市
ID_355,女性,51,50代,群馬県,邑楽郡大泉町
ID_356,男性,35,30代,栃木県,足利市
ID_357,女性,50,50代,栃木県,鹿沼市
ID_358,女性,31,30代,栃木県,塩谷郡高根沢町
ID_359,女性,39,30代,栃木県,足利市
ID_360,女性,33,30代,栃木県,宇都宮市
ID_361,女性,22,20代,栃木県,小山市
ID_362,女性,45,40代,栃木県,宇都宮市
ID_363,男性,60,60代,群馬県,太田市
ID_364,男性,50,50代,栃木県,小山市
ID_365,女性,25,20代,栃木県,宇都宮市
ID_366,女性,48,40代,栃木県,小山市
ID_367,女性,48,40代,栃木県,宇都宮市
ID_368,女性,46,40代,栃木県,日光市
ID_369,男性,69,60代,栃木県,足利市
ID_370,女性,41,40代,茨城県,古河市
ID_371,女性,46,40代,栃木県,足利市
ID_372,男性,47,40代,茨城県,桜川市
ID_373,男性,36,30代,栃木県,下野市
ID_374,男性,67,60代,群馬県,太田市
ID_375,女性,58,50代,栃木県,宇都宮市
ID_376,女性,25,20代,栃木県,宇都宮市
ID_377,女性,47,40代,栃木県,宇都宮市
ID_378,女性,37,30代,茨城県,筑西市
ID_379,女性,53,50代,栃木県,宇都宮市
ID_380,女性,26,20代,栃木県,小山市
ID_381,女性,48,40代,栃木県,河内郡上三川町
ID_382,女性,55,50代,栃木県,宇都宮市
ID_383,女性,26,20代,栃木県,那須烏山市
ID_384,女性,65,60代,栃木県,小山市
ID_385,女性,26,20代,茨城県,古河市
ID_386,女性,37,30代,栃木県,宇都宮市
ID_387,男性,39,30代,栃木県,真岡市
ID_388,女性,29,20代,東京都,品川区
ID_389,男性,42,40代,栃木県,塩谷郡高根沢町
ID_390,女性,22,20代,福島県,いわき市
ID_391,女性,46,40代,埼玉県,熊谷市
ID_392,男性,45,40代,福島県,須賀川市
ID_393,女性,37,30代,栃木県,宇都宮市
ID_394,女性,55,50代,栃木県,大田原市
ID_395,男性,44,40代,栃木県,鹿沼市
ID_396,女性,23,20代,栃木県,大田原市
ID_397,女性,61,60代,栃木県,栃木市
ID_398,女性,31,30代,福島県,郡山市
ID_399,女性,39,30代,栃木県,宇都宮市
ID_400,女性,41,40代,栃木県,那須塩原市
ID_401,男性,25,20代,埼玉県,川口市
ID_402,女性,51,50代,栃木県,真岡市
ID_403,男性,60,60代,群馬県,太田市
ID_404,女性,37,30代,埼玉県,狭山市
ID_405,男性,36,30代,栃木県,宇都宮市
ID_406,男性,46,40代,埼玉県,久喜市
ID_407,男性,44,40代,茨城県,古河市
ID_408,女性,46,40代,栃木県,宇都宮市
ID_409,女性,50,50代,栃木県,宇都宮市
ID_410,女性,27,20代,栃木県,宇都宮市
ID_411,女性,73,70歳以上,神奈川県,逗子市
ID_412,女性,36,30代,栃木県,佐野市
ID_413,男性,47,40代,群馬県,高崎市
ID_414,女性,45,40代,栃木県,宇都宮市
ID_415,女性,40,40代,栃木県,宇都宮市
ID_416,女性,24,20代,埼玉県,川口市
ID_417,男性,83,70歳以上,栃木県,宇都宮市
ID_418,女性,37,30代,栃木県,宇都宮市
ID_419,女性,29,20代,栃木県,日光市
ID_420,男性,48,40代,栃木県,佐野市
ID_421,女性,35,30代,栃木県,宇都宮市
ID_422,男性,50,50代,栃木県,宇都宮市
ID_423,女性,23,20代,栃木県,栃木市
ID_424,女性,59,50代,群馬県,太田市
ID_425,男性,27,20代,栃木県,宇都宮市
ID_426,女性,61,60代,栃木県,鹿沼市
ID_427,女性,51,50代,栃木県,宇都宮市
ID_428,女性,67,60代,埼玉県,深谷市
ID_429,女性,58,50代,栃木県,下野市
ID_430,男性,44,40代,栃木県,足利市
ID_431,男性,50,50代,栃木県,栃木市
ID_432,女性,47,40代,栃木県,下都賀郡野木町
ID_433,女性,21,20代,栃木県,那須塩原市
ID_434,男性,54,50代,栃木県,足利市
ID_435,女性,50,50代,茨城県,猿島郡境町
ID_436,女性,23,20代,栃木県,小山市
ID_437,女性,34,30代,栃木県,下野市
ID_438,男性,86,70歳以上,栃木県,宇都宮市
ID_439,女性,56,50代,栃木県,小山市
ID_440,男性,31,30代,栃木県,宇都宮市
ID_441,女性,44,40代,栃木県,日光市
ID_442,男性,57,50代,栃木県,佐野市
ID_443,女性,39,30代,栃木県,宇都宮市
ID_444,女性,51,50代,栃木県,宇都宮市
ID_445,女性,26,20代,栃木県,鹿沼市
ID_446,女性,30,30代,栃木県,那須塩原市
ID_447,女性,51,50代,栃木県,宇都宮市
ID_448,男性,35,30代,栃木県,大田原市
ID_449,女性,23,20代,栃木県,大田原市
ID_450,女性,44,40代,栃木県,宇都宮市
ID_451,女性,26,20代,埼玉県,白岡市
ID_452,男性,25,20代,栃木県,足利市
ID_453,女性,29,20代,栃木県,宇都宮市
ID_454,女性,43,40代,栃木県,小山市
ID_455,女性,33,30代,栃木県,宇都宮市
ID_456,男性,32,30代,栃木県,宇都宮市
ID_457,女性,40,40代,栃木県,下都賀郡壬生町
ID_458,男性,32,30代,栃木県,芳賀郡茂木町
ID_459,女性,43,40代,栃木県,足利市
ID_460,女性,45,40代,栃木県,小山市
ID_461,女性,33,30代,栃木県,佐野市
ID_462,女性,57,50代,栃木県,下都賀郡野木町
ID_463,女性,50,50代,栃木県,鹿沼市
ID_464,男性,43,40代,茨城県,古河市
ID_465,女性,37,30代,栃木県,宇都宮市
ID_466,女性,48,40代,栃木県,下都賀郡野木町
ID_467,女性,45,40代,栃木県,下野市
ID_468,女性,48,40代,栃木県,下都賀郡野木町
ID_469,女性,55,50代,栃木県,下野市
ID_470,女性,22,20代,栃木県,大田原市
ID_471,男性,25,20代,栃木県,大田原市
ID_472,女性,23,20代,栃木県,大田原市
ID_473,女性,43,40代,東京都,練馬区
ID_474,女性,43,40代,栃木県,那須塩原市
ID_475,女性,41,40代,茨城県,古河市
ID_476,女性,33,30代,群馬県,太田市
ID_477,女性,51,50代,栃木県,芳賀郡茂木町
ID_478,女性,59,50代,栃木県,宇都宮市
ID_479,男性,30,30代,栃木県,下都賀郡壬生町
ID_480,女性,43,40代,栃木県,日光市
ID_481,女性,63,60代,栃木県,足利市
ID_482,女性,34,30代,栃木県,矢板市
ID_483,女性,33,30代,栃木県,真岡市
ID_484,男性,60,60代,栃木県,小山市
ID_485,女性,55,50代,栃木県,宇都宮市
ID_486,女性,60,60代,栃木県,栃木市
ID_487,女性,34,30代,群馬県,邑楽郡邑楽町
ID_488,女性,19,20代,栃木県,宇都宮市
ID_489,女性,43,40代,栃木県,宇都宮市
ID_490,女性,58,50代,栃木県,佐野市
ID_491,女性,30,30代,栃木県,足利市
ID_492,女性,20,20代,群馬県,館林市
ID_493,女性,41,40代,栃木県,宇都宮市
ID_494,女性,48,40代,栃木県,宇都宮市
ID_495,女性,42,40代,栃木県,宇都宮市
ID_496,女性,54,50代,茨城県,古河市
ID_497,男性,69,60代,栃木県,足利市
ID_498,女性,42,40代,栃木県,宇都宮市
ID_499,女性,55,50代,栃木県,足利市
ID_500,男性,48,40代,栃木県,日光市
ID_501,女性,39,30代,栃木県,栃木市
ID_502,女性,44,40代,栃木県,河内郡上三川町
ID_503,女性,21,20代,栃木県,那須郡那須町
ID_504,女性,48,40代,栃木県,日光市
ID_505,女性,31,30代,栃木県,宇都宮市
ID_506,女性,64,60代,茨城県,古河市
ID_507,女性,26,20代,群馬県,前橋市
ID_508,男性,40,40代,栃木県,鹿沼市
ID_509,女性,43,40代,群馬県,太田市
ID_510,男性,27,20代,栃木県,鹿沼市
ID_511,男性,24,20代,栃木県,さくら市
ID_512,男性,23,20代,栃木県,大田原市
ID_513,女性,45,40代,栃木県,宇都宮市
ID_514,女性,52,50代,群馬県,みどり市
ID_515,女性,43,40代,栃木県,大田原市
ID_516,男性,48,40代,栃木県,佐野市
ID_517,男性,48,40代,栃木県,日光市
ID_518,女性,37,30代,栃木県,真岡市
ID_519,女性,56,50代,群馬県,みどり市
ID_520,男性,38,30代,栃木県,小山市
ID_521,女性,63,60代,栃木県,足利市
ID_522,女性,58,50代,群馬県,館林市
ID_523,男性,37,30代,栃木県,河内郡上三川町
ID_524,女性,27,20代,栃木県,矢板市
ID_525,女性,47,40代,栃木県,矢板市
ID_526,女性,36,30代,栃木県,小山市
ID_527,女性,47,40代,栃木県,下都賀郡野木町
ID_528,女性,46,40代,栃木県,栃木市
ID_529,男性,46,40代,栃木県,鹿沼市
ID_530,女性,32,30代,群馬県,邑楽郡板倉町
ID_531,男性,41,40代,茨城県,古河市
ID_532,女性,52,50代,栃木県,宇都宮市
ID_533,女性,47,40代,栃木県,足利市
ID_534,女性,48,40代,栃木県,栃木市
ID_535,男性,42,40代,神奈川県,川崎市麻生区
ID_536,女性,23,20代,栃木県,宇都宮市
ID_537,女性,29,20代,群馬県,太田市
ID_538,女性,35,30代,栃木県,河内郡上三川町
ID_539,男性,40,40代,栃木県,下都賀郡野木町
ID_540,女性,55,50代,栃木県,小山市
ID_541,女性,58,50代,栃木県,宇都宮市
ID_542,女性,44,40代,栃木県,宇都宮市
ID_543,女性,21,20代,茨城県,常総市
ID_544,男性,34,30代,栃木県,宇都宮市
ID_545,女性,57,50代,栃木県,小山市
ID_546,女性,22,20代,栃木県,矢板市
ID_547,女性,53,50代,栃木県,矢板市
ID_548,女性,57,50代,茨城県,古河市
ID_549,女性,36,30代,群馬県,太田市
ID_550,女性,56,50代,栃木県,下都賀郡野木町
ID_551,女性,47,40代,栃木県,日光市
ID_552,男性,60,60代,栃木県,栃木市
ID_553,女性,47,40代,栃木県,宇都宮市
ID_554,男性,27,20代,栃木県,宇都宮市
ID_555,女性,40,40代,栃木県,那須烏山市
ID_556,男性,63,60代,長崎県,大村市
ID_557,女性,29,20代,栃木県,小山市
ID_558,女性,28,20代,栃木県,塩谷郡高根沢町
ID_559,男性,40,40代,栃木県,宇都宮市
ID_560,男性,31,30代,栃木県,日光市
ID_561,女性,44,40代,栃木県,那須塩原市
ID_562,女性,42,40代,栃木県,宇都宮市
ID_563,男性,76,70歳以上,栃木県,那須塩原市
ID_564,女性,47,40代,栃木県,宇都宮市
ID_565,女性,64,60代,埼玉県,久喜市
ID_566,女性,56,50代,栃木県,下都賀郡野木町
ID_567,男性,53,50代,福島県,須賀川市
ID_568,女性,44,40代,群馬県,前橋市
ID_569,男性,38,30代,栃木県,佐野市
ID_570,女性,20,20代,栃木県,宇都宮市
ID_571,女性,49,40代,栃木県,真岡市
ID_572,女性,28,20代,栃木県,宇都宮市
ID_573,女性,43,40代,栃木県,佐野市
ID_574,男性,62,60代,栃木県,宇都宮市
ID_575,男性,71,70歳以上,栃木県,足利市
ID_576,女性,41,40代,栃木県,大田原市
ID_577,女性,45,40代,群馬県,太田市
ID_578,男性,45,40代,栃木県,鹿沼市
