location,prefecture,municipality,career,age_group,count,avg_age,avg_qualifications
京都府乙訓郡大山崎町,京都府,乙訓郡大山崎町,建築設計科(専門学校)(1989年3月卒業),50代,1,56.0,3.0
京都府乙訓郡大山崎町,京都府,乙訓郡大山崎町,文理学部英文科文学専攻(大学)(2019年3月卒業),50代,1,54.0,11.0
京都府乙訓郡大山崎町,京都府,乙訓郡大山崎町,普通科(1973年3月卒業),70歳以上,1,70.0,0.0
京都府乙訓郡大山崎町,京都府,乙訓郡大山崎町,普通科(高等学校)(1990年3月卒業),50代,1,52.0,1.0
京都府乙訓郡大山崎町,京都府,乙訓郡大山崎町,普通科(高等学校)(2003年3月卒業),40代,1,41.0,0.0
京都府乙訓郡大山崎町,京都府,乙訓郡大山崎町,普通科普通学科(高等学校)(1988年3月卒業),50代,1,56.0,2.0
京都府亀岡市,京都府,亀岡市,(大学院(修士)),40代,1,49.0,0.0
京都府亀岡市,京都府,亀岡市,(専門学校),40代,2,46.0,1.5
京都府亀岡市,京都府,亀岡市,(専門学校),60代,3,60.0,1.6666666666666667
京都府亀岡市,京都府,亀岡市,(専門学校)(1996年3月),40代,1,48.0,2.0
京都府亀岡市,京都府,亀岡市,(短期大学),50代,1,53.0,2.0
京都府亀岡市,京都府,亀岡市,(短期大学)(1995年3月卒業),50代,1,50.0,1.0
京都府亀岡市,京都府,亀岡市,(高等学校),30代,2,38.0,2.5
京都府亀岡市,京都府,亀岡市,(高等学校),40代,1,45.0,1.0
京都府亀岡市,京都府,亀岡市,(高等学校),50代,2,51.5,1.5
京都府亀岡市,京都府,亀岡市,(高等学校)(1971年3月卒業),60代,1,66.0,2.0
京都府亀岡市,京都府,亀岡市,(高等学校)(1972年3月卒業),70歳以上,1,72.0,0.0
京都府亀岡市,京都府,亀岡市,(高等学校)(1982年2月卒業),60代,1,62.0,3.0
京都府亀岡市,京都府,亀岡市,(高等学校)(1996年3月卒業),40代,1,48.0,4.0
京都府亀岡市,京都府,亀岡市,(高等学校)(1997年3月卒業),40代,1,47.0,2.0
京都府亀岡市,京都府,亀岡市,(高等学校)(1998年3月卒業),40代,1,46.0,0.0
京都府亀岡市,京都府,亀岡市,(高等学校)(2001年3月卒業),40代,1,43.0,0.0
京都府亀岡市,京都府,亀岡市,(高等学校)(2014年3月卒業),20代,1,29.0,0.0
京都府亀岡市,京都府,亀岡市,(高等専門学校)(2017年3月卒業),20代,1,29.0,1.0
京都府亀岡市,京都府,亀岡市,なしなし(その他)(1984年3月卒業),50代,1,55.0,1.0
京都府亀岡市,京都府,亀岡市,デザイン科(1983年3月卒業),60代,1,62.0,2.0
京都府亀岡市,京都府,亀岡市,ライフデザイン学科(短期大学)(2018年3月卒業),20代,1,27.0,0.0
京都府亀岡市,京都府,亀岡市,仏教学科仏教保育専攻(短期大学)(2023年3月卒業見込み),20代,1,22.0,0.0
京都府亀岡市,京都府,亀岡市,保育科(専門学校),40代,1,48.0,3.0
京都府亀岡市,京都府,亀岡市,国際文化学科(短期大学),50代,1,52.0,2.0
京都府亀岡市,京都府,亀岡市,工業科(高等学校),20代,1,25.0,0.0
京都府亀岡市,京都府,亀岡市,広報マスコミ科(短期大学),50代,1,58.0,2.0
京都府亀岡市,京都府,亀岡市,情報処理総合システム科(専門学校)(1990年3月卒業),50代,1,53.0,1.0
京都府亀岡市,京都府,亀岡市,情報工学科(専門学校),60代,1,60.0,0.0
京都府亀岡市,京都府,亀岡市,文学部 英語英米文学科(大学)(2004年3月卒業),40代,1,43.0,1.0
京都府亀岡市,京都府,亀岡市,文学部文化歴史学科日本史学専攻(大学)(2003年3月卒業),40代,1,41.0,4.0
京都府亀岡市,京都府,亀岡市,文学部社会福祉学科児童福祉(大学)(1985年3月卒業),60代,1,63.0,2.0
京都府亀岡市,京都府,亀岡市,旅行学科(専門学校)(1996年3月卒業),50代,1,50.0,3.0
京都府亀岡市,京都府,亀岡市,普通(高等学校)(1992年3月卒業),50代,1,52.0,5.0
京都府亀岡市,京都府,亀岡市,普通(高等学校)(1996年3月卒業),40代,1,49.0,8.0
京都府亀岡市,京都府,亀岡市,普通科(その他),30代,1,39.0,2.0
京都府亀岡市,京都府,亀岡市,普通科(高等学校),40代,1,43.0,4.0
京都府亀岡市,京都府,亀岡市,普通科(高等学校),50代,3,55.0,1.0
京都府亀岡市,京都府,亀岡市,普通科(高等学校)(1975年3月卒業),60代,1,69.0,2.0
京都府亀岡市,京都府,亀岡市,普通科(高等学校)(1987年3月卒業),50代,1,57.0,2.0
京都府亀岡市,京都府,亀岡市,普通科(高等学校)(1988年3月卒業),50代,1,55.0,1.0
京都府亀岡市,京都府,亀岡市,普通科(高等学校)(1990年3月卒業),60代,1,66.0,3.0
京都府亀岡市,京都府,亀岡市,普通科(高等学校)(1994年3月卒業),40代,1,49.0,4.0
京都府亀岡市,京都府,亀岡市,普通科(高等学校)(1997年3月卒業),40代,1,46.0,2.0
京都府亀岡市,京都府,亀岡市,普通科(高等学校)(2000年3月卒業),40代,1,44.0,2.0
京都府亀岡市,京都府,亀岡市,普通科なし(高等学校)(1980年3月卒業),60代,1,63.0,2.0
京都府亀岡市,京都府,亀岡市,普通科書道(高等学校)(1986年2月卒業),50代,1,58.0,5.0
京都府亀岡市,京都府,亀岡市,普通科理系(高等学校)(2003年3月卒業),40代,1,41.0,2.0
京都府亀岡市,京都府,亀岡市,普通課(高等学校)(1965年3月卒業),60代,1,68.0,0.0
京都府亀岡市,京都府,亀岡市,東大阪短期大学初等教育科(1983年3月卒業),60代,1,62.0,2.0
京都府亀岡市,京都府,亀岡市,現代家政学部現代家政学科児童学コース(大学)(2015年3月卒業),30代,1,32.0,2.0
京都府亀岡市,京都府,亀岡市,生活学科(短期大学)(2020年3月卒業),40代,1,44.0,1.0
京都府亀岡市,京都府,亀岡市,看護科(高等専門学校)(2007年9月中退),30代,1,37.0,2.0
京都府亀岡市,京都府,亀岡市,短期大学部ピアノ(短期大学)(2003年3月卒業),40代,1,42.0,2.0
京都府亀岡市,京都府,亀岡市,社会福祉学部社会福祉学科(大学)(2015年3月卒業),30代,1,32.0,6.0
京都府亀岡市,京都府,亀岡市,福祉社会学部福祉社会学科(大学)(2006年3月卒業),40代,1,42.0,0.0
京都府亀岡市,京都府,亀岡市,福祉課(高等学校)(2002年3月卒業),40代,1,42.0,4.0
京都府亀岡市,京都府,亀岡市,経済学部現代経済学科(大学)(2014年3月卒業),30代,1,34.0,2.0
京都府亀岡市,京都府,亀岡市,経済学部経済学科(大学)(1988年3月卒業),60代,1,60.0,4.0
京都府亀岡市,京都府,亀岡市,美容(専門学校),50代,1,56.0,4.0
京都府亀岡市,京都府,亀岡市,美容(専門学校)(1984年3月卒業),60代,1,60.0,4.0
京都府亀岡市,京都府,亀岡市,農学部食品栄養学科(大学)(2019年3月卒業),20代,1,29.0,4.0
京都府亀岡市,京都府,亀岡市,電気工学科(高等学校),60代,1,65.0,0.0
京都府亀岡市,京都府,亀岡市,食品化学科(高等学校)(2001年3月卒業),40代,1,41.0,2.0
京都府亀岡市,京都府,亀岡市,高等看護科中退 准看護科卒業看護(専門学校)(1978年3月中退),60代,1,69.0,2.0
京都府京丹後市,京都府,京丹後市,(その他),60代,1,67.0,2.0
京都府京丹後市,京都府,京丹後市,(短期大学),30代,1,31.0,0.0
京都府京丹後市,京都府,京丹後市,(高等学校),30代,1,33.0,1.0
京都府京丹後市,京都府,京丹後市,(高等学校),50代,1,55.0,1.0
京都府京丹後市,京都府,京丹後市,こども学部･こども学科(大学)(2017年3月卒業),30代,1,31.0,1.0
京都府京丹後市,京都府,京丹後市,商業科(高等学校),40代,1,47.0,1.0
京都府京丹後市,京都府,京丹後市,商業科(高等学校)(1990年3月卒業),50代,1,55.0,2.0
京都府京丹後市,京都府,京丹後市,国際コミュニケーション学部(大学)(2001年3月卒業),40代,1,47.0,2.0
京都府京丹後市,京都府,京丹後市,家政科(高等学校)(1988年3月卒業),50代,1,56.0,1.0
京都府京丹後市,京都府,京丹後市,家政科(高等学校)(2022年3月卒業),20代,1,22.0,1.0
京都府京丹後市,京都府,京丹後市,政策学部(大学)(2020年3月卒業),20代,1,29.0,1.0
京都府京丹後市,京都府,京丹後市,水産製造科(高等学校)(1990年3月卒業),50代,1,54.0,0.0
京都府京丹後市,京都府,京丹後市,総合学科 福祉系列(高等学校)(2014年3月卒業),20代,1,29.0,3.0
京都府京田辺市,京都府,京田辺市,(1984年3月卒業),60代,1,61.0,7.0
京都府京田辺市,京都府,京田辺市,(大学)(2003年3月卒業),40代,1,44.0,4.0
京都府京田辺市,京都府,京田辺市,(高等学校),40代,2,43.5,2.0
京都府京田辺市,京都府,京田辺市,(高等学校),50代,1,53.0,1.0
京都府京田辺市,京都府,京田辺市,(高等学校)(1989年3月卒業),50代,1,55.0,3.0
京都府京田辺市,京都府,京田辺市,(高等学校)(1993年3月卒業),50代,2,52.0,3.5
京都府京田辺市,京都府,京田辺市,(高等学校)(2016年3月卒業),20代,1,27.0,1.0
京都府京田辺市,京都府,京田辺市,人間学部臨床心理学科(大学)(2000年3月卒業),50代,1,50.0,6.0
京都府京田辺市,京都府,京田辺市,介護福祉科(専門学校)(2001年3月卒業),50代,1,51.0,3.0
京都府京田辺市,京都府,京田辺市,介護福祉科(高等学校)(2018年3月卒業),20代,1,26.0,7.0
京都府京田辺市,京都府,京田辺市,体育学部 健康学科(大学)(1989年3月卒業),60代,1,60.0,5.0
京都府京田辺市,京都府,京田辺市,体育学部健康学科(大学)(1988年3月卒業),60代,1,60.0,3.0
京都府京田辺市,京都府,京田辺市,写真学科一年フォトデザイン専攻(専門学校)(1997年3月卒業),50代,1,54.0,1.0
京都府京田辺市,京都府,京田辺市,医療福祉科福祉科(高等専門学校)(1997年3月卒業),50代,1,53.0,5.0
京都府京田辺市,京都府,京田辺市,医療秘書(専門学校)(2011年3月卒業),30代,1,34.0,3.0
京都府京田辺市,京都府,京田辺市,商業科(高等学校)(1978年3月卒業),60代,1,65.0,1.0
京都府京田辺市,京都府,京田辺市,商業科(高等学校)(1989年4月卒業),50代,1,55.0,1.0
京都府京田辺市,京都府,京田辺市,国際文化A(高等学校)(2019年3月卒業),20代,1,24.0,0.0
京都府京田辺市,京都府,京田辺市,家政科家政専攻(短期大学)(1970年3月卒業),60代,1,66.0,1.0
京都府京田辺市,京都府,京田辺市,応用社会学科(大学)(2000年3月卒業),40代,1,49.0,1.0
京都府京田辺市,京都府,京田辺市,情報企画科(高等学校)(2017年3月卒業),20代,1,27.0,1.0
京都府京田辺市,京都府,京田辺市,文学部日本史(大学)(1988年3月卒業),60代,1,61.0,7.0
京都府京田辺市,京都府,京田辺市,普通科(1986年3月卒業),50代,1,57.0,1.0
京都府京田辺市,京都府,京田辺市,普通科(高等学校),50代,1,57.0,1.0
京都府京田辺市,京都府,京田辺市,普通科(高等学校)(1979年3月卒業),60代,1,63.0,1.0
京都府京田辺市,京都府,京田辺市,普通科(高等学校)(1983年3月),60代,1,60.0,1.0
京都府京田辺市,京都府,京田辺市,普通科(高等学校)(1991年3月卒業),50代,1,51.0,2.0
京都府京田辺市,京都府,京田辺市,普通科(高等学校)(2013年3月卒業),30代,1,31.0,2.0
京都府京田辺市,京都府,京田辺市,法律学部法律学科(大学)(2000年3月卒業),40代,1,48.0,2.0
京都府京田辺市,京都府,京田辺市,社会学部・現代社会学科(大学)(2011年3月卒業),30代,1,36.0,3.0
京都府京田辺市,京都府,京田辺市,社会学部社会学科(大学)(2020年3月卒業),20代,1,27.0,2.0
京都府京田辺市,京都府,京田辺市,社会福祉学科(大学)(2004年3月卒業),40代,1,43.0,1.0
京都府京田辺市,京都府,京田辺市,社会福祉学部社会福祉学科(大学)(2003年3月卒業),40代,1,45.0,6.0
京都府京田辺市,京都府,京田辺市,社会福祉科(専門学校)(2002年3月卒業),40代,1,43.0,2.0
京都府京田辺市,京都府,京田辺市,福祉総合科(高等学校)(2023年3月卒業),20代,1,21.0,1.0
京都府京田辺市,京都府,京田辺市,経営学科なし(大学)(2010年10月中退),30代,1,33.0,0.0
京都府京田辺市,京都府,京田辺市,経営学部経営学科金融論(大学)(1982年3月卒業),60代,2,67.0,3.0
京都府京田辺市,京都府,京田辺市,経済学部国際貿易(大学)(1988年6月卒業),60代,1,60.0,4.0
京都府京田辺市,京都府,京田辺市,芸術学部・キャラクター造形学科(大学)(2013年3月卒業),30代,1,35.0,0.0
京都府京田辺市,京都府,京田辺市,衛生専門課程栄養科(専門学校)(2000年3月卒業),40代,1,45.0,5.0
京都府京田辺市,京都府,京田辺市,通信科(高等学校)(2013年10月中退),20代,1,28.0,1.0
京都府京都市上京区,京都府,京都市上京区,(その他)(1978年3月卒業),60代,1,62.0,7.0
京都府京都市上京区,京都府,京都市上京区,(大学),30代,1,36.0,2.0
京都府京都市上京区,京都府,京都市上京区,(大学)(2018年3月卒業),40代,1,47.0,2.0
京都府京都市上京区,京都府,京都市上京区,(専門学校)(1992年3月卒業),50代,1,54.0,1.0
京都府京都市上京区,京都府,京都市上京区,(高等学校),30代,1,33.0,0.0
京都府京都市上京区,京都府,京都市上京区,(高等学校)(1979年3月卒業),60代,1,64.0,0.0
京都府京都市上京区,京都府,京都市上京区,(高等学校)(1981年3月卒業),60代,1,62.0,0.0
京都府京都市上京区,京都府,京都市上京区,(高等学校)(1995年3月卒業),40代,1,49.0,2.0
京都府京都市上京区,京都府,京都市上京区,スポーツコース体育(高等学校)(2010年2月卒業),30代,1,34.0,4.0
京都府京都市上京区,京都府,京都市上京区,商業科商業(高等学校)(1976年3月卒業),60代,1,67.0,4.0
京都府京都市上京区,京都府,京都市上京区,家政学部被服科(短期大学)(1983年3月卒業),60代,1,61.0,2.0
京都府京都市上京区,京都府,京都市上京区,工学部精密工学科(大学)(1983年3月卒業),60代,1,64.0,0.0
京都府京都市上京区,京都府,京都市上京区,文学部仏教学科(1999年9月卒業),50代,1,50.0,4.0
京都府京都市上京区,京都府,京都市上京区,文学部哲学科哲学(大学)(2018年3月卒業),30代,1,36.0,1.0
京都府京都市上京区,京都府,京都市上京区,文学部英文科(大学)(1976年3月卒業),70歳以上,1,72.0,1.0
京都府京都市上京区,京都府,京都市上京区,普通(高等学校)(1998年3月卒業),40代,1,45.0,1.0
京都府京都市上京区,京都府,京都市上京区,普通科(1982年3月卒業),60代,1,62.0,2.0
京都府京都市上京区,京都府,京都市上京区,普通科(高等学校),40代,1,48.0,4.0
京都府京都市上京区,京都府,京都市上京区,普通科(高等学校)(1985年3月卒業),50代,1,58.0,1.0
京都府京都市上京区,京都府,京都市上京区,理学部化学学科物理化学(大学)(1976年3月卒業),70歳以上,1,73.0,2.0
京都府京都市上京区,京都府,京都市上京区,生活科学部生活科学科(短期大学)(1998年3月卒業),50代,1,57.0,1.0
京都府京都市上京区,京都府,京都市上京区,看護科看護(専門学校)(2002年3月卒業),40代,1,44.0,2.0
京都府京都市上京区,京都府,京都市上京区,看護第一学科(専門学校)(1995年3月卒業),50代,1,50.0,2.0
京都府京都市上京区,京都府,京都市上京区,社会学社会福祉学(大学院(修士)),30代,1,31.0,0.0
京都府京都市上京区,京都府,京都市上京区,社会福祉学部・社会福祉学科(大学)(2017年3月卒業),30代,1,30.0,1.0
京都府京都市上京区,京都府,京都市上京区,社会福祉学部児童福祉学科(大学)(2016年3月卒業),30代,1,31.0,3.0
京都府京都市上京区,京都府,京都市上京区,社会福祉学部社会福祉学科(大学)(2016年3月卒業),30代,1,32.0,5.0
京都府京都市上京区,京都府,京都市上京区,経営学部(大学)(1978年3月卒業),60代,1,69.0,1.0
京都府京都市上京区,京都府,京都市上京区,経済学部経済学科(大学)(1982年3月卒業),60代,1,65.0,3.0
京都府京都市上京区,京都府,京都市上京区,芸術学部こども芸術学科(大学)(2023年3月卒業),20代,1,25.0,2.0
京都府京都市上京区,京都府,京都市上京区,音楽学部器楽科(大学)(2007年3月卒業),40代,1,43.0,5.0
京都府京都市下京区,京都府,京都市下京区,(その他),30代,1,33.0,0.0
京都府京都市下京区,京都府,京都市下京区,(その他)(2006年3月卒業),30代,1,34.0,1.0
京都府京都市下京区,京都府,京都市下京区,(大学),30代,1,36.0,2.0
京都府京都市下京区,京都府,京都市下京区,(専門学校),50代,1,58.0,4.0
京都府京都市下京区,京都府,京都市下京区,(専門学校)(1968年8月卒業),50代,1,57.0,2.0
京都府京都市下京区,京都府,京都市下京区,(専門学校)(1989年3月卒業),50代,1,55.0,1.0
京都府京都市下京区,京都府,京都市下京区,(短期大学),40代,1,41.0,0.0
京都府京都市下京区,京都府,京都市下京区,(短期大学),50代,1,51.0,0.0
京都府京都市下京区,京都府,京都市下京区,(高等学校),30代,2,33.5,2.0
京都府京都市下京区,京都府,京都市下京区,(高等学校),40代,1,49.0,5.0
京都府京都市下京区,京都府,京都市下京区,(高等学校),50代,1,56.0,2.0
京都府京都市下京区,京都府,京都市下京区,(高等学校),70歳以上,1,70.0,0.0
京都府京都市下京区,京都府,京都市下京区,(高等学校)(1984年9月中退),50代,1,58.0,1.0
京都府京都市下京区,京都府,京都市下京区,(高等学校)(1988年3月卒業),50代,1,55.0,2.0
京都府京都市下京区,京都府,京都市下京区,(高等学校)(1995年3月卒業),40代,1,49.0,3.0
京都府京都市下京区,京都府,京都市下京区,(高等学校)(1998年3月卒業),50代,1,51.0,1.0
京都府京都市下京区,京都府,京都市下京区,ウェディングプランナー科(専門学校)(2022年3月卒業),20代,1,23.0,0.0
京都府京都市下京区,京都府,京都市下京区,グリーンコーディネート科(専門学校)(1992年3月卒業),50代,1,53.0,1.0
京都府京都市下京区,京都府,京都市下京区,ビジネス学科ホテル総合(専門学校)(2022年3月卒業),30代,1,31.0,1.0
京都府京都市下京区,京都府,京都市下京区,保健科(短期大学)(2006年3月卒業),40代,1,40.0,3.0
京都府京都市下京区,京都府,京都市下京区,保育科(高等学校)(1987年3月卒業),50代,1,57.0,2.0
京都府京都市下京区,京都府,京都市下京区,児童教育学科初等教育(短期大学)(1994年3月卒業),50代,1,52.0,3.0
京都府京都市下京区,京都府,京都市下京区,商学部商学科(大学)(2013年3月卒業),30代,1,35.0,1.0
京都府京都市下京区,京都府,京都市下京区,商業科(高等学校)(1984年3月卒業),50代,1,59.0,4.0
京都府京都市下京区,京都府,京都市下京区,国語国文学科国文学(大学)(1996年3月卒業),50代,1,53.0,1.0
京都府京都市下京区,京都府,京都市下京区,国際コース外国語(高等学校)(2018年3月卒業),20代,1,26.0,1.0
京都府京都市下京区,京都府,京都市下京区,家政科食物栄養専攻食文化コース(短期大学)(1988年3月卒業),50代,1,57.0,4.0
京都府京都市下京区,京都府,京都市下京区,建築科(専門学校)(1988年3月卒業),50代,1,58.0,2.0
京都府京都市下京区,京都府,京都市下京区,心理学科(専門学校)(2017年3月卒業),20代,1,29.0,5.0
京都府京都市下京区,京都府,京都市下京区,教育学部発達障害教育専攻(大学)(2021年3月卒業),20代,1,27.0,3.0
京都府京都市下京区,京都府,京都市下京区,日本語通訳専攻学科日本語通訳専攻学科(高等専門学校)(2021年4月卒業),20代,1,26.0,2.0
京都府京都市下京区,京都府,京都市下京区,普通(高等学校)(1983年3月卒業),60代,1,61.0,1.0
京都府京都市下京区,京都府,京都市下京区,普通科(高等学校)(1974年3月卒業),60代,1,69.0,1.0
京都府京都市下京区,京都府,京都市下京区,普通科(高等学校)(1976年3月卒業),60代,1,67.0,1.0
京都府京都市下京区,京都府,京都市下京区,普通科(高等学校)(1983年3月卒業),60代,1,61.0,2.0
京都府京都市下京区,京都府,京都市下京区,普通科(高等学校)(1990年3月卒業),50代,3,53.333333333333336,4.0
京都府京都市下京区,京都府,京都市下京区,普通科なし(高等学校)(1984年3月中退),50代,1,58.0,0.0
京都府京都市下京区,京都府,京都市下京区,普通課英語(その他)(1964年3月卒業),70歳以上,1,79.0,3.0
京都府京都市下京区,京都府,京都市下京区,演奏学科ピアノ科(大学)(1981年3月卒業),60代,1,67.0,0.0
京都府京都市下京区,京都府,京都市下京区,生活学科(短期大学)(2004年3月卒業),40代,1,43.0,1.0
京都府京都市下京区,京都府,京都市下京区,社会学部社会福祉学科(大学)(2017年3月卒業),30代,1,30.0,1.0
京都府京都市下京区,京都府,京都市下京区,社会福祉学科介護福祉専攻(短期大学)(1998年3月卒業),40代,1,47.0,0.0
京都府京都市下京区,京都府,京都市下京区,社会福祉学部・社会福祉学科介護福祉専攻(大学)(2008年3月卒業),30代,1,39.0,1.0
京都府京都市下京区,京都府,京都市下京区,社会福祉学部社会福祉学科社会福祉(大学),30代,1,35.0,5.0
京都府京都市下京区,京都府,京都市下京区,精神保健福祉士学科精神保健福祉士(専門学校)(2022年9月卒業),60代,1,62.0,7.0
京都府京都市下京区,京都府,京都市下京区,経済学部・経済学科(大学)(2017年3月卒業),30代,1,30.0,2.0
京都府京都市下京区,京都府,京都市下京区,総合政策学部総合政策学科(大学)(2008年3月卒業),30代,1,39.0,3.0
京都府京都市下京区,京都府,京都市下京区,色染科学科(高等学校)(1979年3月卒業),60代,1,64.0,2.0
京都府京都市下京区,京都府,京都市下京区,被服(高等学校)(1973年3月卒業),70歳以上,1,71.0,1.0
京都府京都市下京区,京都府,京都市下京区,被服科(高等学校)(1973年3月卒業),70歳以上,1,71.0,0.0
京都府京都市下京区,京都府,京都市下京区,造形芸術学科ビジュアルデザイン(短期大学)(1980年3月卒業),60代,1,66.0,1.0
京都府京都市下京区,京都府,京都市下京区,食物栄養科栄養士コース(短期大学)(1989年3月卒業),50代,1,57.0,3.0
京都府京都市中京区,京都府,京都市中京区,(2023年3月),60代,1,60.0,1.0
京都府京都市中京区,京都府,京都市中京区,(その他),20代,1,25.0,1.0
京都府京都市中京区,京都府,京都市中京区,(その他)(1977年3月卒業),40代,1,48.0,0.0
京都府京都市中京区,京都府,京都市中京区,(その他)(2003年4月卒業),30代,1,38.0,0.0
京都府京都市中京区,京都府,京都市中京区,(大学),30代,1,34.0,3.0
京都府京都市中京区,京都府,京都市中京区,(大学)(1989年3月卒業),50代,1,59.0,1.0
京都府京都市中京区,京都府,京都市中京区,(専門学校),30代,1,37.0,1.0
京都府京都市中京区,京都府,京都市中京区,(短期大学),50代,1,55.0,4.0
京都府京都市中京区,京都府,京都市中京区,(短期大学)(2005年3月卒業),40代,1,40.0,3.0
京都府京都市中京区,京都府,京都市中京区,(高等学校),30代,1,36.0,0.0
京都府京都市中京区,京都府,京都市中京区,(高等学校),40代,2,47.0,0.0
京都府京都市中京区,京都府,京都市中京区,(高等学校),50代,1,53.0,3.0
京都府京都市中京区,京都府,京都市中京区,(高等学校)(1992年3月卒業),50代,1,50.0,2.0
京都府京都市中京区,京都府,京都市中京区,スポーツトレーナーパーソナルトレーナー専攻(専門学校)(2022年3月卒業),20代,1,23.0,2.0
京都府京都市中京区,京都府,京都市中京区,企画経営科(高等学校)(2018年3月卒業),20代,1,25.0,3.0
京都府京都市中京区,京都府,京都市中京区,保育科(短期大学)(1972年3月卒業),70歳以上,1,72.0,1.0
京都府京都市中京区,京都府,京都市中京区,児童教育学科(短期大学)(1995年3月卒業),50代,1,51.0,5.0
京都府京都市中京区,京都府,京都市中京区,医療福祉心理医療福祉心理(専門学校)(2018年3月卒業),30代,1,30.0,3.0
京都府京都市中京区,京都府,京都市中京区,商業科(高等学校)(1981年3月卒業),60代,1,62.0,1.0
京都府京都市中京区,京都府,京都市中京区,商業科(高等学校)(1987年3月卒業),50代,1,56.0,3.0
京都府京都市中京区,京都府,京都市中京区,商業科(高等学校)(1998年3月卒業),40代,1,45.0,2.0
京都府京都市中京区,京都府,京都市中京区,家政学科生活科学専攻(短期大学)(1987年3月卒業),60代,1,61.0,10.0
京都府京都市中京区,京都府,京都市中京区,家政学科食物科(1977年3月卒業),60代,1,67.0,0.0
京都府京都市中京区,京都府,京都市中京区,工学部金属材料工学科(大学)(1989年3月卒業),60代,1,61.0,0.0
京都府京都市中京区,京都府,京都市中京区,教養学部 教養学科心理学(大学)(2003年3月卒業),40代,1,46.0,2.0
京都府京都市中京区,京都府,京都市中京区,文学部 日本文学科近代文学(大学)(1980年3月卒業),70歳以上,1,70.0,4.0
京都府京都市中京区,京都府,京都市中京区,文学部中国学科なし(大学)(2009年3月卒業),30代,1,39.0,4.0
京都府京都市中京区,京都府,京都市中京区,文学部文学科(大学)(2003年3月卒業),40代,1,45.0,1.0
京都府京都市中京区,京都府,京都市中京区,普通(高等学校),20代,1,27.0,0.0
京都府京都市中京区,京都府,京都市中京区,普通科(高等学校)(1994年3月卒業),50代,1,50.0,3.0
京都府京都市中京区,京都府,京都市中京区,機械工学科(高等学校)(1986年3月卒業),50代,1,56.0,0.0
京都府京都市中京区,京都府,京都市中京区,漫画学科漫画コース(専門学校)(2007年3月卒業),30代,1,37.0,0.0
京都府京都市中京区,京都府,京都市中京区,理系(高等学校),30代,1,33.0,1.0
京都府京都市中京区,京都府,京都市中京区,生活造形科(短期大学)(1998年3月卒業),40代,1,48.0,2.0
京都府京都市中京区,京都府,京都市中京区,看護学科,30代,1,31.0,3.0
京都府京都市中京区,京都府,京都市中京区,看護学科(大学)(2004年3月卒業),40代,1,46.0,2.0
京都府京都市中京区,京都府,京都市中京区,看護学科無し(短期大学)(1998年3月卒業),40代,1,48.0,3.0
京都府京都市中京区,京都府,京都市中京区,看護科看護(高等学校)(2026年3月卒業見込み),20代,1,20.0,1.0
