ID,性別,年齢,年齢バケット,居住地_都道府県,居住地_市区町村,資格数,国家資格保有,就業状況
ID_188,男性,55,50代,兵庫県,宝塚市,4,有,離職中
ID_189,男性,23,20代,京都府,京都市西京区,0,無,就業中
ID_190,女性,27,20代,京都府,京都市右京区,2,無,就業中
ID_191,女性,43,40代,京都府,京田辺市,2,有,就業中
ID_192,女性,59,50代,奈良県,奈良市,6,有,就業中
ID_193,男性,51,50代,滋賀県,大津市,9,有,就業中
ID_194,男性,48,40代,大阪府,大阪市鶴見区,2,無,就業中
ID_195,男性,49,40代,京都府,京都市伏見区,0,無,就業中
ID_196,女性,20,20代,滋賀県,野洲市,2,無,離職中
ID_197,男性,74,70歳以上,京都府,八幡市,1,無,就業中
ID_198,女性,54,50代,奈良県,生駒市,8,有,就業中
ID_199,女性,57,50代,京都府,京都市下京区,2,無,就業中
ID_200,男性,58,50代,大阪府,八尾市,2,無,就業中
ID_201,女性,51,50代,京都府,京都市西京区,1,有,就業中
ID_202,男性,47,40代,京都府,亀岡市,3,有,就業中
ID_203,女性,58,50代,京都府,京都市中京区,2,無,離職中
ID_204,女性,28,20代,京都府,京都市西京区,4,有,就業中
ID_205,女性,54,50代,滋賀県,大津市,0,無,就業中
ID_206,男性,45,40代,京都府,京都市南区,2,有,離職中
ID_207,男性,46,40代,京都府,京都市左京区,7,有,就業中
ID_208,女性,47,40代,京都府,京都市山科区,2,無,就業中
ID_209,女性,32,30代,兵庫県,神戸市北区,2,無,就業中
ID_210,女性,41,40代,京都府,京都市伏見区,3,有,就業中
ID_211,男性,22,20代,京都府,京都市中京区,0,無,就業中
ID_212,男性,62,60代,京都府,相楽郡精華町,2,有,就業中
ID_213,女性,32,30代,京都府,宇治市,3,有,離職中
ID_214,男性,56,50代,滋賀県,大津市,4,無,離職中
ID_215,女性,48,40代,兵庫県,丹波市,3,有,就業中
ID_216,男性,44,40代,静岡県,富士市,2,有,就業中
ID_217,女性,64,60代,滋賀県,大津市,3,有,就業中
ID_218,女性,70,70歳以上,大阪府,三島郡島本町,2,有,就業中
ID_219,女性,53,50代,大阪府,高槻市,8,有,就業中
ID_220,女性,53,50代,大阪府,枚方市,0,無,就業中
ID_221,女性,39,30代,京都府,京都市中京区,4,有,就業中
ID_222,女性,58,50代,京都府,京都市下京区,4,有,就業中
ID_223,女性,28,20代,奈良県,奈良市,1,無,就業中
ID_224,女性,47,40代,京都府,京都市伏見区,1,無,就業中
ID_225,女性,55,50代,京都府,京都市伏見区,2,有,就業中
ID_226,女性,48,40代,京都府,京都市中京区,3,無,離職中
ID_227,女性,58,50代,京都府,京都市伏見区,0,無,就業中
ID_228,男性,44,40代,京都府,京都市上京区,3,無,離職中
ID_229,女性,72,70歳以上,京都府,八幡市,1,無,離職中
ID_230,女性,24,20代,京都府,京都市南区,2,無,就業中
ID_231,男性,50,50代,滋賀県,大津市,2,無,離職中
ID_232,女性,49,40代,京都府,京都市北区,2,無,就業中
ID_233,女性,60,60代,京都府,向日市,4,有,離職中
ID_234,女性,34,30代,京都府,京都市伏見区,4,有,離職中
ID_235,女性,76,70歳以上,京都府,京都市伏見区,2,有,離職中
ID_236,女性,53,50代,京都府,城陽市,3,有,就業中
ID_237,女性,48,40代,京都府,京都市上京区,4,有,離職中
ID_238,女性,58,50代,滋賀県,大津市,2,有,離職中
ID_239,女性,33,30代,京都府,宇治市,1,無,就業中
ID_240,男性,30,30代,京都府,宇治市,2,無,離職中
ID_241,女性,27,20代,京都府,木津川市,6,無,離職中
ID_242,女性,41,40代,兵庫県,三田市,2,有,就業中
ID_243,女性,30,30代,京都府,京都市伏見区,2,有,就業中
ID_244,女性,51,50代,京都府,京都市伏見区,4,有,就業中
ID_245,女性,59,50代,京都府,京都市伏見区,2,有,就業中
ID_246,男性,43,40代,京都府,八幡市,2,有,就業中
ID_247,男性,41,40代,京都府,城陽市,2,有,就業中
ID_248,女性,49,40代,京都府,向日市,4,有,就業中
ID_249,女性,42,40代,京都府,京都市右京区,3,有,就業中
ID_250,男性,65,60代,大阪府,大阪市港区,4,有,就業中
ID_251,男性,51,50代,京都府,京都市西京区,3,有,就業中
ID_252,男性,67,60代,京都府,城陽市,2,有,就業中
ID_253,男性,40,40代,大阪府,豊能郡豊能町,2,無,就業中
ID_254,女性,46,40代,京都府,城陽市,1,無,離職中
ID_255,女性,55,50代,京都府,京都市山科区,2,有,就業中
ID_256,女性,50,50代,京都府,亀岡市,1,無,就業中
ID_257,男性,52,50代,京都府,舞鶴市,6,有,就業中
ID_258,女性,42,40代,大阪府,枚方市,1,無,離職中
ID_259,女性,53,50代,京都府,舞鶴市,1,無,就業中
ID_260,女性,77,70歳以上,滋賀県,大津市,3,有,離職中
ID_261,男性,27,20代,京都府,京都市左京区,3,有,就業中
ID_262,女性,51,50代,京都府,京都市左京区,3,無,就業中
ID_263,女性,58,50代,奈良県,奈良市,5,有,離職中
ID_264,男性,28,20代,大阪府,堺市堺区,5,有,就業中
ID_265,女性,38,30代,大阪府,枚方市,2,有,就業中
ID_266,男性,62,60代,京都府,宇治市,1,有,就業中
ID_267,女性,34,30代,京都府,京都市左京区,1,無,就業中
ID_268,女性,57,50代,京都府,京都市伏見区,4,有,就業中
ID_269,男性,43,40代,大阪府,箕面市,3,無,就業中
ID_270,男性,55,50代,京都府,八幡市,4,有,就業中
ID_271,女性,45,40代,京都府,京都市南区,1,有,離職中
ID_272,女性,61,60代,京都府,京都市下京区,1,無,離職中
ID_273,女性,30,30代,京都府,京都市山科区,1,有,離職中
ID_274,男性,63,60代,京都府,京都市西京区,2,無,就業中
ID_275,女性,68,60代,京都府,宇治市,2,無,就業中
ID_276,女性,32,30代,京都府,京都市伏見区,4,有,就業中
ID_277,女性,56,50代,京都府,宇治市,1,有,就業中
ID_278,女性,44,40代,奈良県,奈良市,1,有,就業中
ID_279,男性,31,30代,京都府,京都市南区,3,有,就業中
ID_280,女性,57,50代,京都府,京都市西京区,2,無,離職中
ID_281,男性,35,30代,滋賀県,大津市,9,無,就業中
ID_282,女性,60,60代,奈良県,奈良市,5,有,就業中
ID_283,女性,56,50代,大阪府,交野市,2,有,就業中
ID_284,男性,51,50代,兵庫県,丹波市,3,無,離職中
ID_285,女性,59,50代,京都府,京都市山科区,1,有,就業中
ID_286,女性,39,30代,京都府,京都市西京区,1,有,離職中
ID_287,女性,65,60代,奈良県,奈良市,4,有,就業中
ID_288,女性,52,50代,京都府,京都市伏見区,0,無,就業中
ID_289,男性,44,40代,京都府,宇治市,4,無,離職中
ID_290,女性,54,50代,京都府,亀岡市,1,無,離職中
ID_291,男性,43,40代,京都府,京都市右京区,4,有,離職中
ID_292,男性,30,30代,大阪府,高槻市,1,無,離職中
ID_293,女性,52,50代,京都府,南丹市,4,有,就業中
ID_294,女性,56,50代,大阪府,高槻市,3,有,就業中
ID_295,女性,37,30代,京都府,京都市山科区,2,無,離職中
ID_296,男性,31,30代,大阪府,枚方市,3,有,離職中
ID_297,女性,24,20代,石川県,金沢市,1,有,就業中
ID_298,女性,31,30代,京都府,京都市左京区,2,無,就業中
ID_299,男性,70,70歳以上,滋賀県,大津市,2,無,就業中
ID_300,女性,45,40代,京都府,京都市伏見区,4,有,就業中
ID_301,男性,40,40代,京都府,京都市中京区,0,無,離職中
ID_302,女性,50,50代,京都府,宇治市,4,有,離職中
ID_303,女性,44,40代,京都府,京田辺市,4,有,離職中
ID_304,女性,46,40代,京都府,京都市西京区,0,無,就業中
ID_305,男性,58,50代,京都府,京都市西京区,5,有,離職中
ID_306,女性,37,30代,京都府,京都市西京区,2,有,就業中
ID_307,女性,44,40代,京都府,木津川市,0,無,就業中
ID_308,男性,49,40代,大阪府,高槻市,3,有,就業中
ID_309,女性,48,40代,京都府,京都市西京区,1,無,離職中
ID_310,女性,54,50代,京都府,京都市伏見区,1,有,就業中
ID_311,女性,47,40代,大阪府,枚方市,4,有,就業中
ID_312,女性,49,40代,大阪府,枚方市,5,有,就業中
ID_313,男性,56,50代,大阪府,大阪市浪速区,5,無,離職中
ID_314,男性,49,40代,大阪府,大阪市平野区,4,有,就業中
ID_315,男性,43,40代,神奈川県,平塚市,5,無,就業中
ID_316,女性,48,40代,京都府,京都市左京区,3,有,就業中
ID_317,女性,42,40代,京都府,京都市南区,0,無,離職中
ID_318,男性,49,40代,京都府,宇治市,1,無,離職中
ID_319,女性,58,50代,京都府,京都市南区,0,無,就業中
ID_320,女性,47,40代,京都府,京都市右京区,1,無,就業中
ID_321,男性,41,40代,京都府,京都市左京区,1,無,離職中
ID_322,女性,46,40代,京都府,京都市上京区,0,無,就業中
ID_323,男性,43,40代,兵庫県,朝来市,2,有,就業中
ID_324,女性,66,60代,京都府,京都市伏見区,4,有,就業中
ID_325,女性,36,30代,奈良県,奈良市,5,有,就業中
ID_326,男性,78,70歳以上,奈良県,生駒市,4,無,就業中
ID_327,女性,36,30代,京都府,京都市右京区,4,有,離職中
ID_328,女性,48,40代,京都府,京都市伏見区,1,有,就業中
ID_329,男性,44,40代,秋田県,大仙市,5,無,離職中
ID_330,男性,39,30代,京都府,城陽市,2,無,離職中
ID_331,女性,53,50代,京都府,宇治市,3,無,就業中
ID_332,男性,66,60代,大阪府,寝屋川市,2,無,離職中
ID_333,男性,68,60代,京都府,向日市,0,無,就業中
ID_334,女性,48,40代,京都府,京都市南区,5,有,離職中
ID_335,男性,53,50代,京都府,京田辺市,5,有,離職中
ID_336,男性,58,50代,大阪府,枚方市,9,有,就業中
ID_337,男性,68,60代,埼玉県,川口市,9,有,就業中
ID_338,女性,47,40代,京都府,京都市右京区,1,無,就業中
ID_339,女性,62,60代,大阪府,枚方市,2,有,就業中
ID_340,女性,31,30代,京都府,京都市右京区,2,無,就業中
ID_341,女性,63,60代,京都府,船井郡京丹波町,1,無,離職中
ID_342,女性,43,40代,京都府,久世郡久御山町,1,無,就業中
ID_343,女性,39,30代,山口県,山口市,0,無,就業中
ID_344,女性,43,40代,滋賀県,彦根市,2,有,就業中
ID_345,女性,57,50代,京都府,京都市伏見区,2,有,就業中
ID_346,女性,49,40代,奈良県,奈良市,1,無,就業中
ID_347,女性,40,40代,京都府,京都市山科区,2,無,就業中
ID_348,女性,34,30代,京都府,京都市伏見区,3,有,就業中
ID_349,女性,48,40代,京都府,乙訓郡大山崎町,3,無,就業中
ID_350,女性,64,60代,滋賀県,大津市,5,有,就業中
ID_351,女性,55,50代,滋賀県,大津市,4,有,離職中
ID_352,女性,68,60代,滋賀県,大津市,2,有,就業中
ID_353,男性,54,50代,京都府,乙訓郡大山崎町,11,有,就業中
ID_354,女性,60,60代,京都府,亀岡市,1,無,就業中
ID_355,男性,45,40代,大阪府,枚方市,0,無,離職中
ID_356,女性,48,40代,京都府,京都市伏見区,1,有,離職中
ID_357,女性,57,50代,京都府,京都市伏見区,8,有,就業中
ID_358,女性,57,50代,京都府,京都市伏見区,2,有,離職中
ID_359,女性,50,50代,京都府,京都市伏見区,3,有,就業中
ID_360,女性,65,60代,京都府,京都市山科区,1,無,就業中
ID_361,女性,53,50代,京都府,宇治市,2,有,就業中
ID_362,男性,32,30代,京都府,城陽市,2,無,就業中
ID_363,男性,32,30代,京都府,城陽市,1,無,就業中
ID_364,男性,67,60代,京都府,京都市北区,3,有,就業中
ID_365,男性,74,70歳以上,京都府,木津川市,1,無,離職中
ID_366,男性,48,40代,京都府,長岡京市,1,無,離職中
ID_367,男性,26,20代,福井県,大飯郡高浜町,1,無,離職中
ID_368,女性,52,50代,京都府,京都市伏見区,2,無,就業中
ID_369,女性,52,50代,京都府,京都市西京区,3,無,離職中
ID_370,女性,29,20代,滋賀県,大津市,2,有,就業中
ID_371,男性,42,40代,京都府,京都市南区,3,有,就業中
ID_372,男性,29,20代,三重県,伊賀市,3,無,就業中
ID_373,女性,58,50代,京都府,京都市伏見区,7,有,就業中
ID_374,女性,57,50代,京都府,京都市北区,1,有,就業中
ID_375,男性,21,20代,京都府,京都市北区,0,無,在学中
ID_376,男性,47,40代,京都府,京都市中京区,0,無,離職中
ID_377,女性,47,40代,奈良県,宇陀郡御杖村,2,有,就業中
ID_378,女性,39,30代,京都府,京都市中京区,1,無,就業中
ID_379,女性,23,20代,京都府,京都市下京区,0,無,就業中
ID_380,男性,44,40代,大阪府,茨木市,3,無,就業中
ID_381,男性,63,60代,京都府,京都市伏見区,2,無,就業中
ID_382,男性,57,50代,京都府,京都市左京区,1,有,就業中
ID_383,女性,18,20代,京都府,亀岡市,3,無,就業中
ID_384,女性,49,40代,京都府,京都市右京区,3,無,就業中
ID_385,女性,40,40代,京都府,京都市東山区,5,有,就業中
ID_386,女性,46,40代,京都府,京都市伏見区,4,有,就業中
ID_387,女性,47,40代,京都府,宇治市,3,有,就業中
ID_388,女性,45,40代,京都府,長岡京市,2,有,就業中
ID_389,女性,49,40代,京都府,八幡市,2,無,離職中
ID_390,女性,44,40代,京都府,京都市右京区,2,無,就業中
ID_391,男性,43,40代,京都府,京都市山科区,1,有,就業中
ID_392,男性,41,40代,京都府,亀岡市,4,有,就業中
ID_393,男性,45,40代,京都府,乙訓郡大山崎町,3,無,就業中
ID_394,女性,59,50代,奈良県,奈良市,4,有,就業中
ID_395,女性,72,70歳以上,京都府,京都市南区,2,有,就業中
ID_396,女性,57,50代,京都府,城陽市,2,有,就業中
ID_397,男性,53,50代,京都府,京都市右京区,5,有,離職中
ID_398,女性,49,40代,京都府,京都市右京区,1,有,就業中
ID_399,女性,43,40代,京都府,京都市伏見区,2,有,就業中
ID_400,女性,56,50代,京都府,京都市伏見区,1,有,就業中
ID_401,女性,47,40代,奈良県,奈良市,3,無,離職中
ID_402,女性,46,40代,奈良県,奈良市,1,無,離職中
ID_403,男性,26,20代,千葉県,木更津市,1,有,離職中
ID_404,男性,27,20代,京都府,京都市北区,3,有,就業中
ID_405,女性,47,40代,京都府,京都市山科区,1,有,就業中
ID_406,男性,46,40代,京都府,京都市山科区,1,無,離職中
ID_407,女性,48,40代,京都府,京田辺市,0,無,就業中
ID_408,男性,54,50代,大阪府,枚方市,2,有,就業中
ID_409,男性,69,60代,京都府,京都市東山区,2,無,就業中
ID_410,女性,52,50代,京都府,京都市右京区,1,無,就業中
ID_411,男性,64,60代,京都府,京都市右京区,4,有,離職中
ID_412,女性,62,60代,京都府,京都市東山区,4,有,就業中
ID_413,女性,49,40代,岡山県,総社市,3,無,離職中
ID_414,男性,55,50代,奈良県,奈良市,7,無,離職中
ID_415,女性,50,50代,滋賀県,大津市,4,有,離職中
ID_416,女性,54,50代,大阪府,枚方市,3,有,就業中
ID_417,女性,67,60代,奈良県,北葛城郡広陵町,3,無,就業中
ID_418,男性,23,20代,京都府,京都市伏見区,0,無,離職中
ID_419,男性,38,30代,京都府,京都市伏見区,2,無,就業中
ID_420,女性,37,30代,京都府,木津川市,4,有,離職中
ID_421,女性,68,60代,奈良県,大和郡山市,3,無,就業中
ID_422,女性,66,60代,京都府,木津川市,1,無,就業中
ID_423,女性,58,50代,大阪府,大阪市北区,8,有,就業中
ID_424,男性,45,40代,京都府,城陽市,1,有,離職中
ID_425,女性,64,60代,京都府,京都市伏見区,2,有,就業中
ID_426,女性,54,50代,京都府,京都市山科区,3,無,離職中
ID_427,女性,54,50代,京都府,京都市北区,1,無,就業中
ID_428,女性,54,50代,京都府,宇治市,0,無,就業中
ID_429,女性,53,50代,大阪府,茨木市,1,有,就業中
ID_430,女性,30,30代,京都府,京都市左京区,3,有,就業中
ID_431,男性,51,50代,京都府,宇治市,2,有,就業中
ID_432,男性,79,70歳以上,大阪府,枚方市,0,無,離職中
ID_433,女性,26,20代,千葉県,流山市,2,有,在学中
ID_434,男性,56,50代,京都府,京都市山科区,0,無,就業中
ID_435,女性,56,50代,大阪府,枚方市,3,有,就業中
ID_436,女性,51,50代,京都府,久世郡久御山町,2,有,就業中
